"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"1050","45.231521","127.0.0.1","127.0.0.1","59969","3836","TCP","56","2","59969  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"1051","45.231695","127.0.0.1","127.0.0.1","3836","59969","TCP","56","2","3836  >  59969 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"1052","45.231732","127.0.0.1","127.0.0.1","59969","3836","TCP","44","2","59969  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1053","45.231785","127.0.0.1","127.0.0.1","59969","3836","HTTP","601","2","GET /respond?query=Janet%E2%80%99s%20ducks%20lay%2016%20eggs%20per%20day.%20She%20eats%20three%20for%20breakfast%20every%20morning%20and%20bakes%20muffins%20for%20her%20friends%20every%20day%20with%20four.%20She%20sells%20the%20remainder%20at%20the%20farmers%27%20market%20daily%20for%20%242%20per%20fresh%20duck%20egg.%20How%20much%20in%20dollars%20does%20she%20make%20every%20day%20at%20the%20farmers%27%20market%3F HTTP/1.1 "
"1054","45.231798","127.0.0.1","127.0.0.1","3836","59969","TCP","44","2","3836  >  59969 [ACK] Seq=1 Ack=558 Win=64768 Len=0"
"1230","53.083125","127.0.0.1","127.0.0.1","3836","59969","TCP","211","2","3836  >  59969 [PSH, ACK] Seq=1 Ack=558 Win=64768 Len=167 [TCP PDU reassembled in 1232]"
"1231","53.083147","127.0.0.1","127.0.0.1","59969","3836","TCP","44","2","59969  >  3836 [ACK] Seq=558 Ack=168 Win=65280 Len=0"
"1232","53.083161","127.0.0.1","127.0.0.1","3836","59969","HTTP/JSON","1217","2","HTTP/1.1 200 OK , JSON (application/json)"
"1233","53.083166","127.0.0.1","127.0.0.1","59969","3836","TCP","44","2","59969  >  3836 [ACK] Seq=558 Ack=1341 Win=64000 Len=0"
"1234","53.083536","127.0.0.1","127.0.0.1","59969","3836","TCP","44","2","59969  >  3836 [FIN, ACK] Seq=558 Ack=1341 Win=64000 Len=0"
"1235","53.083561","127.0.0.1","127.0.0.1","3836","59969","TCP","44","2","3836  >  59969 [ACK] Seq=1341 Ack=559 Win=64768 Len=0"
"1236","53.084793","127.0.0.1","127.0.0.1","3836","59969","TCP","44","2","3836  >  59969 [FIN, ACK] Seq=1341 Ack=559 Win=64768 Len=0"
"1237","53.084817","127.0.0.1","127.0.0.1","59969","3836","TCP","44","2","59969  >  3836 [ACK] Seq=559 Ack=1342 Win=64000 Len=0"
"1469","63.092695","127.0.0.1","127.0.0.1","59977","3836","TCP","56","3","59977  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"1470","63.093181","127.0.0.1","127.0.0.1","3836","59977","TCP","56","3","3836  >  59977 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"1471","63.093262","127.0.0.1","127.0.0.1","59977","3836","TCP","44","3","59977  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1472","63.093859","127.0.0.1","127.0.0.1","59977","3836","HTTP","354","3","GET /respond?query=A%20robe%20takes%202%20bolts%20of%20blue%20fiber%20and%20half%20that%20much%20white%20fiber.%20%20How%20many%20bolts%20in%20total%20does%20it%20take%3F HTTP/1.1 "
"1473","63.093897","127.0.0.1","127.0.0.1","3836","59977","TCP","44","3","3836  >  59977 [ACK] Seq=1 Ack=311 Win=65024 Len=0"
"1552","66.126037","127.0.0.1","127.0.0.1","3836","59977","TCP","210","3","3836  >  59977 [PSH, ACK] Seq=1 Ack=311 Win=65024 Len=166 [TCP PDU reassembled in 1554]"
"1553","66.126058","127.0.0.1","127.0.0.1","59977","3836","TCP","44","3","59977  >  3836 [ACK] Seq=311 Ack=167 Win=65280 Len=0"
"1554","66.126072","127.0.0.1","127.0.0.1","3836","59977","HTTP/JSON","755","3","HTTP/1.1 200 OK , JSON (application/json)"
"1555","66.126080","127.0.0.1","127.0.0.1","59977","3836","TCP","44","3","59977  >  3836 [ACK] Seq=311 Ack=878 Win=64512 Len=0"
"1556","66.126379","127.0.0.1","127.0.0.1","59977","3836","TCP","44","3","59977  >  3836 [FIN, ACK] Seq=311 Ack=878 Win=64512 Len=0"
