"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"1319","50.162960","192.168.1.37","160.79.104.10","59976","443","TCP","66","57","59976  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1320","50.169495","160.79.104.10","192.168.1.37","443","59976","TCP","66","57","443  >  59976 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"1321","50.169557","192.168.1.37","160.79.104.10","59976","443","TCP","54","57","59976  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1322","50.170018","192.168.1.37","160.79.104.10","59976","443","TLSv1.3","571","57","Client Hello (SNI=api.anthropic.com)"
"1323","50.176716","160.79.104.10","192.168.1.37","443","59976","TCP","60","57","443  >  59976 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1324","50.179356","160.79.104.10","192.168.1.37","443","59976","TLSv1.3","1506","57","Server Hello, Change Cipher Spec"
"1325","50.179356","160.79.104.10","192.168.1.37","443","59976","TLSv1.3","1459","57","Application Data"
"1326","50.179382","192.168.1.37","160.79.104.10","59976","443","TCP","54","57","59976  >  443 [ACK] Seq=518 Ack=2858 Win=65280 Len=0"
"1327","50.181059","192.168.1.37","160.79.104.10","59976","443","TLSv1.3","134","57","Change Cipher Spec, Application Data"
"1328","50.181338","192.168.1.37","160.79.104.10","59976","443","TLSv1.3","727","57","Application Data"
"1329","50.181438","192.168.1.37","160.79.104.10","59976","443","TLSv1.3","485","57","Application Data"
"1330","50.187498","160.79.104.10","192.168.1.37","443","59976","TCP","60","57","443  >  59976 [ACK] Seq=2858 Ack=1271 Win=73728 Len=0"
"1332","50.230296","160.79.104.10","192.168.1.37","443","59976","TCP","60","57","443  >  59976 [ACK] Seq=2858 Ack=1702 Win=73728 Len=0"
"1415","55.083069","160.79.104.10","192.168.1.37","443","59976","TLSv1.3","1506","57","Application Data"
"1416","55.083069","160.79.104.10","192.168.1.37","443","59976","TLSv1.3","125","57","Application Data"
"1417","55.083069","160.79.104.10","192.168.1.37","443","59976","TLSv1.3","723","57","Application Data"
"1418","55.083069","160.79.104.10","192.168.1.37","443","59976","TLSv1.3","81","57","Application Data"
"1419","55.083184","192.168.1.37","160.79.104.10","59976","443","TCP","54","57","59976  >  443 [ACK] Seq=1702 Ack=5077 Win=65280 Len=0"
"1554","65.119974","192.168.1.37","160.79.104.10","59976","443","TCP","54","57","59976  >  443 [FIN, ACK] Seq=1702 Ack=5077 Win=65280 Len=0"
"1555","65.124343","192.168.1.37","160.79.104.10","59978","443","TCP","66","59","59978  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1556","65.126699","160.79.104.10","192.168.1.37","443","59976","TCP","60","57","443  >  59976 [FIN, ACK] Seq=5077 Ack=1703 Win=73728 Len=0"
"1557","65.126748","192.168.1.37","160.79.104.10","59976","443","TCP","54","57","59976  >  443 [ACK] Seq=1703 Ack=5078 Win=65280 Len=0"
"1558","65.130337","160.79.104.10","192.168.1.37","443","59978","TCP","66","59","443  >  59978 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"1559","65.130455","192.168.1.37","160.79.104.10","59978","443","TCP","54","59","59978  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1560","65.131206","192.168.1.37","160.79.104.10","59978","443","TLSv1.3","571","59","Client Hello (SNI=api.anthropic.com)"
"1561","65.137229","160.79.104.10","192.168.1.37","443","59978","TCP","60","59","443  >  59978 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1562","65.140967","160.79.104.10","192.168.1.37","443","59978","TLSv1.3","1506","59","Server Hello, Change Cipher Spec"
"1563","65.140967","160.79.104.10","192.168.1.37","443","59978","TLSv1.3","1457","59","Application Data"
"1564","65.141000","192.168.1.37","160.79.104.10","59978","443","TCP","54","59","59978  >  443 [ACK] Seq=518 Ack=2856 Win=65280 Len=0"
"1565","65.151414","192.168.1.37","160.79.104.10","59978","443","TLSv1.3","134","59","Change Cipher Spec, Application Data"
"1566","65.152740","192.168.1.37","160.79.104.10","59978","443","TLSv1.3","727","59","Application Data"
"1567","65.153097","192.168.1.37","160.79.104.10","59978","443","TLSv1.3","305","59","Application Data"
"1568","65.158531","160.79.104.10","192.168.1.37","443","59978","TCP","60","59","443  >  59978 [ACK] Seq=2856 Ack=1271 Win=73728 Len=0"
"1572","65.200471","160.79.104.10","192.168.1.37","443","59978","TCP","60","59","443  >  59978 [ACK] Seq=2856 Ack=1522 Win=73728 Len=0"
"1710","68.137305","160.79.104.10","192.168.1.37","443","59978","TLSv1.3","1506","59","Application Data"
"1711","68.137305","160.79.104.10","192.168.1.37","443","59978","TLSv1.3","475","59","Application Data"
"1712","68.137305","160.79.104.10","192.168.1.37","443","59978","TLSv1.3","164","59","Application Data"
"1713","68.137305","160.79.104.10","192.168.1.37","443","59978","TLSv1.3","81","59","Application Data"
"1714","68.137352","192.168.1.37","160.79.104.10","59978","443","TCP","54","59","59978  >  443 [ACK] Seq=1522 Ack=4866 Win=65280 Len=0"
"1922","78.162808","192.168.1.37","160.79.104.10","59978","443","TCP","54","59","59978  >  443 [FIN, ACK] Seq=1522 Ack=4866 Win=65280 Len=0"
"1923","78.165309","192.168.1.37","160.79.104.10","59986","443","TCP","66","68","59986  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1924","78.170016","160.79.104.10","192.168.1.37","443","59978","TCP","60","59","443  >  59978 [FIN, ACK] Seq=4866 Ack=1523 Win=73728 Len=0"
"1925","78.170103","192.168.1.37","160.79.104.10","59978","443","TCP","54","59","59978  >  443 [ACK] Seq=1523 Ack=4867 Win=65280 Len=0"
"1926","78.171839","160.79.104.10","192.168.1.37","443","59986","TCP","66","68","443  >  59986 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"1927","78.171899","192.168.1.37","160.79.104.10","59986","443","TCP","54","68","59986  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1928","78.172165","192.168.1.37","160.79.104.10","59986","443","TLSv1.3","571","68","Client Hello (SNI=api.anthropic.com)"
"1929","78.178985","160.79.104.10","192.168.1.37","443","59986","TCP","60","68","443  >  59986 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1930","78.183327","160.79.104.10","192.168.1.37","443","59986","TLSv1.3","1506","68","Server Hello, Change Cipher Spec"
"1931","78.183327","160.79.104.10","192.168.1.37","443","59986","TLSv1.3","1457","68","Application Data"
"1932","78.183379","192.168.1.37","160.79.104.10","59986","443","TCP","54","68","59986  >  443 [ACK] Seq=518 Ack=2856 Win=65280 Len=0"
"1933","78.192264","192.168.1.37","160.79.104.10","59986","443","TLSv1.3","134","68","Change Cipher Spec, Application Data"
"1934","78.193322","192.168.1.37","160.79.104.10","59986","443","TLSv1.3","727","68","Application Data"
"1935","78.193618","192.168.1.37","160.79.104.10","59986","443","TLSv1.3","381","68","Application Data"
"1936","78.199710","160.79.104.10","192.168.1.37","443","59986","TCP","60","68","443  >  59986 [ACK] Seq=2856 Ack=1271 Win=73728 Len=0"
"1937","78.241691","160.79.104.10","192.168.1.37","443","59986","TCP","60","68","443  >  59986 [ACK] Seq=2856 Ack=1598 Win=73728 Len=0"
"2042","83.215538","160.79.104.10","192.168.1.37","443","59986","TLSv1.3","1506","68","Application Data"
"2043","83.215538","160.79.104.10","192.168.1.37","443","59986","TLSv1.3","475","68","Application Data"
"2044","83.215538","160.79.104.10","192.168.1.37","443","59986","TLSv1.3","361","68","Application Data, Application Data"
"2045","83.215645","192.168.1.37","160.79.104.10","59986","443","TCP","54","68","59986  >  443 [ACK] Seq=1598 Ack=5036 Win=65280 Len=0"
