"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"159","28.298512","127.0.0.1","127.0.0.1","60556","3836","TCP","56","79","60556  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"160","28.298619","127.0.0.1","127.0.0.1","3836","60556","TCP","56","79","3836  >  60556 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"161","28.298679","127.0.0.1","127.0.0.1","60556","3836","TCP","44","79","60556  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"162","28.298796","127.0.0.1","127.0.0.1","60556","3836","HTTP","601","79","GET /respond?query=Janet%E2%80%99s%20ducks%20lay%2016%20eggs%20per%20day.%20She%20eats%20three%20for%20breakfast%20every%20morning%20and%20bakes%20muffins%20for%20her%20friends%20every%20day%20with%20four.%20She%20sells%20the%20remainder%20at%20the%20farmers%27%20market%20daily%20for%20%242%20per%20fresh%20duck%20egg.%20How%20much%20in%20dollars%20does%20she%20make%20every%20day%20at%20the%20farmers%27%20market%3F HTTP/1.1 "
"163","28.298830","127.0.0.1","127.0.0.1","3836","60556","TCP","44","79","3836  >  60556 [ACK] Seq=1 Ack=558 Win=64768 Len=0"
"297","51.394374","127.0.0.1","127.0.0.1","3836","60556","TCP","210","79","3836  >  60556 [PSH, ACK] Seq=1 Ack=558 Win=64768 Len=166 [TCP PDU reassembled in 299]"
"298","51.394424","127.0.0.1","127.0.0.1","60556","3836","TCP","44","79","60556  >  3836 [ACK] Seq=558 Ack=167 Win=65280 Len=0"
"299","51.394462","127.0.0.1","127.0.0.1","3836","60556","HTTP/JSON","373","79","HTTP/1.1 200 OK , JSON (application/json)"
"300","51.394478","127.0.0.1","127.0.0.1","60556","3836","TCP","44","79","60556  >  3836 [ACK] Seq=558 Ack=496 Win=65024 Len=0"
"301","51.395285","127.0.0.1","127.0.0.1","60556","3836","TCP","44","79","60556  >  3836 [FIN, ACK] Seq=558 Ack=496 Win=65024 Len=0"
"302","51.395336","127.0.0.1","127.0.0.1","3836","60556","TCP","44","79","3836  >  60556 [ACK] Seq=496 Ack=559 Win=64768 Len=0"
"303","51.398141","127.0.0.1","127.0.0.1","3836","60556","TCP","44","79","3836  >  60556 [FIN, ACK] Seq=496 Ack=559 Win=64768 Len=0"
"304","51.398188","127.0.0.1","127.0.0.1","60556","3836","TCP","44","79","60556  >  3836 [ACK] Seq=559 Ack=497 Win=65024 Len=0"
"357","61.401289","127.0.0.1","127.0.0.1","60582","3836","TCP","56","171","60582  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"358","61.401387","127.0.0.1","127.0.0.1","3836","60582","TCP","56","171","3836  >  60582 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"359","61.401454","127.0.0.1","127.0.0.1","60582","3836","TCP","44","171","60582  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"360","61.401559","127.0.0.1","127.0.0.1","60582","3836","HTTP","354","171","GET /respond?query=A%20robe%20takes%202%20bolts%20of%20blue%20fiber%20and%20half%20that%20much%20white%20fiber.%20%20How%20many%20bolts%20in%20total%20does%20it%20take%3F HTTP/1.1 "
"361","61.401590","127.0.0.1","127.0.0.1","3836","60582","TCP","44","171","3836  >  60582 [ACK] Seq=1 Ack=311 Win=65024 Len=0"
"484","83.423187","127.0.0.1","127.0.0.1","3836","60582","TCP","210","171","3836  >  60582 [PSH, ACK] Seq=1 Ack=311 Win=65024 Len=166 [TCP PDU reassembled in 486]"
"485","83.423245","127.0.0.1","127.0.0.1","60582","3836","TCP","44","171","60582  >  3836 [ACK] Seq=311 Ack=167 Win=65280 Len=0"
"486","83.423279","127.0.0.1","127.0.0.1","3836","60582","HTTP/JSON","327","171","HTTP/1.1 200 OK , JSON (application/json)"
"487","83.423296","127.0.0.1","127.0.0.1","60582","3836","TCP","44","171","60582  >  3836 [ACK] Seq=311 Ack=450 Win=65024 Len=0"
"488","83.423982","127.0.0.1","127.0.0.1","60582","3836","TCP","44","171","60582  >  3836 [FIN, ACK] Seq=311 Ack=450 Win=65024 Len=0"
"489","83.424033","127.0.0.1","127.0.0.1","3836","60582","TCP","44","171","3836  >  60582 [ACK] Seq=450 Ack=312 Win=65024 Len=0"
"490","83.426915","127.0.0.1","127.0.0.1","3836","60582","TCP","44","171","3836  >  60582 [FIN, ACK] Seq=450 Ack=312 Win=65024 Len=0"
