"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"37436","123.067865","163.117.139.71","104.18.27.90","60557","443","TCP","66","142","60557  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"37440","123.087217","104.18.27.90","163.117.139.71","443","60557","TCP","66","142","443  >  60557 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"37441","123.087369","163.117.139.71","104.18.27.90","60557","443","TCP","54","142","60557  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"37444","123.106574","163.117.139.71","104.18.27.90","60557","443","TLSv1.3","571","142","Client Hello (SNI=api.deepseek.com)"
"37445","123.125932","104.18.27.90","163.117.139.71","443","60557","TCP","60","142","443  >  60557 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"37446","123.130460","104.18.27.90","163.117.139.71","443","60557","TLSv1.3","1514","142","Server Hello, Change Cipher Spec"
"37447","123.130594","104.18.27.90","163.117.139.71","443","60557","TLSv1.3","1429","142","Application Data"
"37448","123.130620","163.117.139.71","104.18.27.90","60557","443","TCP","54","142","60557  >  443 [ACK] Seq=518 Ack=2836 Win=65280 Len=0"
"37449","123.136252","163.117.139.71","104.18.27.90","60557","443","TLSv1.3","134","142","Change Cipher Spec, Application Data"
"37450","123.136820","163.117.139.71","104.18.27.90","60557","443","TLSv1.3","634","142","Application Data"
"37451","123.137091","163.117.139.71","104.18.27.90","60557","443","TLSv1.3","502","142","Application Data"
"37452","123.156056","104.18.27.90","163.117.139.71","443","60557","TCP","60","142","443  >  60557 [ACK] Seq=2836 Ack=1178 Win=131072 Len=0"
"37455","123.197889","104.18.27.90","163.117.139.71","443","60557","TCP","60","142","443  >  60557 [ACK] Seq=2836 Ack=1626 Win=131072 Len=0"
"37501","123.432080","104.18.27.90","163.117.139.71","443","60557","TLSv1.3","1398","142","Application Data, Application Data"
"37503","123.486266","163.117.139.71","104.18.27.90","60557","443","TCP","54","142","60557  >  443 [ACK] Seq=1626 Ack=4180 Win=64000 Len=0"
"40662","146.079450","104.18.27.90","163.117.139.71","443","60557","TLSv1.3","1349","142","Application Data"
"40663","146.079450","104.18.27.90","163.117.139.71","443","60557","TLSv1.3","91","142","Application Data"
"40664","146.079450","104.18.27.90","163.117.139.71","443","60557","TLSv1.3","81","142","Application Data"
"40665","146.079557","163.117.139.71","104.18.27.90","60557","443","TCP","54","142","60557  >  443 [ACK] Seq=1626 Ack=5539 Win=65280 Len=0"
"42129","156.100958","163.117.139.71","104.18.27.90","60557","443","TCP","54","142","60557  >  443 [FIN, ACK] Seq=1626 Ack=5539 Win=65280 Len=0"
"42130","156.101895","163.117.139.71","104.18.27.90","60583","443","TCP","66","181","60583  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"42132","156.121186","104.18.27.90","163.117.139.71","443","60557","TCP","60","142","443  >  60557 [FIN, ACK] Seq=5539 Ack=1627 Win=131072 Len=0"
"42133","156.121314","163.117.139.71","104.18.27.90","60557","443","TCP","54","142","60557  >  443 [ACK] Seq=1627 Ack=5540 Win=65280 Len=0"
"42134","156.121512","104.18.27.90","163.117.139.71","443","60583","TCP","66","181","443  >  60583 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"42135","156.121621","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"42136","156.123157","163.117.139.71","104.18.27.90","60583","443","TLSv1.3","571","181","Client Hello (SNI=api.deepseek.com)"
"42137","156.142816","104.18.27.90","163.117.139.71","443","60583","TCP","60","181","443  >  60583 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"42139","156.149653","104.18.27.90","163.117.139.71","443","60583","TLSv1.3","1514","181","Server Hello, Change Cipher Spec"
"42140","156.149789","104.18.27.90","163.117.139.71","443","60583","TLSv1.3","1430","181","Application Data"
"42141","156.149820","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [ACK] Seq=518 Ack=2837 Win=65280 Len=0"
"42143","156.155511","163.117.139.71","104.18.27.90","60583","443","TLSv1.3","134","181","Change Cipher Spec, Application Data"
"42144","156.156131","163.117.139.71","104.18.27.90","60583","443","TLSv1.3","822","181","Application Data"
"42145","156.156351","163.117.139.71","104.18.27.90","60583","443","TLSv1.3","325","181","Application Data"
"42155","156.175549","104.18.27.90","163.117.139.71","443","60583","TCP","60","181","443  >  60583 [ACK] Seq=2837 Ack=1366 Win=131072 Len=0"
"42159","156.216655","104.18.27.90","163.117.139.71","443","60583","TCP","60","181","443  >  60583 [ACK] Seq=2837 Ack=1637 Win=131072 Len=0"
"42177","156.453388","104.18.27.90","163.117.139.71","443","60583","TLSv1.3","1106","181","Application Data, Application Data"
"42178","156.496042","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [ACK] Seq=1637 Ack=3889 Win=64256 Len=0"
"44853","178.110318","104.18.27.90","163.117.139.71","443","60583","TLSv1.3","1330","181","Application Data"
"44855","178.111502","104.18.27.90","163.117.139.71","443","60583","TLSv1.3","91","181","Application Data"
"44856","178.111569","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [ACK] Seq=1637 Ack=5202 Win=65280 Len=0"
"44857","178.111631","104.18.27.90","163.117.139.71","443","60583","TLSv1.3","81","181","Application Data"
"44860","178.165914","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [ACK] Seq=1637 Ack=5229 Win=65280 Len=0"
"46176","188.128271","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [FIN, ACK] Seq=1637 Ack=5229 Win=65280 Len=0"
"46179","188.133960","163.117.139.71","104.18.26.90","60600","443","TCP","66","205","60600  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"46182","188.148257","104.18.27.90","163.117.139.71","443","60583","TCP","60","181","443  >  60583 [FIN, ACK] Seq=5229 Ack=1638 Win=131072 Len=0"
"46183","188.148352","163.117.139.71","104.18.27.90","60583","443","TCP","54","181","60583  >  443 [ACK] Seq=1638 Ack=5230 Win=65280 Len=0"
"46184","188.153481","104.18.26.90","163.117.139.71","443","60600","TCP","66","205","443  >  60600 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"46185","188.153618","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"46195","188.175458","163.117.139.71","104.18.26.90","60600","443","TLSv1.3","571","205","Client Hello (SNI=api.deepseek.com)"
"46197","188.195719","104.18.26.90","163.117.139.71","443","60600","TCP","60","205","443  >  60600 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"46198","188.200343","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","1514","205","Server Hello, Change Cipher Spec"
"46199","188.200343","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","1428","205","Application Data"
"46200","188.200549","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [ACK] Seq=518 Ack=2835 Win=65280 Len=0"
"46201","188.205803","163.117.139.71","104.18.26.90","60600","443","TLSv1.3","134","205","Change Cipher Spec, Application Data"
"46202","188.206405","163.117.139.71","104.18.26.90","60600","443","TLSv1.3","822","205","Application Data"
"46203","188.206532","163.117.139.71","104.18.26.90","60600","443","TLSv1.3","401","205","Application Data"
"46207","188.225936","104.18.26.90","163.117.139.71","443","60600","TCP","60","205","443  >  60600 [ACK] Seq=2835 Ack=1713 Win=131072 Len=0"
"46220","188.493157","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","1106","205","Application Data, Application Data"
"46236","188.533307","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [ACK] Seq=1713 Ack=3887 Win=64256 Len=0"
"54260","248.495996","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","88","205","Application Data"
"54266","248.541979","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [ACK] Seq=1713 Ack=3921 Win=64256 Len=0"
"54737","251.282373","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","1445","205","Application Data"
"54738","251.282373","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","168","205","Application Data"
"54739","251.282373","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","951","205","Application Data"
"54740","251.282373","104.18.26.90","163.117.139.71","443","60600","TLSv1.3","81","205","Application Data"
"54741","251.282506","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [ACK] Seq=1713 Ack=6350 Win=65280 Len=0"
"56040","261.300585","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [FIN, ACK] Seq=1713 Ack=6350 Win=65280 Len=0"
"56041","261.301468","163.117.139.71","104.18.26.90","51778","443","TCP","66","262","51778  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"56043","261.320333","104.18.26.90","163.117.139.71","443","60600","TCP","60","205","443  >  60600 [FIN, ACK] Seq=6350 Ack=1714 Win=131072 Len=0"
"56044","261.320431","163.117.139.71","104.18.26.90","60600","443","TCP","54","205","60600  >  443 [ACK] Seq=1714 Ack=6351 Win=65280 Len=0"
"56045","261.321236","104.18.26.90","163.117.139.71","443","51778","TCP","66","262","443  >  51778 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
