"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"225","11.238499","192.168.1.37","104.18.2.205","64668","443","TCP","66","10","64668  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"226","11.245116","104.18.2.205","192.168.1.37","443","64668","TCP","66","10","443  >  64668 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"227","11.245197","192.168.1.37","104.18.2.205","64668","443","TCP","54","10","64668  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"228","11.245661","192.168.1.37","104.18.2.205","64668","443","TLSv1.3","571","10","Client Hello (SNI=api.groq.com)"
"229","11.252203","104.18.2.205","192.168.1.37","443","64668","TCP","60","10","443  >  64668 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"230","11.252203","104.18.2.205","192.168.1.37","443","64668","TLSv1.3","1506","10","Server Hello, Change Cipher Spec"
"231","11.252203","104.18.2.205","192.168.1.37","443","64668","TLSv1.3","1429","10","Application Data"
"232","11.252255","192.168.1.37","104.18.2.205","64668","443","TCP","54","10","64668  >  443 [ACK] Seq=518 Ack=2828 Win=65280 Len=0"
"233","11.254071","192.168.1.37","104.18.2.205","64668","443","TLSv1.3","134","10","Change Cipher Spec, Application Data"
"234","11.254380","192.168.1.37","104.18.2.205","64668","443","TLSv1.3","628","10","Application Data"
"235","11.254438","192.168.1.37","104.18.2.205","64668","443","TLSv1.3","492","10","Application Data"
"236","11.260730","104.18.2.205","192.168.1.37","443","64668","TCP","60","10","443  >  64668 [ACK] Seq=2828 Ack=1172 Win=73728 Len=0"
"237","11.308393","104.18.2.205","192.168.1.37","443","64668","TCP","60","10","443  >  64668 [ACK] Seq=2828 Ack=1610 Win=73728 Len=0"
"272","12.679513","104.18.2.205","192.168.1.37","443","64668","TLSv1.3","1506","10","Application Data"
"273","12.679513","104.18.2.205","192.168.1.37","443","64668","TLSv1.3","491","10","Application Data"
"274","12.679513","104.18.2.205","192.168.1.37","443","64668","TLSv1.3","370","10","Application Data"
"275","12.679513","104.18.2.205","192.168.1.37","443","64668","TLSv1.3","81","10","Application Data"
"276","12.679599","192.168.1.37","104.18.2.205","64668","443","TCP","54","10","64668  >  443 [ACK] Seq=1610 Ack=5060 Win=65280 Len=0"
"465","19.960532","192.168.1.37","104.18.2.205","64668","443","TCP","54","10","64668  >  443 [FIN, ACK] Seq=1610 Ack=5060 Win=65280 Len=0"
"466","19.967525","104.18.2.205","192.168.1.37","443","64668","TCP","60","10","443  >  64668 [FIN, ACK] Seq=5060 Ack=1611 Win=73728 Len=0"
"467","19.967572","192.168.1.37","104.18.2.205","64668","443","TCP","54","10","64668  >  443 [ACK] Seq=1611 Ack=5061 Win=65280 Len=0"
"512","23.250392","192.168.1.37","104.18.2.205","64672","443","TCP","66","38","64672  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"513","23.257239","104.18.2.205","192.168.1.37","443","64672","TCP","66","38","443  >  64672 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"514","23.257314","192.168.1.37","104.18.2.205","64672","443","TCP","54","38","64672  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"515","23.257704","192.168.1.37","104.18.2.205","64672","443","TLSv1.3","571","38","Client Hello (SNI=api.groq.com)"
"516","23.270711","104.18.2.205","192.168.1.37","443","64672","TCP","60","38","443  >  64672 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"517","23.270711","104.18.2.205","192.168.1.37","443","64672","TLSv1.3","1506","38","Server Hello, Change Cipher Spec"
"518","23.270711","104.18.2.205","192.168.1.37","443","64672","TLSv1.3","1428","38","Application Data"
"519","23.270781","192.168.1.37","104.18.2.205","64672","443","TCP","54","38","64672  >  443 [ACK] Seq=518 Ack=2827 Win=65280 Len=0"
"520","23.272945","192.168.1.37","104.18.2.205","64672","443","TLSv1.3","134","38","Change Cipher Spec, Application Data"
"521","23.273243","192.168.1.37","104.18.2.205","64672","443","TLSv1.3","628","38","Application Data"
"522","23.273300","192.168.1.37","104.18.2.205","64672","443","TLSv1.3","312","38","Application Data"
