"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"69","11.583085","127.0.0.1","127.0.0.1","50048","3836","TCP","56","34","50048  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"70","11.583197","127.0.0.1","127.0.0.1","3836","50048","TCP","56","34","3836  >  50048 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"71","11.583255","127.0.0.1","127.0.0.1","50048","3836","TCP","44","34","50048  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"72","11.583371","127.0.0.1","127.0.0.1","50048","3836","HTTP","607","34","GET /respond?query=Janet%E2%80%99s%20ducks%20lay%2016%20eggs%20per%20day.%20She%20eats%20three%20for%20breakfast%20every%20morning%20and%20bakes%20muffins%20for%20her%20friends%20every%20day%20with%20four.%20She%20sells%20the%20remainder%20at%20the%20farmers%27%20market%20daily%20for%20%242%20per%20fresh%20duck%20egg.%20How%20much%20in%20dollars%20does%20she%20make%20every%20day%20at%20the%20farmers%27%20market%3F HTTP/1.1 "
"73","11.583408","127.0.0.1","127.0.0.1","3836","50048","TCP","44","34","3836  >  50048 [ACK] Seq=1 Ack=564 Win=64768 Len=0"
"89","13.701626","127.0.0.1","127.0.0.1","3836","50048","TCP","210","34","3836  >  50048 [PSH, ACK] Seq=1 Ack=564 Win=64768 Len=166 [TCP PDU reassembled in 91]"
"90","13.701679","127.0.0.1","127.0.0.1","50048","3836","TCP","44","34","50048  >  3836 [ACK] Seq=564 Ack=167 Win=65280 Len=0"
"91","13.701719","127.0.0.1","127.0.0.1","3836","50048","HTTP/JSON","479","34","HTTP/1.1 200 OK , JSON (application/json)"
"92","13.701743","127.0.0.1","127.0.0.1","50048","3836","TCP","44","34","50048  >  3836 [ACK] Seq=564 Ack=602 Win=64768 Len=0"
"93","13.702736","127.0.0.1","127.0.0.1","50048","3836","TCP","44","34","50048  >  3836 [FIN, ACK] Seq=564 Ack=602 Win=64768 Len=0"
"94","13.702802","127.0.0.1","127.0.0.1","3836","50048","TCP","44","34","3836  >  50048 [ACK] Seq=602 Ack=565 Win=64768 Len=0"
"95","13.705694","127.0.0.1","127.0.0.1","3836","50048","TCP","44","34","3836  >  50048 [FIN, ACK] Seq=602 Ack=565 Win=64768 Len=0"
"96","13.705778","127.0.0.1","127.0.0.1","50048","3836","TCP","44","34","50048  >  3836 [ACK] Seq=565 Ack=603 Win=64768 Len=0"
"151","23.707719","127.0.0.1","127.0.0.1","50058","3836","TCP","56","69","50058  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"152","23.707823","127.0.0.1","127.0.0.1","3836","50058","TCP","56","69","3836  >  50058 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"153","23.707890","127.0.0.1","127.0.0.1","50058","3836","TCP","44","69","50058  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"154","23.708005","127.0.0.1","127.0.0.1","50058","3836","HTTP","360","69","GET /respond?query=A%20robe%20takes%202%20bolts%20of%20blue%20fiber%20and%20half%20that%20much%20white%20fiber.%20%20How%20many%20bolts%20in%20total%20does%20it%20take%3F HTTP/1.1 "
"155","23.708049","127.0.0.1","127.0.0.1","3836","50058","TCP","44","69","3836  >  50058 [ACK] Seq=1 Ack=317 Win=65024 Len=0"
"169","25.487594","127.0.0.1","127.0.0.1","3836","50058","TCP","210","69","3836  >  50058 [PSH, ACK] Seq=1 Ack=317 Win=65024 Len=166 [TCP PDU reassembled in 171]"
"170","25.487662","127.0.0.1","127.0.0.1","50058","3836","TCP","44","69","50058  >  3836 [ACK] Seq=317 Ack=167 Win=65280 Len=0"
"171","25.487730","127.0.0.1","127.0.0.1","3836","50058","HTTP/JSON","453","69","HTTP/1.1 200 OK , JSON (application/json)"
"172","25.487767","127.0.0.1","127.0.0.1","50058","3836","TCP","44","69","50058  >  3836 [ACK] Seq=317 Ack=576 Win=64768 Len=0"
"173","25.488854","127.0.0.1","127.0.0.1","50058","3836","TCP","44","69","50058  >  3836 [FIN, ACK] Seq=317 Ack=576 Win=64768 Len=0"
"174","25.488930","127.0.0.1","127.0.0.1","3836","50058","TCP","44","69","3836  >  50058 [ACK] Seq=576 Ack=318 Win=65024 Len=0"
"175","25.492443","127.0.0.1","127.0.0.1","3836","50058","TCP","44","69","3836  >  50058 [FIN, ACK] Seq=576 Ack=318 Win=65024 Len=0"
"176","25.492505","127.0.0.1","127.0.0.1","50058","3836","TCP","44","69","50058  >  3836 [ACK] Seq=318 Ack=577 Win=64768 Len=0"
"233","35.494415","127.0.0.1","127.0.0.1","50068","3836","TCP","56","104","50068  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"234","35.494531","127.0.0.1","127.0.0.1","3836","50068","TCP","56","104","3836  >  50068 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"235","35.494589","127.0.0.1","127.0.0.1","50068","3836","TCP","44","104","50068  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"236","35.494720","127.0.0.1","127.0.0.1","50068","3836","HTTP","476","104","GET /respond?query=Josh%20decides%20to%20try%20flipping%20a%20house.%20%20He%20buys%20a%20house%20for%20%2480%2C000%20and%20then%20puts%20in%20%2450%2C000%20in%20repairs.%20%20This%20increased%20the%20value%20of%20the%20house%20by%20150%25.%20%20How%20much%20profit%20did%20he%20make%3F HTTP/1.1 "
"237","35.494791","127.0.0.1","127.0.0.1","3836","50068","TCP","44","104","3836  >  50068 [ACK] Seq=1 Ack=433 Win=65024 Len=0"
"279","42.599966","127.0.0.1","127.0.0.1","3836","50068","TCP","210","104","3836  >  50068 [PSH, ACK] Seq=1 Ack=433 Win=65024 Len=166 [TCP PDU reassembled in 281]"
"280","42.600038","127.0.0.1","127.0.0.1","50068","3836","TCP","44","104","50068  >  3836 [ACK] Seq=433 Ack=167 Win=65280 Len=0"
"281","42.600146","127.0.0.1","127.0.0.1","3836","50068","HTTP/JSON","847","104","HTTP/1.1 200 OK , JSON (application/json)"
"282","42.600196","127.0.0.1","127.0.0.1","50068","3836","TCP","44","104","50068  >  3836 [ACK] Seq=433 Ack=970 Win=64512 Len=0"
"283","42.600836","127.0.0.1","127.0.0.1","50068","3836","TCP","44","104","50068  >  3836 [FIN, ACK] Seq=433 Ack=970 Win=64512 Len=0"
"284","42.600893","127.0.0.1","127.0.0.1","3836","50068","TCP","44","104","3836  >  50068 [ACK] Seq=970 Ack=434 Win=65024 Len=0"
"285","42.604112","127.0.0.1","127.0.0.1","3836","50068","TCP","44","104","3836  >  50068 [FIN, ACK] Seq=970 Ack=434 Win=65024 Len=0"
"286","42.604183","127.0.0.1","127.0.0.1","50068","3836","TCP","44","104","50068  >  3836 [ACK] Seq=434 Ack=971 Win=64512 Len=0"
"345","52.606639","127.0.0.1","127.0.0.1","50080","3836","TCP","56","154","50080  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"346","52.606752","127.0.0.1","127.0.0.1","3836","50080","TCP","56","154","3836  >  50080 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"347","52.606810","127.0.0.1","127.0.0.1","50080","3836","TCP","44","154","50080  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"348","52.606959","127.0.0.1","127.0.0.1","50080","3836","HTTP","384","154","GET /respond?query=James%20decides%20to%20run%203%20sprints%203%20times%20a%20week.%20%20He%20runs%2060%20meters%20each%20sprint.%20%20How%20many%20total%20meters%20does%20he%20run%20a%20week%3F HTTP/1.1 "
"349","52.607006","127.0.0.1","127.0.0.1","3836","50080","TCP","44","154","3836  >  50080 [ACK] Seq=1 Ack=341 Win=65024 Len=0"
"359","54.010018","127.0.0.1","127.0.0.1","3836","50080","TCP","210","154","3836  >  50080 [PSH, ACK] Seq=1 Ack=341 Win=65024 Len=166 [TCP PDU reassembled in 361]"
"360","54.010089","127.0.0.1","127.0.0.1","50080","3836","TCP","44","154","50080  >  3836 [ACK] Seq=341 Ack=167 Win=65280 Len=0"
"361","54.010219","127.0.0.1","127.0.0.1","3836","50080","HTTP/JSON","528","154","HTTP/1.1 200 OK , JSON (application/json)"
"362","54.010265","127.0.0.1","127.0.0.1","50080","3836","TCP","44","154","50080  >  3836 [ACK] Seq=341 Ack=651 Win=64768 Len=0"
"363","54.010944","127.0.0.1","127.0.0.1","50080","3836","TCP","44","154","50080  >  3836 [FIN, ACK] Seq=341 Ack=651 Win=64768 Len=0"
"364","54.011013","127.0.0.1","127.0.0.1","3836","50080","TCP","44","154","3836  >  50080 [ACK] Seq=651 Ack=342 Win=65024 Len=0"
"365","54.014671","127.0.0.1","127.0.0.1","3836","50080","TCP","44","154","3836  >  50080 [FIN, ACK] Seq=651 Ack=342 Win=65024 Len=0"
"366","54.014734","127.0.0.1","127.0.0.1","50080","3836","TCP","44","154","50080  >  3836 [ACK] Seq=342 Ack=652 Win=64768 Len=0"
"423","64.017123","127.0.0.1","127.0.0.1","50089","3836","TCP","56","187","50089  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"424","64.017225","127.0.0.1","127.0.0.1","3836","50089","TCP","56","187","3836  >  50089 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"425","64.017286","127.0.0.1","127.0.0.1","50089","3836","TCP","44","187","50089  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"426","64.017421","127.0.0.1","127.0.0.1","50089","3836","HTTP","872","187","GET /respond?query=Every%20day%2C%20Wendi%20feeds%20each%20of%20her%20chickens%20three%20cups%20of%20mixed%20chicken%20feed%2C%20containing%20seeds%2C%20mealworms%20and%20vegetables%20to%20help%20keep%20them%20healthy.%20%20She%20gives%20the%20chickens%20their%20feed%20in%20three%20separate%20meals.%20In%20the%20morning%2C%20she%20gives%20her%20flock%20of%20chickens%2015%20cups%20of%20feed.%20%20In%20the%20afternoon%2C%20she%20gives%20her%20chickens%20another%2025%20cups%20of%20feed.%20%20How%20many%20cups%20of%20feed%20does%20she%20need%20to%20give%20her%20chickens%20in%20the%20final%20meal%20of%20the%20day%20if%20the%20size%20of%20Wendi%27s%20flock%20is%2020%20chickens%3F HTTP/1.1 "
"427","64.017480","127.0.0.1","127.0.0.1","3836","50089","TCP","44","187","3836  >  50089 [ACK] Seq=1 Ack=829 Win=64512 Len=0"
"441","65.650889","127.0.0.1","127.0.0.1","3836","50089","TCP","210","187","3836  >  50089 [PSH, ACK] Seq=1 Ack=829 Win=64512 Len=166 [TCP PDU reassembled in 443]"
"442","65.650954","127.0.0.1","127.0.0.1","50089","3836","TCP","44","187","50089  >  3836 [ACK] Seq=829 Ack=167 Win=65280 Len=0"
"443","65.650996","127.0.0.1","127.0.0.1","3836","50089","HTTP/JSON","796","187","HTTP/1.1 200 OK , JSON (application/json)"
"444","65.651020","127.0.0.1","127.0.0.1","50089","3836","TCP","44","187","50089  >  3836 [ACK] Seq=829 Ack=919 Win=64512 Len=0"
"445","65.651846","127.0.0.1","127.0.0.1","50089","3836","TCP","44","187","50089  >  3836 [FIN, ACK] Seq=829 Ack=919 Win=64512 Len=0"
"446","65.651913","127.0.0.1","127.0.0.1","3836","50089","TCP","44","187","3836  >  50089 [ACK] Seq=919 Ack=830 Win=64512 Len=0"
"447","65.655216","127.0.0.1","127.0.0.1","3836","50089","TCP","44","187","3836  >  50089 [FIN, ACK] Seq=919 Ack=830 Win=64512 Len=0"
"448","65.655274","127.0.0.1","127.0.0.1","50089","3836","TCP","44","187","50089  >  3836 [ACK] Seq=830 Ack=920 Win=64512 Len=0"
"503","75.657736","127.0.0.1","127.0.0.1","50099","3836","TCP","56","221","50099  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"504","75.657838","127.0.0.1","127.0.0.1","3836","50099","TCP","56","221","3836  >  50099 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"505","75.657901","127.0.0.1","127.0.0.1","50099","3836","TCP","44","221","50099  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"506","75.658005","127.0.0.1","127.0.0.1","50099","3836","HTTP","500","221","GET /respond?query=Kylar%20went%20to%20the%20store%20to%20buy%20glasses%20for%20his%20new%20apartment.%20One%20glass%20costs%20%245%2C%20but%20every%20second%20glass%20costs%20only%2060%25%20of%20the%20price.%20Kylar%20wants%20to%20buy%2016%20glasses.%20How%20much%20does%20he%20need%20to%20pay%20for%20them%3F HTTP/1.1 "
"507","75.658042","127.0.0.1","127.0.0.1","3836","50099","TCP","44","221","3836  >  50099 [ACK] Seq=1 Ack=457 Win=65024 Len=0"
"545","78.688326","127.0.0.1","127.0.0.1","3836","50099","TCP","210","221","3836  >  50099 [PSH, ACK] Seq=1 Ack=457 Win=65024 Len=166 [TCP PDU reassembled in 547]"
"546","78.688418","127.0.0.1","127.0.0.1","50099","3836","TCP","44","221","50099  >  3836 [ACK] Seq=457 Ack=167 Win=65280 Len=0"
"547","78.688496","127.0.0.1","127.0.0.1","3836","50099","HTTP/JSON","609","221","HTTP/1.1 200 OK , JSON (application/json)"
"548","78.688543","127.0.0.1","127.0.0.1","50099","3836","TCP","44","221","50099  >  3836 [ACK] Seq=457 Ack=732 Win=64768 Len=0"
"549","78.689453","127.0.0.1","127.0.0.1","50099","3836","TCP","44","221","50099  >  3836 [FIN, ACK] Seq=457 Ack=732 Win=64768 Len=0"
"550","78.689538","127.0.0.1","127.0.0.1","3836","50099","TCP","44","221","3836  >  50099 [ACK] Seq=732 Ack=458 Win=65024 Len=0"
"551","78.693167","127.0.0.1","127.0.0.1","3836","50099","TCP","44","221","3836  >  50099 [FIN, ACK] Seq=732 Ack=458 Win=65024 Len=0"
"552","78.693238","127.0.0.1","127.0.0.1","50099","3836","TCP","44","221","50099  >  3836 [ACK] Seq=458 Ack=733 Win=64768 Len=0"
"607","88.695209","127.0.0.1","127.0.0.1","50111","3836","TCP","56","259","50111  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"608","88.695335","127.0.0.1","127.0.0.1","3836","50111","TCP","56","259","3836  >  50111 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"609","88.695394","127.0.0.1","127.0.0.1","50111","3836","TCP","44","259","50111  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"610","88.695525","127.0.0.1","127.0.0.1","50111","3836","HTTP","464","259","GET /respond?query=Toulouse%20has%20twice%20as%20many%20sheep%20as%20Charleston.%20Charleston%20has%204%20times%20as%20many%20sheep%20as%20Seattle.%20How%20many%20sheep%20do%20Toulouse%2C%20Charleston%2C%20and%20Seattle%20have%20together%20if%20Seattle%20has%2020%20sheep%3F HTTP/1.1 "
"611","88.695570","127.0.0.1","127.0.0.1","3836","50111","TCP","44","259","3836  >  50111 [ACK] Seq=1 Ack=421 Win=65024 Len=0"
"625","90.729217","127.0.0.1","127.0.0.1","3836","50111","TCP","210","259","3836  >  50111 [PSH, ACK] Seq=1 Ack=421 Win=65024 Len=166 [TCP PDU reassembled in 627]"
"626","90.729270","127.0.0.1","127.0.0.1","50111","3836","TCP","44","259","50111  >  3836 [ACK] Seq=421 Ack=167 Win=65280 Len=0"
"627","90.729308","127.0.0.1","127.0.0.1","3836","50111","HTTP/JSON","545","259","HTTP/1.1 200 OK , JSON (application/json)"
"628","90.729329","127.0.0.1","127.0.0.1","50111","3836","TCP","44","259","50111  >  3836 [ACK] Seq=421 Ack=668 Win=64768 Len=0"
"629","90.730058","127.0.0.1","127.0.0.1","50111","3836","TCP","44","259","50111  >  3836 [FIN, ACK] Seq=421 Ack=668 Win=64768 Len=0"
"630","90.730115","127.0.0.1","127.0.0.1","3836","50111","TCP","44","259","3836  >  50111 [ACK] Seq=668 Ack=422 Win=65024 Len=0"
"631","90.733177","127.0.0.1","127.0.0.1","3836","50111","TCP","44","259","3836  >  50111 [FIN, ACK] Seq=668 Ack=422 Win=65024 Len=0"
"632","90.733239","127.0.0.1","127.0.0.1","50111","3836","TCP","44","259","50111  >  3836 [ACK] Seq=422 Ack=669 Win=64768 Len=0"
"692","100.736270","127.0.0.1","127.0.0.1","50123","3836","TCP","56","295","50123  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"693","100.736371","127.0.0.1","127.0.0.1","3836","50123","TCP","56","295","3836  >  50123 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"694","100.736444","127.0.0.1","127.0.0.1","50123","3836","TCP","44","295","50123  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"695","100.736593","127.0.0.1","127.0.0.1","50123","3836","HTTP","606","295","GET /respond?query=Carla%20is%20downloading%20a%20200%20GB%20file.%20Normally%20she%20can%20download%202%20GB/minute%2C%20but%2040%25%20of%20the%20way%20through%20the%20download%2C%20Windows%20forces%20a%20restart%20to%20install%20updates%2C%20which%20takes%2020%20minutes.%20Then%20Carla%20has%20to%20restart%20the%20download%20from%20the%20beginning.%20How%20load%20does%20it%20take%20to%20download%20the%20file%3F HTTP/1.1 "
