"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"2416","8.302535","163.117.139.71","188.114.96.5","50051","443","TCP","66","3","50051  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2421","8.332368","188.114.96.5","163.117.139.71","443","50051","TCP","66","3","443  >  50051 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"2422","8.332521","163.117.139.71","188.114.96.5","50051","443","TCP","54","3","50051  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"2423","8.333842","163.117.139.71","188.114.96.5","50051","443","TLSv1.3","571","3","Client Hello (SNI=api.llama-api.com)"
"2578","8.359226","188.114.96.5","163.117.139.71","443","50051","TCP","60","3","443  >  50051 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"2580","8.359226","188.114.96.5","163.117.139.71","443","50051","TLSv1.3","1514","3","Server Hello, Change Cipher Spec"
"2602","8.370804","188.114.96.5","163.117.139.71","443","50051","TLSv1.3","1438","3","Application Data"
"2603","8.370899","163.117.139.71","188.114.96.5","50051","443","TCP","54","3","50051  >  443 [ACK] Seq=518 Ack=2845 Win=65280 Len=0"
"2604","8.376087","163.117.139.71","188.114.96.5","50051","443","TLSv1.3","134","3","Change Cipher Spec, Application Data"
"2605","8.376514","163.117.139.71","188.114.96.5","50051","443","TLSv1.3","391","3","Application Data"
"2606","8.376574","163.117.139.71","188.114.96.5","50051","443","TLSv1.3","433","3","Application Data"
"2608","8.396135","188.114.96.5","163.117.139.71","443","50051","TCP","60","3","443  >  50051 [ACK] Seq=2845 Ack=1314 Win=131072 Len=0"
"2827","10.403566","188.114.96.5","163.117.139.71","443","50051","TLSv1.3","860","3","Application Data, Application Data"
"2828","10.404840","188.114.96.5","163.117.139.71","443","50051","TLSv1.3","528","3","Application Data"
"2829","10.404840","188.114.96.5","163.117.139.71","443","50051","TLSv1.3","81","3","Application Data"
"2830","10.404924","163.117.139.71","188.114.96.5","50051","443","TCP","54","3","50051  >  443 [ACK] Seq=1314 Ack=4152 Win=64000 Len=0"
"2831","10.405597","163.117.139.71","188.114.96.5","50051","443","TCP","54","3","50051  >  443 [FIN, ACK] Seq=1314 Ack=4152 Win=64000 Len=0"
