"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"349","15.612301","127.0.0.1","127.0.0.1","60090","3836","TCP","56","1","60090  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"350","15.612430","127.0.0.1","127.0.0.1","3836","60090","TCP","56","1","3836  >  60090 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"351","15.612453","127.0.0.1","127.0.0.1","60090","3836","TCP","44","1","60090  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"352","15.612496","127.0.0.1","127.0.0.1","60090","3836","HTTP","601","1","GET /respond?query=Janet%E2%80%99s%20ducks%20lay%2016%20eggs%20per%20day.%20She%20eats%20three%20for%20breakfast%20every%20morning%20and%20bakes%20muffins%20for%20her%20friends%20every%20day%20with%20four.%20She%20sells%20the%20remainder%20at%20the%20farmers%27%20market%20daily%20for%20%242%20per%20fresh%20duck%20egg.%20How%20much%20in%20dollars%20does%20she%20make%20every%20day%20at%20the%20farmers%27%20market%3F HTTP/1.1 "
"353","15.612504","127.0.0.1","127.0.0.1","3836","60090","TCP","44","1","3836  >  60090 [ACK] Seq=1 Ack=558 Win=64768 Len=0"
"428","18.567175","127.0.0.1","127.0.0.1","3836","60090","TCP","210","1","3836  >  60090 [PSH, ACK] Seq=1 Ack=558 Win=64768 Len=166 [TCP PDU reassembled in 430]"
"429","18.567215","127.0.0.1","127.0.0.1","60090","3836","TCP","44","1","60090  >  3836 [ACK] Seq=558 Ack=167 Win=65280 Len=0"
"430","18.567245","127.0.0.1","127.0.0.1","3836","60090","HTTP/JSON","739","1","HTTP/1.1 200 OK , JSON (application/json)"
"431","18.567266","127.0.0.1","127.0.0.1","60090","3836","TCP","44","1","60090  >  3836 [ACK] Seq=558 Ack=862 Win=64512 Len=0"
"432","18.568004","127.0.0.1","127.0.0.1","60090","3836","TCP","44","1","60090  >  3836 [FIN, ACK] Seq=558 Ack=862 Win=64512 Len=0"
"433","18.568044","127.0.0.1","127.0.0.1","3836","60090","TCP","44","1","3836  >  60090 [ACK] Seq=862 Ack=559 Win=64768 Len=0"
"434","18.570269","127.0.0.1","127.0.0.1","3836","60090","TCP","44","1","3836  >  60090 [FIN, ACK] Seq=862 Ack=559 Win=64768 Len=0"
"435","18.570297","127.0.0.1","127.0.0.1","60090","3836","TCP","44","1","60090  >  3836 [ACK] Seq=559 Ack=863 Win=64512 Len=0"
"436","18.571365","127.0.0.1","127.0.0.1","60095","3836","TCP","56","3","60095  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"437","18.571466","127.0.0.1","127.0.0.1","3836","60095","TCP","56","3","3836  >  60095 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"438","18.571486","127.0.0.1","127.0.0.1","60095","3836","TCP","44","3","60095  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"439","18.571520","127.0.0.1","127.0.0.1","60095","3836","HTTP","354","3","GET /respond?query=A%20robe%20takes%202%20bolts%20of%20blue%20fiber%20and%20half%20that%20much%20white%20fiber.%20%20How%20many%20bolts%20in%20total%20does%20it%20take%3F HTTP/1.1 "
"440","18.571528","127.0.0.1","127.0.0.1","3836","60095","TCP","44","3","3836  >  60095 [ACK] Seq=1 Ack=311 Win=65024 Len=0"
"516","20.954980","127.0.0.1","127.0.0.1","3836","60095","TCP","210","3","3836  >  60095 [PSH, ACK] Seq=1 Ack=311 Win=65024 Len=166 [TCP PDU reassembled in 518]"
"517","20.955021","127.0.0.1","127.0.0.1","60095","3836","TCP","44","3","60095  >  3836 [ACK] Seq=311 Ack=167 Win=65280 Len=0"
"518","20.955047","127.0.0.1","127.0.0.1","3836","60095","HTTP/JSON","660","3","HTTP/1.1 200 OK , JSON (application/json)"
"519","20.955061","127.0.0.1","127.0.0.1","60095","3836","TCP","44","3","60095  >  3836 [ACK] Seq=311 Ack=783 Win=64512 Len=0"
"520","20.955611","127.0.0.1","127.0.0.1","60095","3836","TCP","44","3","60095  >  3836 [FIN, ACK] Seq=311 Ack=783 Win=64512 Len=0"
"521","20.955646","127.0.0.1","127.0.0.1","3836","60095","TCP","44","3","3836  >  60095 [ACK] Seq=783 Ack=312 Win=65024 Len=0"
"522","20.957995","127.0.0.1","127.0.0.1","3836","60095","TCP","44","3","3836  >  60095 [FIN, ACK] Seq=783 Ack=312 Win=65024 Len=0"
"523","20.958020","127.0.0.1","127.0.0.1","60095","3836","TCP","44","3","60095  >  3836 [ACK] Seq=312 Ack=784 Win=64512 Len=0"
"524","20.959030","127.0.0.1","127.0.0.1","60099","3836","TCP","56","5","60099  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"525","20.959143","127.0.0.1","127.0.0.1","3836","60099","TCP","56","5","3836  >  60099 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"526","20.959162","127.0.0.1","127.0.0.1","60099","3836","TCP","44","5","60099  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"527","20.959206","127.0.0.1","127.0.0.1","60099","3836","HTTP","470","5","GET /respond?query=Josh%20decides%20to%20try%20flipping%20a%20house.%20%20He%20buys%20a%20house%20for%20%2480%2C000%20and%20then%20puts%20in%20%2450%2C000%20in%20repairs.%20%20This%20increased%20the%20value%20of%20the%20house%20by%20150%25.%20%20How%20much%20profit%20did%20he%20make%3F HTTP/1.1 "
"528","20.959213","127.0.0.1","127.0.0.1","3836","60099","TCP","44","5","3836  >  60099 [ACK] Seq=1 Ack=427 Win=65024 Len=0"
"642","25.084816","127.0.0.1","127.0.0.1","3836","60099","TCP","210","5","3836  >  60099 [PSH, ACK] Seq=1 Ack=427 Win=65024 Len=166 [TCP PDU reassembled in 644]"
"643","25.084838","127.0.0.1","127.0.0.1","60099","3836","TCP","44","5","60099  >  3836 [ACK] Seq=427 Ack=167 Win=65280 Len=0"
"644","25.084854","127.0.0.1","127.0.0.1","3836","60099","HTTP/JSON","882","5","HTTP/1.1 200 OK , JSON (application/json)"
"645","25.084864","127.0.0.1","127.0.0.1","60099","3836","TCP","44","5","60099  >  3836 [ACK] Seq=427 Ack=1005 Win=64512 Len=0"
"646","25.085179","127.0.0.1","127.0.0.1","60099","3836","TCP","44","5","60099  >  3836 [FIN, ACK] Seq=427 Ack=1005 Win=64512 Len=0"
"647","25.085199","127.0.0.1","127.0.0.1","3836","60099","TCP","44","5","3836  >  60099 [ACK] Seq=1005 Ack=428 Win=65024 Len=0"
"648","25.087041","127.0.0.1","127.0.0.1","3836","60099","TCP","44","5","3836  >  60099 [FIN, ACK] Seq=1005 Ack=428 Win=65024 Len=0"
"649","25.087059","127.0.0.1","127.0.0.1","60099","3836","TCP","44","5","60099  >  3836 [ACK] Seq=428 Ack=1006 Win=64512 Len=0"
"650","25.087672","127.0.0.1","127.0.0.1","60103","3836","TCP","56","7","60103  >  3836 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"651","25.087749","127.0.0.1","127.0.0.1","3836","60103","TCP","56","7","3836  >  60103 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"652","25.087765","127.0.0.1","127.0.0.1","60103","3836","TCP","44","7","60103  >  3836 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"653","25.087792","127.0.0.1","127.0.0.1","60103","3836","HTTP","378","7","GET /respond?query=James%20decides%20to%20run%203%20sprints%203%20times%20a%20week.%20%20He%20runs%2060%20meters%20each%20sprint.%20%20How%20many%20total%20meters%20does%20he%20run%20a%20week%3F HTTP/1.1 "
"654","25.087798","127.0.0.1","127.0.0.1","3836","60103","TCP","44","7","3836  >  60103 [ACK] Seq=1 Ack=335 Win=65024 Len=0"
