"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"1007","12.068757","10.118.1.68","188.114.97.5","60093","443","TCP","66","1","60093  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1013","12.094309","188.114.97.5","10.118.1.68","443","60093","TCP","66","1","443  >  60093 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"1014","12.094382","10.118.1.68","188.114.97.5","60093","443","TCP","54","1","60093  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1015","12.094993","10.118.1.68","188.114.97.5","60093","443","TLSv1.3","571","1","Client Hello (SNI=api.llama-api.com)"
"1016","12.119200","188.114.97.5","10.118.1.68","443","60093","TCP","54","1","443  >  60093 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1017","12.127348","188.114.97.5","10.118.1.68","443","60093","TLSv1.3","2554","1","Server Hello, Change Cipher Spec"
"1018","12.127348","188.114.97.5","10.118.1.68","443","60093","TLSv1.3","398","1","Application Data"
"1019","12.127397","10.118.1.68","188.114.97.5","60093","443","TCP","54","1","60093  >  443 [ACK] Seq=518 Ack=2845 Win=65280 Len=0"
"1020","12.129229","10.118.1.68","188.114.97.5","60093","443","TLSv1.3","134","1","Change Cipher Spec, Application Data"
"1021","12.129441","10.118.1.68","188.114.97.5","60093","443","TLSv1.3","385","1","Application Data"
"1022","12.129466","10.118.1.68","188.114.97.5","60093","443","TLSv1.3","440","1","Application Data"
"1023","12.152040","188.114.97.5","10.118.1.68","443","60093","TCP","54","1","443  >  60093 [ACK] Seq=2845 Ack=1315 Win=73728 Len=0"
"1310","14.986765","188.114.97.5","10.118.1.68","443","60093","TLSv1.3","1304","1","Application Data"
"1311","14.986765","188.114.97.5","10.118.1.68","443","60093","TLSv1.3","677","1","Application Data"
"1312","14.986765","188.114.97.5","10.118.1.68","443","60093","TLSv1.3","131","1","Application Data"
"1313","14.986765","188.114.97.5","10.118.1.68","443","60093","TLSv1.3","81","1","Application Data"
"1314","14.986863","10.118.1.68","188.114.97.5","60093","443","TCP","54","1","60093  >  443 [ACK] Seq=1315 Ack=4822 Win=65280 Len=0"
"1315","14.987989","10.118.1.68","188.114.97.5","60093","443","TCP","54","1","60093  >  443 [FIN, ACK] Seq=1315 Ack=4822 Win=65280 Len=0"
"1316","15.003051","10.118.1.68","188.114.97.5","60098","443","TCP","66","9","60098  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1317","15.010382","188.114.97.5","10.118.1.68","443","60093","TCP","54","1","443  >  60093 [FIN, ACK] Seq=4822 Ack=1316 Win=73728 Len=0"
"1318","15.010416","10.118.1.68","188.114.97.5","60093","443","TCP","54","1","60093  >  443 [ACK] Seq=1316 Ack=4823 Win=65280 Len=0"
"1319","15.033514","188.114.97.5","10.118.1.68","443","60098","TCP","66","9","443  >  60098 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"1320","15.033595","10.118.1.68","188.114.97.5","60098","443","TCP","54","9","60098  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1321","15.034093","10.118.1.68","188.114.97.5","60098","443","TLSv1.3","571","9","Client Hello (SNI=api.llama-api.com)"
"1332","15.065258","188.114.97.5","10.118.1.68","443","60098","TCP","54","9","443  >  60098 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1333","15.070225","188.114.97.5","10.118.1.68","443","60098","TLSv1.3","2554","9","Server Hello, Change Cipher Spec"
"1334","15.070225","188.114.97.5","10.118.1.68","443","60098","TLSv1.3","397","9","Application Data"
"1335","15.070266","10.118.1.68","188.114.97.5","60098","443","TCP","54","9","60098  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"1336","15.072029","10.118.1.68","188.114.97.5","60098","443","TLSv1.3","134","9","Change Cipher Spec, Application Data"
"1337","15.072526","10.118.1.68","188.114.97.5","60098","443","TLSv1.3","385","9","Application Data"
"1338","15.072627","10.118.1.68","188.114.97.5","60098","443","TLSv1.3","260","9","Application Data"
"1339","15.109555","188.114.97.5","10.118.1.68","443","60098","TCP","54","9","443  >  60098 [ACK] Seq=2844 Ack=1135 Win=73728 Len=0"
"1551","17.376197","188.114.97.5","10.118.1.68","443","60098","TLSv1.3","1304","9","Application Data"
"1552","17.376197","188.114.97.5","10.118.1.68","443","60098","TLSv1.3","658","9","Application Data"
"1553","17.376197","188.114.97.5","10.118.1.68","443","60098","TLSv1.3","81","9","Application Data"
"1554","17.376321","10.118.1.68","188.114.97.5","60098","443","TCP","54","9","60098  >  443 [ACK] Seq=1135 Ack=4725 Win=65280 Len=0"
"1555","17.377876","10.118.1.68","188.114.97.5","60098","443","TCP","54","9","60098  >  443 [FIN, ACK] Seq=1135 Ack=4725 Win=65280 Len=0"
"1556","17.398643","10.118.1.68","188.114.97.5","60102","443","TCP","66","14","60102  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1568","17.411157","188.114.97.5","10.118.1.68","443","60098","TCP","54","9","443  >  60098 [FIN, ACK] Seq=4725 Ack=1136 Win=73728 Len=0"
"1569","17.411486","10.118.1.68","188.114.97.5","60098","443","TCP","54","9","60098  >  443 [ACK] Seq=1136 Ack=4726 Win=65280 Len=0"
"1571","17.431393","188.114.97.5","10.118.1.68","443","60102","TCP","66","14","443  >  60102 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"1572","17.431467","10.118.1.68","188.114.97.5","60102","443","TCP","54","14","60102  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1573","17.431874","10.118.1.68","188.114.97.5","60102","443","TLSv1.3","571","14","Client Hello (SNI=api.llama-api.com)"
"1574","17.463407","188.114.97.5","10.118.1.68","443","60102","TCP","54","14","443  >  60102 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1575","17.470441","188.114.97.5","10.118.1.68","443","60102","TLSv1.3","1304","14","Server Hello, Change Cipher Spec"
"1576","17.470441","188.114.97.5","10.118.1.68","443","60102","TCP","1304","14","443  >  60102 [ACK] Seq=1251 Ack=518 Win=73728 Len=1250 [TCP PDU reassembled in 1577]"
"1577","17.470441","188.114.97.5","10.118.1.68","443","60102","TLSv1.3","399","14","Application Data"
"1578","17.470541","10.118.1.68","188.114.97.5","60102","443","TCP","54","14","60102  >  443 [ACK] Seq=518 Ack=2846 Win=65280 Len=0"
"1579","17.472381","10.118.1.68","188.114.97.5","60102","443","TLSv1.3","134","14","Change Cipher Spec, Application Data"
"1580","17.472550","10.118.1.68","188.114.97.5","60102","443","TLSv1.3","385","14","Application Data"
"1581","17.472572","10.118.1.68","188.114.97.5","60102","443","TLSv1.3","336","14","Application Data"
"1582","17.504887","188.114.97.5","10.118.1.68","443","60102","TCP","54","14","443  >  60102 [ACK] Seq=2846 Ack=1211 Win=73728 Len=0"
"1956","21.504346","188.114.97.5","10.118.1.68","443","60102","TLSv1.3","1304","14","Application Data"
"1957","21.504346","188.114.97.5","10.118.1.68","443","60102","TLSv1.3","677","14","Application Data"
"1958","21.504346","188.114.97.5","10.118.1.68","443","60102","TLSv1.3","162","14","Application Data"
"1959","21.504346","188.114.97.5","10.118.1.68","443","60102","TLSv1.3","81","14","Application Data"
"1960","21.504441","10.118.1.68","188.114.97.5","60102","443","TCP","54","14","60102  >  443 [ACK] Seq=1211 Ack=4854 Win=65280 Len=0"
"1961","21.505870","10.118.1.68","188.114.97.5","60102","443","TCP","54","14","60102  >  443 [FIN, ACK] Seq=1211 Ack=4854 Win=65280 Len=0"
"1962","21.516763","10.118.1.68","188.114.97.5","60106","443","TCP","66","16","60106  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1963","21.544068","188.114.97.5","10.118.1.68","443","60102","TCP","54","14","443  >  60102 [FIN, ACK] Seq=4854 Ack=1212 Win=73728 Len=0"
"1964","21.544121","10.118.1.68","188.114.97.5","60102","443","TCP","54","14","60102  >  443 [ACK] Seq=1212 Ack=4855 Win=65280 Len=0"
"1965","21.552251","188.114.97.5","10.118.1.68","443","60106","TCP","66","16","443  >  60106 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"1966","21.552403","10.118.1.68","188.114.97.5","60106","443","TCP","54","16","60106  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"1967","21.552883","10.118.1.68","188.114.97.5","60106","443","TLSv1.3","571","16","Client Hello (SNI=api.llama-api.com)"
"1968","21.592043","188.114.97.5","10.118.1.68","443","60106","TCP","54","16","443  >  60106 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1969","21.596167","188.114.97.5","10.118.1.68","443","60106","TLSv1.3","2554","16","Server Hello, Change Cipher Spec"
"1970","21.596167","188.114.97.5","10.118.1.68","443","60106","TLSv1.3","399","16","Application Data"
"1971","21.596222","10.118.1.68","188.114.97.5","60106","443","TCP","54","16","60106  >  443 [ACK] Seq=518 Ack=2846 Win=65280 Len=0"
"1972","21.603322","10.118.1.68","188.114.97.5","60106","443","TLSv1.3","134","16","Change Cipher Spec, Application Data"
"1973","21.605368","10.118.1.68","188.114.97.5","60106","443","TLSv1.3","385","16","Application Data"
"1975","21.605593","10.118.1.68","188.114.97.5","60106","443","TLSv1.3","276","16","Application Data"
"1991","21.645858","188.114.97.5","10.118.1.68","443","60106","TCP","54","16","443  >  60106 [ACK] Seq=2846 Ack=1151 Win=73728 Len=0"
"2194","23.818573","188.114.97.5","10.118.1.68","443","60106","TLSv1.3","1304","16","Application Data"
"2195","23.818573","188.114.97.5","10.118.1.68","443","60106","TLSv1.3","613","16","Application Data"
"2196","23.818573","188.114.97.5","10.118.1.68","443","60106","TLSv1.3","81","16","Application Data"
"2197","23.818665","10.118.1.68","188.114.97.5","60106","443","TCP","54","16","60106  >  443 [ACK] Seq=1151 Ack=4682 Win=65280 Len=0"
"2198","23.820381","10.118.1.68","188.114.97.5","60106","443","TCP","54","16","60106  >  443 [FIN, ACK] Seq=1151 Ack=4682 Win=65280 Len=0"
"2199","23.829643","10.118.1.68","188.114.97.5","60111","443","TCP","66","20","60111  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2204","23.853105","188.114.97.5","10.118.1.68","443","60106","TCP","54","16","443  >  60106 [FIN, ACK] Seq=4682 Ack=1152 Win=73728 Len=0"
"2205","23.853139","10.118.1.68","188.114.97.5","60106","443","TCP","54","16","60106  >  443 [ACK] Seq=1152 Ack=4683 Win=65280 Len=0"
"2219","23.863796","188.114.97.5","10.118.1.68","443","60111","TCP","66","20","443  >  60111 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"2220","23.863884","10.118.1.68","188.114.97.5","60111","443","TCP","54","20","60111  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"2221","23.864288","10.118.1.68","188.114.97.5","60111","443","TLSv1.3","571","20","Client Hello (SNI=api.llama-api.com)"
"2226","23.901148","188.114.97.5","10.118.1.68","443","60111","TCP","54","20","443  >  60111 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"2227","23.905080","188.114.97.5","10.118.1.68","443","60111","TLSv1.3","2554","20","Server Hello, Change Cipher Spec"
"2228","23.905080","188.114.97.5","10.118.1.68","443","60111","TLSv1.3","397","20","Application Data"
"2229","23.905130","10.118.1.68","188.114.97.5","60111","443","TCP","54","20","60111  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"2230","23.908738","10.118.1.68","188.114.97.5","60111","443","TLSv1.3","134","20","Change Cipher Spec, Application Data"
"2231","23.909084","10.118.1.68","188.114.97.5","60111","443","TLSv1.3","385","20","Application Data"
"2232","23.909127","10.118.1.68","188.114.97.5","60111","443","TLSv1.3","626","20","Application Data"
"2234","23.943455","188.114.97.5","10.118.1.68","443","60111","TCP","54","20","443  >  60111 [ACK] Seq=2844 Ack=1501 Win=73728 Len=0"
"2594","26.932521","188.114.97.5","10.118.1.68","443","60111","TLSv1.3","1304","20","Application Data"
"2595","26.932521","188.114.97.5","10.118.1.68","443","60111","TLSv1.3","677","20","Application Data"
"2596","26.932521","188.114.97.5","10.118.1.68","443","60111","TLSv1.3","119","20","Application Data"
"2597","26.932557","10.118.1.68","188.114.97.5","60111","443","TCP","54","20","60111  >  443 [ACK] Seq=1501 Ack=4782 Win=65280 Len=0"
"2598","26.934039","188.114.97.5","10.118.1.68","443","60111","TLSv1.3","81","20","Application Data"
"2599","26.934047","10.118.1.68","188.114.97.5","60111","443","TCP","54","20","60111  >  443 [ACK] Seq=1501 Ack=4809 Win=65280 Len=0"
"2600","26.934275","10.118.1.68","188.114.97.5","60111","443","TCP","54","20","60111  >  443 [FIN, ACK] Seq=1501 Ack=4809 Win=65280 Len=0"
"2601","26.952048","10.118.1.68","188.114.97.5","60119","443","TCP","66","25","60119  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2602","26.964896","188.114.97.5","10.118.1.68","443","60111","TCP","54","20","443  >  60111 [FIN, ACK] Seq=4809 Ack=1502 Win=73728 Len=0"
"2603","26.964940","10.118.1.68","188.114.97.5","60111","443","TCP","54","20","60111  >  443 [ACK] Seq=1502 Ack=4810 Win=65280 Len=0"
"2604","26.984925","188.114.97.5","10.118.1.68","443","60119","TCP","66","25","443  >  60119 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"2605","26.985026","10.118.1.68","188.114.97.5","60119","443","TCP","54","25","60119  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"2606","26.985708","10.118.1.68","188.114.97.5","60119","443","TLSv1.3","571","25","Client Hello (SNI=api.llama-api.com)"
"2607","27.019615","188.114.97.5","10.118.1.68","443","60119","TCP","54","25","443  >  60119 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"2608","27.024981","188.114.97.5","10.118.1.68","443","60119","TLSv1.3","1304","25","Server Hello, Change Cipher Spec"
"2609","27.024981","188.114.97.5","10.118.1.68","443","60119","TCP","1304","25","443  >  60119 [ACK] Seq=1251 Ack=518 Win=73728 Len=1250 [TCP PDU reassembled in 2610]"
"2610","27.024981","188.114.97.5","10.118.1.68","443","60119","TLSv1.3","397","25","Application Data"
"2611","27.025030","10.118.1.68","188.114.97.5","60119","443","TCP","54","25","60119  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"2612","27.028135","10.118.1.68","188.114.97.5","60119","443","TLSv1.3","134","25","Change Cipher Spec, Application Data"
"2613","27.028444","10.118.1.68","188.114.97.5","60119","443","TLSv1.3","385","25","Application Data"
"2614","27.028484","10.118.1.68","188.114.97.5","60119","443","TLSv1.3","358","25","Application Data"
"2632","27.058828","188.114.97.5","10.118.1.68","443","60119","TCP","54","25","443  >  60119 [ACK] Seq=2844 Ack=929 Win=73728 Len=0"
"2633","27.107818","188.114.97.5","10.118.1.68","443","60119","TCP","54","25","443  >  60119 [ACK] Seq=2844 Ack=1233 Win=73728 Len=0"
"2886","30.187545","188.114.97.5","10.118.1.68","443","60119","TLSv1.3","1304","25","Application Data"
"2887","30.187545","188.114.97.5","10.118.1.68","443","60119","TLSv1.3","677","25","Application Data"
"2888","30.187545","188.114.97.5","10.118.1.68","443","60119","TLSv1.3","191","25","Application Data"
"2889","30.187545","188.114.97.5","10.118.1.68","443","60119","TLSv1.3","81","25","Application Data"
"2890","30.187632","10.118.1.68","188.114.97.5","60119","443","TCP","54","25","60119  >  443 [ACK] Seq=1233 Ack=4881 Win=65280 Len=0"
"2891","30.188930","10.118.1.68","188.114.97.5","60119","443","TCP","54","25","60119  >  443 [FIN, ACK] Seq=1233 Ack=4881 Win=65280 Len=0"
"2892","30.206360","10.118.1.68","188.114.97.5","60123","443","TCP","66","27","60123  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2902","30.222514","188.114.97.5","10.118.1.68","443","60119","TCP","54","25","443  >  60119 [FIN, ACK] Seq=4881 Ack=1234 Win=73728 Len=0"
"2903","30.222572","10.118.1.68","188.114.97.5","60119","443","TCP","54","25","60119  >  443 [ACK] Seq=1234 Ack=4882 Win=65280 Len=0"
"2904","30.236847","188.114.97.5","10.118.1.68","443","60123","TCP","66","27","443  >  60123 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"2905","30.236952","10.118.1.68","188.114.97.5","60123","443","TCP","54","27","60123  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"2906","30.237564","10.118.1.68","188.114.97.5","60123","443","TLSv1.3","571","27","Client Hello (SNI=api.llama-api.com)"
"2907","30.262562","188.114.97.5","10.118.1.68","443","60123","TCP","54","27","443  >  60123 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"2915","30.312307","188.114.97.5","10.118.1.68","443","60123","TLSv1.3","2554","27","Server Hello, Change Cipher Spec"
"2916","30.312307","188.114.97.5","10.118.1.68","443","60123","TLSv1.3","397","27","Application Data"
