"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"250","11.230552","192.168.1.35","104.18.23.152","55484","443","TCP","66","10","55484  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"251","11.237173","104.18.23.152","192.168.1.35","443","55484","TCP","66","10","443  >  55484 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"252","11.237232","192.168.1.35","104.18.23.152","55484","443","TCP","54","10","55484  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"253","11.237625","192.168.1.35","104.18.23.152","55484","443","TLSv1.3","571","10","Client Hello (SNI=api.mistral.ai)"
"254","11.245928","104.18.23.152","192.168.1.35","443","55484","TCP","60","10","443  >  55484 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"255","11.249193","104.18.23.152","192.168.1.35","443","55484","TLSv1.3","1506","10","Server Hello, Change Cipher Spec"
"256","11.249193","104.18.23.152","192.168.1.35","443","55484","TLSv1.3","1431","10","Application Data"
"257","11.249232","192.168.1.35","104.18.23.152","55484","443","TCP","54","10","55484  >  443 [ACK] Seq=518 Ack=2830 Win=131584 Len=0"
"258","11.251043","192.168.1.35","104.18.23.152","55484","443","TLSv1.3","134","10","Change Cipher Spec, Application Data"
"259","11.251369","192.168.1.35","104.18.23.152","55484","443","TLSv1.3","360","10","Application Data"
"260","11.251469","192.168.1.35","104.18.23.152","55484","443","TLSv1.3","505","10","Application Data"
"261","11.257154","104.18.23.152","192.168.1.35","443","55484","TCP","60","10","443  >  55484 [ACK] Seq=2830 Ack=1355 Win=73728 Len=0"
"302","14.163489","104.18.23.152","192.168.1.35","443","55484","TLSv1.3","1506","10","Application Data"
"303","14.163489","104.18.23.152","192.168.1.35","443","55484","TLSv1.3","354","10","Application Data"
"304","14.163489","104.18.23.152","192.168.1.35","443","55484","TLSv1.3","81","10","Application Data"
"305","14.163528","192.168.1.35","104.18.23.152","55484","443","TCP","54","10","55484  >  443 [ACK] Seq=1355 Ack=4609 Win=131584 Len=0"
"713","24.175214","192.168.1.35","104.18.23.152","55484","443","TCP","54","10","55484  >  443 [FIN, ACK] Seq=1355 Ack=4609 Win=131584 Len=0"
"714","24.175740","192.168.1.35","104.18.23.152","55499","443","TCP","66","28","55499  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"715","24.195903","104.18.23.152","192.168.1.35","443","55499","TCP","66","28","443  >  55499 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"716","24.195903","104.18.23.152","192.168.1.35","443","55484","TCP","60","10","443  >  55484 [FIN, ACK] Seq=4609 Ack=1356 Win=73728 Len=0"
"717","24.195971","192.168.1.35","104.18.23.152","55484","443","TCP","54","10","55484  >  443 [ACK] Seq=1356 Ack=4610 Win=131584 Len=0"
"718","24.196015","192.168.1.35","104.18.23.152","55499","443","TCP","54","28","55499  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"719","24.196344","192.168.1.35","104.18.23.152","55499","443","TLSv1.3","571","28","Client Hello (SNI=api.mistral.ai)"
"720","24.203351","104.18.23.152","192.168.1.35","443","55499","TCP","60","28","443  >  55499 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"721","24.207487","104.18.23.152","192.168.1.35","443","55499","TLSv1.3","1506","28","Server Hello, Change Cipher Spec"
"722","24.207487","104.18.23.152","192.168.1.35","443","55499","TLSv1.3","1431","28","Application Data"
