"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"195","2.851600","10.118.62.37","172.66.0.243","58772","443","TCP","54","2","58772  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"861","11.556641","10.118.62.37","172.66.0.243","58782","443","TCP","66","7","58782  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"869","11.580005","172.66.0.243","10.118.62.37","443","58782","TCP","66","7","443  >  58782 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"870","11.580087","10.118.62.37","172.66.0.243","58782","443","TCP","54","7","58782  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"871","11.580714","10.118.62.37","172.66.0.243","58782","443","TLSv1.3","571","7","Client Hello (SNI=api.openai.com)"
"872","11.615184","172.66.0.243","10.118.62.37","443","58782","TCP","54","7","443  >  58782 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"873","11.615184","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","2554","7","Server Hello, Change Cipher Spec"
"874","11.615184","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","405","7","Application Data"
"875","11.615259","10.118.62.37","172.66.0.243","58782","443","TCP","54","7","58782  >  443 [ACK] Seq=518 Ack=2852 Win=131072 Len=0"
"876","11.621155","10.118.62.37","172.66.0.243","58782","443","TLSv1.3","134","7","Change Cipher Spec, Application Data"
"877","11.622001","10.118.62.37","172.66.0.243","58782","443","TLSv1.3","728","7","Application Data"
"878","11.622154","10.118.62.37","172.66.0.243","58782","443","TLSv1.3","568","7","Application Data"
"879","11.643304","172.66.0.243","10.118.62.37","443","58782","TCP","54","7","443  >  58782 [ACK] Seq=2852 Ack=1272 Win=73728 Len=0"
"889","11.691404","172.66.0.243","10.118.62.37","443","58782","TCP","54","7","443  >  58782 [ACK] Seq=2852 Ack=1786 Win=73728 Len=0"
"928","12.292473","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","1304","7","Application Data"
"929","12.292473","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","693","7","Application Data"
"930","12.292473","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","115","7","Application Data"
"931","12.292473","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","377","7","Application Data"
"932","12.292473","172.66.0.243","10.118.62.37","443","58782","TLSv1.3","81","7","Application Data"
"933","12.292473","172.66.0.243","10.118.62.37","443","58782","TCP","81","7","[TCP Retransmission] 443  >  58782 [PSH, ACK] Seq=5125 Ack=1786 Win=73728 Len=27"
"934","12.292689","10.118.62.37","172.66.0.243","58782","443","TCP","66","7","58782  >  443 [ACK] Seq=1786 Ack=5152 Win=131072 Len=0 SLE=5125 SRE=5152"
"1756","22.341557","10.118.62.37","172.66.0.243","58782","443","TCP","54","7","58782  >  443 [FIN, ACK] Seq=1786 Ack=5152 Win=131072 Len=0"
"1758","22.364218","172.66.0.243","10.118.62.37","443","58782","TCP","54","7","443  >  58782 [FIN, ACK] Seq=5152 Ack=1787 Win=73728 Len=0"
"1759","22.364275","10.118.62.37","172.66.0.243","58782","443","TCP","54","7","58782  >  443 [ACK] Seq=1787 Ack=5153 Win=131072 Len=0"
"1762","22.371919","10.118.62.37","162.159.140.245","58785","443","TCP","66","20","58785  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1765","22.393575","162.159.140.245","10.118.62.37","443","58785","TCP","66","20","443  >  58785 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 SACK_PERM WS=8192"
"1766","22.393692","10.118.62.37","162.159.140.245","58785","443","TCP","54","20","58785  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"1767","22.394375","10.118.62.37","162.159.140.245","58785","443","TLSv1.3","571","20","Client Hello (SNI=api.openai.com)"
"1768","22.417001","162.159.140.245","10.118.62.37","443","58785","TCP","54","20","443  >  58785 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"1769","22.418650","162.159.140.245","10.118.62.37","443","58785","TLSv1.3","2554","20","Server Hello, Change Cipher Spec"
"1770","22.418650","162.159.140.245","10.118.62.37","443","58785","TLSv1.3","403","20","Application Data"
"1771","22.418719","10.118.62.37","162.159.140.245","58785","443","TCP","54","20","58785  >  443 [ACK] Seq=518 Ack=2850 Win=131072 Len=0"
