Stream index,stream_size
1858,3724
1049,3686
12,3586
1510,3575
1141,3507
1797,3494
1561,3417
1416,3392
198,3338
1514,3337
1220,3305
574,3292
783,3257
50,3205
458,3199
126,3192
1234,3169
58,3139
1676,3132
571,3123
1900,3114
1885,3102
1127,3096
1378,3090
455,3089
1636,3077
110,3053
322,3037
1790,3036
1601,3035
157,3017
1870,3016
1930,3009
1854,3003
302,3000
230,2998
1821,2985
786,2985
1855,2981
729,2981
1557,2980
896,2978
816,2977
1937,2974
1208,2974
835,2971
697,2963
241,2958
1551,2958
1426,2958
442,2957
1173,2956
1623,2951
678,2947
1501,2941
1044,2940
7,2929
883,2928
1039,2927
1920,2927
1910,2926
306,2918
314,2917
1812,2901
1934,2898
1942,2896
1570,2893
863,2891
1605,2887
11,2881
26,2878
80,2873
1639,2871
320,2867
537,2864
242,2862
335,2862
1941,2858
498,2857
1906,2853
18,2852
858,2843
1713,2840
1262,2838
469,2838
658,2836
1584,2831
237,2830
96,2826
523,2825
410,2825
1362,2823
1939,2822
832,2813
294,2808
307,2808
414,2807
415,2806
622,2799
1745,2796
233,2793
53,2790
993,2789
1877,2789
468,2787
1721,2786
624,2782
916,2780
1677,2778
109,2775
1043,2774
1079,2773
692,2772
21,2764
346,2763
1059,2759
1710,2754
1229,2754
94,2748
327,2747
20,2746
819,2745
1355,2742
1218,2736
1360,2734
1136,2733
138,2732
1899,2731
1140,2731
330,2729
1175,2725
135,2724
1346,2721
175,2720
667,2720
1164,2718
910,2716
1124,2714
1940,2710
1650,2710
365,2708
1660,2707
1869,2705
33,2704
155,2703
694,2700
377,2696
1554,2694
1668,2691
1559,2687
1477,2685
1276,2684
1068,2680
1213,2680
1882,2679
1054,2671
1505,2669
389,2666
228,2661
1585,2661
490,2659
596,2659
593,2658
1893,2657
1336,2657
57,2657
797,2655
1430,2655
799,2654
1892,2653
1507,2648
14,2643
641,2643
1222,2643
1753,2643
55,2642
680,2642
793,2640
869,2639
1873,2634
1572,2632
459,2632
128,2628
114,2626
1894,2625
1542,2625
873,2624
1865,2620
884,2619
1678,2614
1640,2614
1217,2613
862,2612
68,2612
518,2611
1859,2608
246,2606
1874,2605
1275,2596
361,2596
127,2594
748,2592
84,2592
1266,2591
1418,2591
704,2590
1048,2590
1836,2590
1857,2588
1958,2585
1196,2584
160,2579
1019,2578
465,2576
1673,2576
843,2574
549,2574
1481,2574
796,2574
289,2573
1748,2572
1867,2571
794,2568
1626,2566
291,2565
1308,2564
332,2564
1687,2563
93,2561
1386,2559
123,2557
592,2556
303,2555
1615,2554
973,2554
1849,2553
872,2553
1023,2551
152,2551
878,2551
1915,2550
1210,2550
125,2548
510,2547
1113,2544
1613,2540
1288,2537
362,2537
1502,2537
1271,2537
857,2537
1534,2536
582,2536
530,2536
876,2535
1638,2530
1302,2529
89,2528
268,2528
1176,2527
1272,2527
1904,2524
1695,2522
861,2518
1285,2517
1251,2517
17,2516
1850,2510
1374,2510
568,2508
401,2507
534,2505
439,2505
73,2504
1624,2502
159,2501
1860,2499
424,2496
1807,2495
1152,2494
2,2493
1024,2493
648,2492
839,2492
866,2487
1041,2486
122,2486
1541,2484
611,2483
364,2482
1363,2482
636,2481
1169,2478
1589,2478
1747,2477
1212,2477
1960,2475
1926,2473
731,2473
60,2472
1005,2472
1795,2470
1731,2470
1435,2469
1711,2469
59,2467
1162,2465
1306,2465
911,2464
1178,2463
1872,2461
393,2461
140,2459
117,2459
1957,2458
1712,2455
27,2454
1599,2452
1823,2452
150,2451
48,2449
1339,2446
830,2446
238,2445
4,2444
626,2437
1513,2437
927,2434
1250,2432
1868,2432
1321,2431
501,2427
1908,2427
23,2425
1927,2425
313,2423
541,2423
1469,2423
411,2422
355,2421
324,2421
1612,2416
1004,2416
1148,2415
798,2414
1726,2414
881,2411
1672,2410
349,2410
1757,2409
1090,2409
1956,2408
1845,2407
1755,2405
746,2405
1729,2404
1553,2403
1504,2403
666,2403
1498,2401
1925,2400
776,2399
1232,2398
231,2396
1025,2396
329,2395
508,2394
1768,2394
1293,2394
1074,2393
1810,2392
1702,2392
83,2392
536,2391
831,2391
333,2391
1652,2390
260,2389
174,2389
749,2388
479,2388
818,2388
1880,2388
1634,2385
821,2385
1772,2385
834,2382
1816,2381
1410,2381
1077,2381
1863,2380
370,2378
1751,2376
1214,2376
992,2375
1111,2374
421,2369
638,2367
257,2365
1121,2363
1491,2363
967,2362
1084,2361
366,2360
292,2360
747,2359
808,2357
1240,2357
488,2356
1432,2356
13,2354
339,2348
354,2348
1219,2348
1265,2348
34,2347
520,2344
551,2341
441,2340
736,2340
1543,2339
1230,2339
719,2338
1082,2338
1185,2335
67,2334
1499,2332
287,2332
1280,2331
99,2329
1287,2327
1294,2327
1301,2325
142,2325
467,2325
1802,2324
359,2324
575,2324
1357,2322
170,2320
8,2319
1015,2319
681,2317
1245,2316
1051,2316
727,2314
1764,2312
867,2312
1694,2308
119,2305
1918,2304
1319,2303
981,2301
852,2301
1924,2301
1848,2299
842,2297
1018,2295
258,2295
951,2293
532,2293
1186,2292
308,2292
1820,2289
1264,2288
1163,2288
79,2287
548,2284
656,2280
1198,2280
107,2280
879,2280
95,2278
1936,2277
1801,2277
1080,2276
1627,2275
1063,2273
1286,2273
1328,2273
1834,2273
743,2271
437,2271
1045,2271
457,2271
36,2269
1244,2269
351,2268
1394,2268
539,2267
131,2266
1792,2265
912,2263
1827,2263
1087,2263
460,2262
81,2260
288,2259
133,2259
499,2258
1353,2257
394,2256
1397,2256
28,2256
1879,2255
74,2254
1447,2252
337,2251
163,2251
1569,2250
917,2249
185,2248
1243,2248
841,2247
29,2247
299,2246
1530,2245
509,2244
69,2244
670,2242
137,2240
703,2240
1791,2238
136,2238
269,2236
309,2236
535,2236
1864,2235
1844,2234
1358,2234
1364,2234
829,2232
874,2232
597,2232
1558,2230
1003,2230
1246,2229
417,2227
1320,2225
1174,2225
1429,2222
1056,2221
232,2220
352,2220
701,2220
1409,2220
452,2218
367,2218
480,2218
102,2217
1431,2216
1669,2214
433,2213
1323,2213
665,2213
1066,2212
935,2211
699,2209
785,2208
669,2207
78,2207
1833,2206
54,2201
186,2201
1600,2200
449,2199
604,2199
244,2197
1888,2197
1396,2196
625,2196
328,2196
1574,2196
1021,2195
1635,2192
1307,2191
1809,2191
1081,2189
1283,2188
1535,2188
1050,2188
882,2188
837,2187
1442,2187
197,2186
1671,2186
360,2186
98,2186
1393,2185
1138,2183
1120,2181
1304,2180
1474,2177
38,2176
1777,2174
208,2174
1955,2173
1588,2173
559,2172
1419,2171
1715,2170
1509,2170
519,2170
1055,2169
46,2168
1752,2165
698,2165
950,2165
807,2163
