Stream index,stream_size
252,92003
611,85595
1070,78017
1606,59307
45,37760
2206,37191
2408,36230
1009,34737
2165,33165
1914,32983
2730,31518
535,31465
334,30841
2754,30057
421,29197
1191,29178
2606,28446
2673,28162
1373,26614
461,26569
128,22701
943,22088
731,21063
922,20819
2772,19754
233,19240
2630,18260
2297,16676
23,16004
1361,15924
2587,15518
1445,15493
1578,15196
2334,15013
202,14958
715,14618
376,14605
1840,14578
324,14370
1700,14311
2810,13706
2723,13685
2103,13454
2830,13087
1285,12941
2186,12411
1062,12384
1677,12274
1554,12018
908,11706
2891,11672
330,11589
37,11515
1051,10820
1170,10818
149,10807
2398,10799
1120,10774
448,10762
1319,10648
1759,10417
802,10393
2242,10337
2477,10227
1349,10127
1159,10029
1594,10024
2646,9950
2573,9848
2559,9773
760,9689
155,9644
1866,9492
1782,9439
214,9183
2802,9130
1409,9058
84,8923
2351,8699
1647,8637
2383,8586
2003,8544
2235,8382
395,8336
2492,8323
1752,8075
2886,7935
2693,7886
1688,7858
2347,7770
2097,7646
1521,7564
1909,7538
1812,7500
2121,7472
322,7366
529,7362
2195,7349
1720,7344
2440,7332
103,7327
776,7319
1991,7312
120,7282
1971,7263
687,7078
2325,7054
1732,7044
2355,7042
312,7037
2358,7030
767,7013
2822,6981
2845,6975
1003,6914
1145,6903
1265,6896
1559,6894
770,6870
2528,6868
206,6775
1354,6775
2095,6743
391,6739
2361,6697
1810,6693
1874,6684
1452,6601
1899,6571
571,6471
1330,6351
550,6322
897,6296
1599,6293
2870,6217
145,6163
2799,6124
1515,6077
1827,6068
2054,6030
1179,6022
2433,5977
2021,5932
2126,5908
2907,5896
1432,5879
195,5871
975,5869
868,5839
2915,5805
1819,5766
1816,5757
788,5684
316,5683
2427,5649
987,5613
367,5590
2116,5583
193,5571
2705,5568
107,5560
673,5550
1797,5541
2783,5528
123,5438
1176,5429
1725,5414
1341,5371
2500,5367
78,5356
2689,5356
2132,5347
2697,5333
1185,5313
1728,5293
1547,5275
307,5250
1975,5234
53,5204
2150,5131
2534,5108
559,4982
2580,4973
1155,4899
563,4883
1504,4872
1237,4750
1346,4699
1403,4673
473,4639
1512,4636
2431,4626
1277,4622
174,4622
2852,4595
2265,4582
72,4574
860,4540
1260,4477
231,4475
135,4438
1463,4437
2808,4414
360,4408
1222,4328
757,4318
1312,4298
1502,4280
1430,4245
2067,4238
510,4194
369,4192
1152,4175
315,4173
2881,4169
1406,4132
2429,4112
2625,4102
2032,4097
1996,4094
1328,4082
798,4076
1029,4066
1037,4059
1947,4055
669,4050
1530,4033
2311,4027
2839,4011
74,3993
2181,3973
1574,3971
483,3955
1225,3929
2708,3928
1747,3922
2448,3909
2857,3895
242,3886
2314,3874
598,3863
938,3860
2435,3859
1263,3848
2319,3843
2866,3831
967,3809
2280,3797
937,3784
678,3775
1039,3772
2657,3771
995,3770
1542,3764
2042,3761
2077,3748
1270,3744
2437,3744
1550,3730
1317,3725
1801,3716
2380,3712
593,3705
585,3685
295,3674
2549,3671
333,3655
547,3643
64,3634
753,3622
2513,3619
1904,3613
906,3612
2278,3611
2065,3606
166,3604
2836,3602
443,3590
1336,3589
2454,3586
1852,3578
183,3576
1669,3567
2690,3543
2462,3540
1422,3536
2080,3532
2470,3527
1822,3523
2792,3523
519,3515
1964,3513
415,3511
2376,3496
248,3489
2052,3481
2290,3480
2146,3472
2537,3470
682,3470
915,3461
1912,3457
1711,3457
1368,3456
1188,3454
1109,3452
589,3447
2905,3443
1738,3435
2934,3427
1360,3424
185,3423
1742,3418
177,3417
1533,3407
754,3406
2013,3405
863,3401
763,3400
2239,3396
2879,3386
2603,3383
2274,3380
2000,3368
303,3368
819,3356
2263,3350
2924,3348
2656,3344
302,3334
822,3333
2345,3331
139,3330
36,3323
2474,3322
116,3320
189,3320
1794,3316
1275,3314
208,3314
1588,3311
514,3307
408,3301
982,3297
843,3278
962,3272
701,3272
2330,3272
1240,3271
2084,3267
562,3260
2615,3255
2076,3254
2750,3252
1140,3250
402,3249
1043,3246
1767,3234
457,3233
2046,3231
1443,3230
1274,3227
1881,3216
2262,3216
2768,3213
1306,3213
515,3212
1413,3212
891,3207
2703,3203
2039,3201
508,3201
1096,3200
1967,3195
1290,3192
2692,3188
297,3188
2701,3186
1473,3181
375,3181
2192,3178
