Stream index,stream_size
1198,4266
617,3514
322,3408
1237,3397
1099,3386
781,3379
744,3326
849,3302
1025,3274
1061,3257
95,3205
1285,3187
1261,3178
497,3177
600,3154
1057,3083
806,3067
798,3053
637,3048
60,3047
313,3034
1316,3020
267,2974
1176,2939
124,2925
333,2916
324,2906
954,2903
270,2897
863,2894
1131,2883
593,2874
1079,2872
985,2859
478,2853
27,2831
354,2829
1299,2827
285,2826
1248,2818
1015,2817
1054,2813
949,2812
109,2810
59,2808
819,2805
415,2801
830,2797
1256,2794
1101,2791
214,2785
469,2784
48,2781
548,2780
722,2778
739,2775
1119,2771
224,2766
938,2763
149,2757
823,2750
705,2743
425,2737
579,2735
551,2729
391,2723
885,2720
644,2719
1279,2711
607,2709
186,2708
225,2704
1056,2701
620,2698
22,2692
1089,2691
465,2688
1225,2686
907,2680
1320,2679
236,2667
259,2666
247,2665
662,2663
568,2662
1136,2661
284,2658
340,2657
1115,2657
455,2655
165,2654
531,2654
1271,2652
541,2650
749,2650
1094,2650
962,2648
1097,2646
504,2645
397,2642
1287,2641
348,2636
1250,2633
642,2632
355,2632
46,2631
208,2630
286,2624
1128,2623
194,2623
360,2622
1151,2618
1317,2617
1238,2616
235,2614
1125,2614
711,2612
1029,2611
1001,2606
610,2604
166,2599
924,2592
843,2586
814,2586
1091,2582
1229,2582
350,2581
583,2578
959,2574
310,2567
148,2564
110,2564
943,2563
321,2562
209,2558
988,2558
339,2557
1324,2555
1220,2555
951,2554
553,2545
403,2543
433,2542
718,2541
1084,2535
842,2531
474,2528
26,2526
387,2526
1264,2526
542,2524
274,2522
928,2522
457,2521
435,2518
1098,2516
446,2513
1073,2513
1303,2507
908,2503
1243,2502
461,2501
703,2499
423,2499
1273,2495
307,2495
1093,2494
961,2494
424,2492
1083,2492
879,2490
1289,2489
1177,2488
992,2488
1183,2485
724,2484
161,2482
404,2478
39,2475
935,2474
178,2470
1104,2469
564,2468
1209,2467
1077,2466
1315,2464
1047,2463
641,2460
818,2460
960,2457
1312,2456
837,2454
791,2454
182,2453
399,2453
839,2451
742,2450
104,2447
817,2444
477,2441
445,2434
596,2429
1150,2428
1096,2428
1309,2427
1051,2426
298,2425
490,2424
107,2424
482,2421
289,2417
717,2412
893,2409
515,2409
909,2408
318,2408
827,2405
1235,2399
696,2399
111,2398
1020,2398
678,2397
887,2394
795,2393
1062,2391
311,2388
561,2388
646,2384
1206,2380
811,2379
436,2378
123,2377
970,2377
1138,2376
527,2376
946,2373
966,2373
295,2371
1044,2370
1221,2370
824,2368
1181,2368
106,2368
268,2365
595,2365
503,2364
753,2362
1294,2355
994,2352
669,2351
897,2350
345,2350
377,2347
986,2346
1070,2345
898,2343
1236,2343
805,2340
651,2339
1193,2339
1126,2339
239,2339
191,2339
192,2338
930,2335
906,2334
1110,2333
950,2333
788,2332
248,2331
243,2330
1230,2329
210,2327
1022,2324
754,2321
430,2320
506,2320
991,2320
1087,2318
162,2318
1278,2318
663,2318
845,2316
516,2315
1247,2314
1086,2313
1019,2313
485,2312
543,2312
657,2309
689,2307
636,2307
679,2304
85,2304
601,2304
1298,2301
684,2298
976,2296
712,2296
888,2293
796,2291
242,2290
167,2289
241,2288
494,2288
1245,2287
785,2286
628,2286
1169,2285
750,2285
967,2285
973,2284
463,2284
859,2282
861,2282
653,2281
612,2279
308,2278
460,2276
152,2276
1045,2275
801,2275
305,2273
1306,2272
366,2271
591,2271
638,2270
1149,2269
522,2268
1152,2264
196,2262
1194,2261
1118,2260
911,2259
262,2256
956,2254
1321,2252
883,2249
871,2249
1305,2247
1114,2246
858,2246
616,2246
1140,2245
1158,2245
1139,2244
1157,2243
1,2241
74,2241
319,2241
676,2240
580,2239
150,2239
738,2238
774,2237
378,2236
252,2234
936,2234
578,2233
199,2231
1050,2230
1008,2227
535,2227
157,2222
484,2222
1123,2221
356,2221
1036,2219
296,2217
471,2216
536,2216
1319,2216
193,2216
622,2215
1179,2214
135,2213
929,2213
265,2211
297,2211
375,2211
538,2211
1240,2210
822,2208
874,2208
998,2207
570,2207
1038,2206
437,2206
1267,2206
1326,2205
997,2205
514,2202
384,2202
1188,2197
155,2196
94,2196
275,2194
188,2194
122,2193
349,2193
605,2193
611,2192
658,2191
916,2190
945,2185
648,2181
1112,2181
763,2179
927,2178
1284,2178
314,2176
23,2175
369,2175
498,2174
734,2173
731,2173
723,2173
197,2172
691,2171
213,2171
1300,2171
764,2169
1120,2169
833,2167
1162,2166
453,2164
1274,2163
483,2162
1163,2162
1166,2160
525,2158
598,2158
872,2156
1283,2155
993,2153
396,2153
187,2152
584,2147
1007,2146
621,2145
934,2145
660,2144
1066,2144
1024,2141
971,2141
575,2140
758,2140
532,2140
38,2139
1155,2138
990,2138
1311,2138
126,2137
1253,2136
899,2135
853,2132
420,2131
1141,2131
1004,2131
90,2129
850,2129
870,2129
609,2128
1290,2127
1014,2127
1028,2127
444,2127
599,2126
327,2124
556,2124
164,2123
177,2122
977,2121
28,2120
770,2118
623,2118
412,2118
876,2117
737,2115
816,2114
978,2113
1034,2112
510,2110
451,2110
413,2109
630,2108
686,2107
456,2107
631,2106
1033,2105
121,2103
113,2101
710,2099
1272,2097
326,2093
154,2093
1068,2092
332,2088
343,2088
790,2088
981,2085
813,2083
1129,2082
1203,2081
488,2081
1055,2080
948,2080
376,2078
72,2077
1113,2076
1154,2075
226,2075
1189,2075
1121,2073
713,2073
416,2073
972,2073
1178,2071
12,2069
1252,2066
1092,2065
526,2061
1296,2061
807,2060
359,2060
1002,2060
489,2059
367,2059
944,2059
1246,2059
1219,2059
56,2057
1107,2054
181,2054
105,2052
467,2052
1216,2052
493,2050
779,2050
828,2048
211,2047
747,2047
639,2046
328,2043
293,2043
803,2043
176,2042
603,2041
1059,2041
1182,2039
380,2035
434,2035
673,2034
1282,2034
1242,2034
300,2034
351,2034
146,2032
875,2032
452,2032
1255,2031
826,2031
353,2031
856,2029
409,2029
269,2029
761,2028
844,2027
362,2026
1042,2026
776,2026
160,2024
49,2023
626,2023
1205,2022
394,2021
840,2021
1006,2021
659,2020
1065,2020
1258,2019
1063,2019
253,2018
1227,2011
344,2011
1325,2011
31,2011
729,2010
670,2009
258,2009
681,2008
743,2008
545,2007
577,2007
719,2006
426,2004
1231,2001
769,2001
955,2001
869,2000
68,1999
1039,1999
1308,1999
1277,1996
733,1996
93,1995
442,1993
238,1993
1314,1993
1146,1993
1199,1993
1010,1992
748,1992
904,1992
652,1991
902,1991
838,1991
671,1989
832,1988
1124,1988
519,1987
