Stream index,stream_size
1771,7518
1736,4529
1078,3709
430,3507
2492,3101
852,3093
2101,3090
285,3088
622,3071
2030,3007
2405,2998
2013,2972
489,2968
969,2937
2452,2916
2087,2906
118,2891
1743,2820
1644,2813
2425,2809
790,2804
50,2773
537,2771
561,2769
2510,2760
212,2750
1059,2741
2062,2734
391,2732
1002,2727
1864,2724
235,2722
830,2708
113,2707
2503,2706
2499,2700
2096,2690
481,2670
383,2667
2162,2661
949,2660
800,2655
468,2648
367,2644
2073,2612
1941,2608
889,2603
407,2603
1573,2597
1880,2590
1110,2587
1633,2587
674,2586
2506,2586
2090,2585
2567,2577
1061,2577
1622,2575
891,2569
1747,2566
2408,2565
1794,2558
476,2552
524,2550
315,2547
2021,2545
1476,2544
533,2544
940,2529
521,2529
1360,2525
1991,2521
399,2520
53,2520
1931,2517
2140,2511
2146,2509
1192,2507
2414,2501
133,2499
1958,2494
2574,2493
2158,2492
1952,2488
2572,2485
1808,2475
2216,2474
1289,2471
15,2465
700,2452
1050,2452
122,2452
483,2450
1203,2448
242,2446
1371,2440
1379,2439
153,2435
1492,2435
755,2432
1275,2430
428,2427
1866,2425
1147,2421
1135,2418
1063,2416
1162,2408
418,2407
203,2402
781,2399
509,2399
2075,2390
693,2386
2135,2386
2033,2379
1145,2365
802,2361
2559,2356
1684,2355
613,2349
1512,2348
267,2342
951,2342
868,2337
2582,2331
2131,2330
343,2328
456,2319
375,2317
1303,2314
44,2312
731,2311
1974,2307
1236,2306
1080,2303
931,2303
1429,2302
2410,2301
231,2289
1943,2287
1890,2287
1537,2285
1787,2282
1709,2282
1517,2277
1515,2276
1591,2276
1823,2275
2019,2274
845,2273
933,2273
1523,2271
1054,2268
528,2258
2098,2254
1099,2252
1107,2249
491,2248
413,2247
312,2242
1313,2236
2417,2236
2144,2234
680,2234
1790,2234
2490,2233
1065,2230
2244,2229
2488,2229
2066,2228
1878,2227
1348,2226
676,2225
794,2223
131,2220
944,2214
1500,2210
1999,2209
180,2207
264,2206
48,2206
1532,2206
2587,2205
1778,2203
2039,2196
1810,2195
2434,2193
2149,2191
2368,2190
135,2190
563,2189
1720,2189
1394,2186
1396,2183
321,2183
325,2182
2250,2182
2423,2181
287,2181
736,2179
1346,2176
974,2170
2313,2170
304,2169
1240,2169
809,2168
1893,2168
1773,2167
1707,2167
1745,2165
2554,2162
1454,2161
753,2161
535,2160
887,2157
1886,2156
1812,2151
1074,2151
1614,2150
269,2144
23,2142
2263,2137
1526,2134
2229,2134
458,2133
2431,2132
2442,2132
663,2130
127,2129
415,2129
777,2129
2127,2129
879,2126
2120,2126
1925,2124
1600,2123
1598,2122
2227,2121
1727,2120
323,2119
437,2119
2233,2118
1409,2117
1718,2116
625,2115
66,2115
1364,2113
2421,2106
1220,2104
2384,2103
163,2100
2205,2100
1854,2099
254,2098
2218,2097
1258,2096
749,2094
55,2092
1640,2091
1305,2089
1521,2088
1222,2084
1897,2081
2236,2079
1838,2076
567,2075
2138,2074
938,2073
1461,2071
1820,2070
1915,2070
1848,2069
1152,2067
302,2067
1298,2066
2436,2063
233,2062
1506,2061
995,2060
2054,2060
208,2059
2238,2058
1143,2057
2495,2053
633,2050
1664,2048
639,2044
1319,2043
610,2042
1636,2042
1548,2040
1682,2040
1594,2037
68,2028
2561,2027
1249,2027
718,2023
712,2020
2584,2019
507,2018
827,2018
1023,2016
2092,2016
1966,2014
600,2014
2300,2013
340,2011
965,2010
2346,2010
666,2007
2124,2005
1627,2002
1688,2002
811,2000
2548,2000
2133,1999
2322,1998
1796,1997
1231,1996
1552,1995
1369,1993
2153,1990
1616,1988
813,1988
1103,1987
1625,1986
1021,1985
11,1985
1589,1984
978,1982
1165,1981
1427,1980
1956,1978
2035,1978
807,1976
2060,1974
565,1972
206,1969
2047,1969
1560,1967
1502,1966
1415,1965
259,1965
2186,1964
46,1964
1234,1964
942,1962
2448,1962
479,1960
295,1959
2565,1959
1421,1957
248,1957
441,1954
435,1953
786,1953
1016,1952
1411,1952
1251,1950
1212,1949
770,1949
1558,1948
2412,1947
178,1945
1672,1945
1344,1945
2520,1943
586,1942
1565,1941
449,1939
2155,1935
2366,1934
935,1933
838,1932
1096,1927
1519,1926
2382,1925
1130,1923
115,1923
1868,1922
