Stream index,stream_size
3648,4873
673,4675
386,4177
283,4153
1109,4039
346,3830
3643,3822
3506,3481
3586,3243
864,3185
1177,3126
1042,3117
1660,3052
3622,3046
1668,3044
3483,3032
3539,3027
1517,3018
318,3018
556,3013
1578,2968
906,2949
809,2942
191,2940
3640,2924
3573,2922
430,2919
375,2915
130,2879
3593,2879
975,2864
1193,2854
764,2845
642,2845
965,2824
381,2806
576,2803
3569,2751
926,2746
1447,2745
131,2738
81,2728
277,2716
911,2713
3528,2670
750,2669
3645,2667
840,2644
3364,2640
776,2627
370,2618
917,2617
3597,2614
897,2610
829,2597
255,2596
752,2594
822,2594
3540,2589
259,2586
3478,2583
1544,2581
967,2576
280,2574
135,2563
660,2554
800,2545
3243,2538
3587,2535
196,2531
555,2531
972,2531
292,2526
3530,2518
644,2517
360,2516
1051,2515
3050,2514
3468,2504
1956,2490
238,2490
1072,2485
3525,2484
1967,2480
1947,2480
557,2475
3641,2456
1095,2450
1634,2449
251,2443
105,2439
1036,2427
404,2426
3509,2425
120,2423
84,2414
2987,2414
986,2412
3524,2412
970,2406
23,2405
3513,2403
3303,2400
936,2397
18,2396
799,2389
774,2388
3101,2388
443,2388
1009,2388
639,2382
3118,2381
170,2380
3108,2374
695,2370
319,2369
453,2369
368,2364
145,2364
905,2363
417,2360
777,2360
220,2358
3581,2356
323,2356
336,2355
96,2352
183,2350
1629,2344
150,2339
823,2335
817,2335
80,2325
1094,2325
3635,2325
461,2322
266,2317
3610,2314
757,2307
334,2301
1141,2299
3642,2292
1302,2290
109,2285
1045,2284
1655,2284
845,2282
1958,2282
1003,2281
3347,2280
3465,2280
102,2279
34,2278
1160,2277
413,2274
758,2272
118,2271
1652,2268
185,2268
2870,2266
1012,2266
1055,2266
449,2265
985,2264
628,2263
3014,2262
1592,2254
276,2253
3636,2252
795,2251
3568,2250
2970,2249
562,2248
1213,2248
889,2245
575,2245
3381,2245
469,2243
3407,2243
125,2243
1115,2240
3272,2240
1143,2239
846,2239
439,2234
736,2233
1519,2233
1166,2232
851,2232
376,2231
549,2229
302,2227
464,2226
3552,2225
606,2223
988,2217
903,2214
293,2213
494,2213
915,2212
1153,2209
1658,2208
39,2207
294,2207
529,2206
3534,2206
275,2205
1171,2204
133,2203
3246,2202
1097,2197
863,2195
1273,2192
3649,2191
3637,2190
601,2190
471,2187
600,2186
634,2185
767,2184
1046,2183
1159,2180
1605,2179
1025,2179
35,2178
209,2172
942,2171
2995,2171
1615,2168
210,2165
997,2164
195,2164
1049,2163
735,2162
1079,2162
651,2160
156,2157
773,2156
1002,2155
595,2155
3472,2153
2135,2153
872,2151
3585,2150
3537,2149
3579,2148
3490,2148
445,2147
594,2146
164,2143
1104,2143
1163,2142
3000,2141
1087,2139
1540,2139
564,2136
2098,2135
459,2134
598,2132
521,2131
671,2131
572,2130
1040,2130
199,2126
3494,2125
3270,2124
1138,2123
356,2123
3462,2123
144,2121
321,2121
1165,2120
3231,2120
