Stream index,stream_size
225,2748
900,2565
1098,2526
1272,2519
940,2514
840,2496
394,2471
785,2446
714,2432
172,2408
1265,2391
1034,2369
539,2369
19,2348
214,2339
636,2339
25,2315
1051,2304
923,2303
1246,2291
1016,2287
1196,2286
1242,2283
218,2275
15,2273
1020,2263
47,2257
186,2255
1208,2249
506,2237
773,2233
640,2233
832,2227
538,2218
558,2213
160,2201
710,2196
438,2192
335,2190
1030,2186
1158,2182
943,2178
1049,2171
64,2168
1222,2162
605,2153
835,2144
786,2144
804,2136
822,2132
815,2132
1207,2129
1210,2128
697,2113
494,2113
500,2109
297,2100
54,2098
491,2097
747,2096
257,2091
468,2091
56,2088
192,2085
352,2080
1219,2073
252,2072
867,2070
149,2069
836,2059
961,2059
1235,2056
391,2055
858,2053
1093,2050
179,2050
1280,2048
10,2048
787,2047
1241,2047
735,2045
376,2041
344,2038
524,2028
969,2022
363,2022
970,2016
69,2011
313,2009
401,2005
50,2002
1007,2002
855,2001
1256,2000
543,1997
1047,1983
1033,1973
1105,1972
46,1971
325,1965
776,1962
866,1960
905,1956
666,1952
1209,1951
520,1951
292,1949
761,1948
379,1947
695,1945
752,1943
403,1941
428,1940
52,1939
345,1937
515,1934
295,1934
936,1934
654,1932
203,1932
76,1927
232,1927
553,1926
922,1926
358,1920
1181,1919
508,1916
136,1915
738,1913
643,1913
796,1913
499,1911
816,1910
1188,1906
964,1904
1099,1900
258,1899
615,1897
670,1896
305,1893
53,1890
63,1890
237,1890
21,1887
756,1882
443,1877
115,1876
509,1875
1101,1874
627,1874
967,1874
161,1871
387,1868
907,1868
1019,1867
793,1864
817,1864
569,1863
565,1857
251,1852
300,1849
1277,1848
118,1847
143,1846
138,1845
441,1844
303,1844
1228,1842
535,1842
992,1840
1085,1839
415,1838
800,1837
803,1836
144,1834
1212,1828
1195,1826
400,1823
495,1822
324,1822
434,1820
334,1819
16,1818
1010,1816
501,1814
619,1810
432,1810
930,1808
760,1807
431,1806
729,1804
712,1803
628,1802
576,1801
630,1797
1184,1797
857,1796
18,1795
417,1792
450,1792
356,1791
1071,1791
413,1788
1231,1788
312,1787
326,1784
1044,1783
156,1780
396,1778
280,1776
1081,1776
781,1776
1237,1776
684,1775
109,1766
1282,1763
279,1762
999,1761
83,1761
89,1758
448,1757
514,1755
315,1750
1043,1750
1075,1749
518,1749
959,1748
369,1747
721,1744
823,1744
200,1740
236,1740
1244,1739
204,1739
690,1737
127,1734
1194,1729
217,1727
343,1726
982,1726
416,1725
687,1725
464,1724
916,1724
801,1723
534,1723
837,1720
1276,1719
638,1717
798,1717
1018,1716
350,1716
231,1715
355,1715
1279,1714
528,1711
1015,1711
182,1710
382,1709
935,1706
1032,1706
187,1704
646,1701
771,1701
1045,1700
730,1699
584,1697
128,1696
609,1696
633,1696
904,1691
254,1687
6,1687
153,1687
545,1687
748,1686
383,1685
368,1684
975,1682
733,1682
243,1681
698,1680
709,1679
572,1678
135,1676
194,1675
799,1674
322,1674
797,1674
537,1673
699,1671
1092,1668
497,1667
516,1665
9,1663
229,1662
668,1660
559,1660
1097,1658
1060,1654
692,1654
75,1654
277,1651
510,1651
91,1650
632,1649
425,1649
477,1648
757,1646
189,1643
1001,1643
426,1642
442,1642
1078,1641
611,1641
1263,1636
1088,1636
260,1635
381,1632
641,1631
1240,1628
1026,1627
94,1627
696,1625
522,1625
213,1625
521,1625
504,1625
968,1624
476,1623
667,1623
35,1622
913,1622
268,1620
461,1620
603,1618
957,1618
912,1618
679,1617
533,1616
267,1614
727,1614
711,1613
973,1611
906,1610
921,1610
989,1609
671,1609
210,1607
388,1603
613,1601
864,1600
299,1599
296,1599
683,1598
1234,1597
910,1596
824,1595
152,1595
452,1594
1163,1593
1232,1592
647,1590
736,1590
829,1590
281,1589
762,1588
481,1587
191,1587
77,1585
974,1585
715,1585
686,1584
1002,1584
1253,1582
704,1581
351,1580
270,1580
1204,1579
1053,1579
84,1575
146,1574
246,1573
1275,1572
82,1572
375,1571
577,1570
124,1570
216,1569
731,1567
1012,1567
1267,1566
740,1566
1073,1566
223,1566
1014,1565
778,1565
902,1564
742,1564
929,1563
759,1563
1229,1563
1227,1562
1206,1561
7,1560
1103,1559
249,1558
934,1558
1198,1556
385,1556
874,1554
547,1553
13,1551
909,1551
320,1550
264,1550
507,1549
1169,1549
503,1549
1067,1549
772,1548
998,1548
919,1548
24,1547
364,1546
42,1545
841,1544
341,1544
1197,1543
708,1543
1179,1542
951,1542
170,1541
812,1541
44,1541
88,1541
455,1540
674,1539
718,1538
362,1538
948,1537
180,1537
239,1536
365,1536
550,1531
541,1530
199,1530
311,1530
470,1529
705,1527
92,1527
607,1526
407,1526
1156,1526
275,1525
3,1525
526,1523
870,1523
527,1522
337,1522
502,1522
566,1521
775,1521
722,1521
1066,1519
353,1519
519,1519
976,1517
211,1517
31,1516
1024,1516
917,1516
680,1516
467,1515
1201,1515
205,1515
1166,1513
333,1512
981,1512
110,1512
112,1511
70,1511
38,1511
872,1509
1013,1507
62,1507
483,1507
810,1507
830,1505
763,1505
878,1505
513,1503
1178,1503
418,1503
193,1501
111,1501
604,1499
768,1499
65,1498
811,1497
1202,1496
1082,1496
774,1494
1216,1493
317,1491
1087,1491
496,1491
871,1483
642,1482
12,1481
873,1481
274,1481
790,1481
549,1478
591,1478
1193,1478
384,1476
1080,1475
743,1475
546,1474
560,1473
754,1471
750,1470
125,1470
51,1470
1214,1470
755,1470
978,1470
570,1469
339,1469
250,1469
148,1468
1027,1468
831,1467
807,1467
98,1466
1048,1466
1189,1465
360,1465
176,1461
834,1461
1031,1460
1042,1460
582,1459
309,1459
1153,1458
780,1457
244,1456
59,1456
419,1455
1091,1454
652,1454
784,1453
1259,1452
1063,1452
1226,1451
390,1450
551,1449
282,1449
308,1448
931,1447
165,1445
782,1445
181,1444
287,1444
423,1444
677,1443
150,1443
960,1442
314,1441
664,1441
475,1439
556,1438
779,1437
140,1437
155,1436
1074,1435
954,1433
1182,1432
478,1432
928,1431
662,1431
178,1429
465,1429
198,1428
79,1427
332,1427
22,1426
1245,1426
48,1426
397,1425
108,1425
657,1423
716,1423
794,1422
955,1422
1106,1420
37,1417
651,1416
1217,1416
206,1415
490,1413
1238,1413
946,1412
568,1411
581,1411
436,1408
574,1405
85,1405
301,1404
1247,1404
689,1404
926,1403
90,1403
129,1403
862,1402
594,1401
1203,1401
681,1401
269,1400
1116,1399
583,1397
788,1396
1050,1394
1271,1393
941,1392
1,1392
457,1391
222,1389
482,1388
655,1388
377,1387
806,1387
1171,1387
307,1387
608,1386
610,1386
1055,1386
532,1385
120,1385
137,1385
429,1385
256,1385
985,1384
950,1384
157,1381
212,1381
1062,1381
255,1380
459,1380
600,1380
447,1380
242,1379
1260,1379
493,1379
201,1379
1165,1378
525,1378
114,1377
78,1377
585,1374
1273,1374
328,1373
1076,1373
489,1372
141,1371
1200,1368
262,1368
395,1368
471,1368
986,1367
372,1366
903,1365
1086,1365
767,1364
821,1364
598,1361
555,1360
1083,1358
825,1358
1028,1356
20,1354
235,1354
1157,1352
1251,1352
589,1351
435,1349
283,1349
220,1349
932,1349
437,1348
673,1348
121,1348
953,1348
1025,1347
185,1346
1069,1345
889,1345
273,1344
634,1343
1064,1342
73,1341
949,1340
1005,1340
1061,1339
286,1339
1278,1339
988,1338
702,1337
717,1337
261,1337
1257,1336
658,1335
1175,1335
942,1334
487,1334
393,1334
166,1333
1056,1332
289,1329
842,1329
703,1328
1213,1327
81,1327
991,1326
725,1326
130,1325
