Stream index,stream_size
461,10074
394,9579
1978,9568
4705,9469
839,9356
1325,9345
2080,9235
1092,9213
5419,8699
256,8603
5040,8488
1668,8482
3109,8406
720,8383
3084,8365
2112,8357
4028,8336
2960,8288
2017,8271
953,8261
2849,8254
5097,8244
2135,8227
1639,8218
984,8214
770,8209
2317,8196
3535,8195
5323,8192
1020,8179
95,8175
4809,8174
4071,8173
3212,8170
4488,8167
2690,8152
5032,8151
219,8134
2045,8134
3347,8133
4211,8132
5143,8129
2560,8128
5239,8127
1361,8126
4773,8126
2499,8115
2469,8115
1079,8114
2079,8107
2794,8107
1722,8106
2047,8104
1499,8104
1699,8101
3270,8098
346,8098
5214,8098
1048,8097
5031,8095
755,8094
3932,8094
4872,8091
4290,8089
239,8088
3507,8088
1676,8087
89,8086
2365,8085
992,8084
1845,8084
2821,8084
957,8082
1783,8081
738,8080
5230,8078
1794,8078
435,8077
132,8077
5207,8075
1385,8074
3204,8073
2753,8071
2894,8069
5367,8069
1233,8065
3016,8062
4154,8058
940,8058
5176,8057
1746,8054
3165,8054
761,8054
252,8054
2168,8052
4305,8049
2105,8045
1558,8044
848,8040
1430,8039
80,8038
788,8036
2668,8036
1770,8032
5274,8031
1599,8030
3491,8028
3775,8027
2688,8026
2467,8024
1260,8022
4366,8021
1384,8021
216,8019
4993,8018
3551,8018
5235,8012
1961,8009
1441,8009
4304,8009
424,8008
317,8007
5055,8005
665,8004
2019,8002
5349,8002
3801,7998
1033,7997
2714,7995
1598,7994
2492,7994
1469,7994
2886,7993
4075,7993
3107,7993
939,7993
378,7992
5140,7990
2653,7990
2455,7990
379,7988
2473,7987
1356,7987
5380,7986
4642,7984
3205,7984
2078,7983
3349,7983
4414,7982
2404,7982
1563,7979
3606,7978
2090,7977
2841,7976
433,7976
3209,7975
2760,7974
1952,7974
1971,7973
3480,7972
374,7971
1473,7970
1101,7969
5089,7967
2850,7966
2741,7965
2341,7965
3055,7965
3104,7964
4259,7964
1133,7963
5409,7963
2761,7962
280,7961
1821,7960
57,7959
353,7959
243,7959
2050,7958
1321,7958
1979,7957
4924,7956
5046,7956
4631,7956
3664,7956
5118,7955
2520,7955
2283,7955
3186,7953
2958,7952
1034,7951
5039,7951
3986,7950
2476,7950
1713,7949
2457,7949
486,7947
2680,7946
5109,7946
4396,7945
322,7945
3035,7944
4239,7943
1056,7943
3378,7943
4383,7943
2023,7942
2089,7942
182,7942
2056,7940
1847,7938
4262,7937
1988,7935
976,7935
150,7935
261,7932
2631,7932
1207,7931
4845,7931
1253,7931
4623,7929
2092,7929
2095,7929
117,7928
4671,7927
3361,7926
404,7926
1602,7926
1991,7926
5112,7926
513,7926
4231,7925
1373,7925
2525,7925
4353,7923
1183,7923
1484,7923
282,7922
403,7922
1539,7921
1419,7921
5224,7921
2126,7920
2136,7920
5345,7920
1332,7918
333,7918
2131,7918
399,7917
1124,7917
1943,7916
4293,7916
214,7915
2311,7915
4667,7914
495,7912
2770,7910
5217,7909
5010,7909
343,7909
1123,7908
4968,7908
2759,7908
1980,7907
5071,7907
205,7907
997,7906
5298,7906
3300,7906
3938,7906
2043,7906
2201,7905
4401,7905
1887,7905
1460,7904
2416,7903
1521,7902
2998,7902
1749,7902
114,7902
262,7901
118,7900
2699,7900
4217,7898
2968,7898
2399,7897
3541,7896
2780,7895
2428,7895
772,7893
2054,7892
229,7892
294,7892
3231,7891
2629,7890
382,7890
2018,7889
3855,7889
3467,7889
4333,7888
1877,7887
2827,7887
3196,7886
381,7886
4801,7884
1698,7882
4170,7881
1156,7881
3054,7881
5406,7881
1126,7880
2942,7880
3257,7880
2114,7879
2596,7879
5256,7878
988,7877
4267,7877
4542,7877
3236,7877
4562,7876
1685,7876
234,7876
5009,7875
5079,7875
1652,7874
5142,7874
4268,7874
422,7874
5041,7873
5418,7873
364,7872
4629,7872
1119,7872
1817,7871
4379,7870
1862,7870
1000,7869
1261,7869
320,7869
4778,7869
1209,7868
2048,7868
3505,7868
3610,7867
1498,7867
2755,7866
5265,7865
2564,7865
3446,7862
858,7862
1459,7861
372,7860
1064,7860
2565,7859
1846,7859
2844,7858
4342,7858
2828,7858
5363,7858
2301,7857
1039,7857
4163,7856
1524,7856
2051,7856
1641,7855
85,7855
4194,7853
5184,7853
1582,7852
2187,7852
3075,7852
1784,7851
1471,7851
187,7850
1727,7849
3307,7848
1176,7848
4572,7848
4428,7847
2685,7846
1082,7845
2667,7844
402,7843
3375,7843
774,7843
3407,7842
737,7842
1491,7841
1418,7841
306,7840
3162,7840
1111,7840
5083,7840
2008,7840
2862,7840
2490,7840
4568,7840
298,7840
2221,7839
3077,7838
4451,7838
2284,7838
1431,7838
816,7837
2412,7837
341,7837
1669,7836
5066,7836
2494,7835
4907,7835
4664,7834
3214,7834
156,7834
733,7833
1856,7833
3476,7832
1341,7832
1158,7832
2738,7831
1516,7831
251,7831
5200,7829
2200,7829
4834,7828
2339,7828
3148,7828
125,7828
2545,7828
2002,7827
937,7827
5135,7827
4288,7826
2903,7826
365,7825
4656,7825
4973,7825
994,7825
1664,7824
2393,7824
1624,7824
2258,7824
1709,7823
2945,7822
5354,7821
1114,7821
2965,7820
244,7820
2082,7820
5286,7820
2111,7820
4720,7819
4281,7819
4433,7818
4492,7818
627,7818
2470,7817
112,7817
2006,7817
199,7817
1402,7816
1507,7816
2055,7816
4855,7816
4208,7816
3051,7815
2644,7815
277,7814
140,7814
4857,7814
313,7813
1068,7813
4979,7813
3498,7812
2826,7811
3039,7811
1360,7811
1137,7811
1765,7811
4242,7810
5243,7810
4556,7809
2188,7808
110,7808
5277,7808
2423,7807
1454,7807
3534,7807
2557,7807
4692,7806
2909,7806
186,7806
4947,7805
2969,7805
3428,7805
2836,7805
3050,7805
4610,7805
2563,7804
2295,7803
1564,7803
4177,7803
2936,7803
3216,7802
2093,7802
2359,7801
4501,7801
3049,7801
3142,7800
1382,7800
3139,7800
225,7800
3788,7799
1871,7799
4594,7799
2189,7799
1381,7799
3137,7799
5103,7798
2801,7798
3099,7798
743,7797
1470,7797
832,7797
5291,7796
407,7796
1733,7796
1831,7796
781,7796
2249,7795
1884,7795
3040,7794
1280,7793
4467,7793
3266,7793
2727,7793
5178,7793
3312,7792
4814,7792
5293,7792
934,7792
3380,7791
2567,7791
329,7791
1550,7790
600,7789
465,7789
1052,7789
3296,7788
2515,7788
2908,7787
4125,7787
1604,7787
2046,7787
245,7787
4584,7786
1409,7786
4695,7786
4942,7785
3382,7785
1555,7784
1561,7784
363,7784
4372,7784
2890,7784
1843,7784
316,7783
1501,7783
2411,7782
454,7782
3108,7782
1299,7781
4781,7781
1637,7780
2571,7780
1132,7780
2994,7780
1015,7779
4132,7779
1815,7779
712,7779
3206,7778
2739,7778
2368,7778
1283,7778
3450,7777
3164,7775
1752,7775
3589,7775
5255,7775
4339,7774
2516,7774
925,7774
1880,7774
1140,7774
3130,7773
4369,7772
1145,7771
4989,7771
1047,7770
684,7769
2362,7769
2553,7769
1960,7769
88,7768
202,7768
3503,7768
1106,7768
1270,7768
1108,7768
2036,7768
385,7767
1197,7767
3060,7766
2893,7766
702,7766
2531,7765
1350,7765
3145,7765
4898,7764
163,7763
645,7763
2869,7762
2795,7762
285,7762
384,7761
3436,7761
3591,7761
3047,7760
3106,7760
68,7760
1423,7759
1072,7759
2198,7759
276,7759
662,7759
766,7758
2408,7757
5155,7757
1037,7756
677,7756
3395,7756
3459,7755
1584,7755
1401,7755
1642,7754
2859,7754
3038,7753
3282,7753
3144,7753
5152,7752
3095,7752
1070,7752
835,7752
3449,7752
4895,7752
4786,7751
1083,7751
3071,7751
215,7750
162,7750
5229,7749
628,7749
1625,7748
3119,7748
1917,7747
4165,7747
2441,7747
5005,7746
4140,7746
3585,7746
2068,7746
2837,7746
2098,7746
1105,7745
2934,7745
3352,7744
5389,7744
5025,7744
4122,7743
5346,7743
2262,7742
2906,7741
3061,7741
2848,7740
2452,7740
5125,7740
1374,7740
446,7738
2296,7738
1490,7738
3396,7737
391,7736
2922,7736
3321,7735
2887,7735
324,7735
350,7735
1916,7735
4952,7735
4903,7734
2956,7734
250,7733
1113,7733
2347,7732
4661,7732
1816,7730
4865,7730
1812,7729
2745,7729
3537,7728
3619,7728
4616,7728
4844,7727
4714,7727
3807,7727
1273,7726
2157,7725
4384,7724
5134,7724
1285,7724
3579,7723
188,7723
2386,7723
2679,7722
792,7722
814,7722
3012,7722
3379,7721
2094,7721
744,7721
2065,7720
809,7719
4750,7719
1820,7719
2970,7718
2867,7718
2818,7717
2233,7717
218,7716
3826,7716
1379,7716
4064,7715
3092,7715
247,7714
2665,7714
1288,7714
2209,7714
4363,7714
2077,7713
1172,7713
4887,7712
4840,7712
1314,7712
4706,7712
3530,7711
2491,7710
1300,7710
2904,7709
4945,7709
2471,7708
2020,7707
1932,7707
5339,7705
1826,7705
3654,7705
4745,7705
5116,7704
2312,7704
5158,7704
1377,7703
3308,7702
137,7702
4704,7702
1375,7701
213,7701
1906,7701
4591,7701
1497,7701
3143,7700
2737,7699
2783,7698
2127,7697
2700,7697
1472,7696
3656,7695
2224,7694
2148,7694
2905,7693
5186,7692
3151,7691
309,7691
1874,7691
1638,7690
1761,7690
4753,7690
3328,7690
166,7690
1178,7689
334,7689
2517,7688
347,7686
4602,7686
2618,7685
2812,7685
2649,7685
3381,7683
1027,7683
2781,7683
959,7682
5014,7681
3448,7680
2410,7679
973,7678
1900,7678
2074,7677
1858,7677
204,7677
1735,7677
5047,7677
1007,7677
5266,7676
2556,7676
4764,7676
2417,7676
1003,7675
2273,7674
1024,7674
3233,7673
2628,7673
1352,7673
487,7673
4443,7671
5002,7671
264,7671
429,7671
258,7671
4164,7670
2426,7670
4548,7670
160,7670
1355,7669
5238,7668
1588,7668
201,7667
2496,7667
2684,7666
981,7666
3203,7666
3460,7665
2356,7665
257,7665
2212,7664
2052,7664
4826,7664
2033,7663
4884,7663
339,7663
3105,7662
417,7662
902,7662
2498,7661
5253,7661
297,7661
246,7660
4954,7660
4938,7660
1175,7659
2978,7658
2541,7657
5141,7657
332,7657
1527,7656
142,7656
4565,7655
4963,7655
4246,7653
462,7651
1696,7651
2199,7651
2091,7650
1536,7650
263,7650
2540,7649
958,7649
991,7648
5347,7648
336,7648
3110,7646
2579,7646
3085,7646
1319,7645
3234,7645
2594,7644
956,7644
4648,7643
4551,7642
1922,7641
5148,7641
3217,7641
1142,7640
2957,7637
2313,7637
1272,7635
1306,7634
1387,7634
2650,7634
3499,7633
331,7632
1662,7631
2395,7631
2825,7631
2487,7629
355,7629
2937,7628
3617,7628
1613,7628
1601,7627
5257,7627
1118,7627
489,7626
1026,7626
1259,7626
208,7625
296,7625
2134,7624
4803,7623
4815,7623
1653,7623
681,7622
3368,7622
1264,7622
1177,7621
206,7620
1782,7620
2451,7620
659,7619
1310,7619
2138,7618
1174,7617
3230,7616
4980,7616
638,7615
5311,7614
5285,7613
4841,7613
2300,7613
2076,7611
1841,7611
5190,7610
1342,7609
1666,7609
4326,7608
370,7607
4057,7605
5219,7603
4215,7603
2503,7602
2574,7601
921,7601
430,7600
2983,7600
2456,7600
2858,7598
4668,7596
4212,7596
2544,7596
3045,7592
1828,7587
369,7586
3921,7586
3553,7586
2941,7582
4959,7580
4176,7578
