Stream index,stream_size
1708,9480
1728,9420
156,9363
504,9264
704,9256
1634,9240
1974,9233
1008,9205
328,9153
1772,9128
1858,9104
142,9103
556,9042
488,9023
379,8998
795,8981
2273,8938
427,8897
225,8600
2492,8492
2572,8433
973,8421
558,8315
564,8293
2118,8261
664,8244
1619,8232
1255,8228
997,8200
2197,8185
1285,8184
2225,8180
1335,8174
586,8171
2187,8170
2658,8165
988,8136
1080,8132
2005,8127
638,8126
1952,8123
686,8118
2265,8118
1779,8118
1240,8118
2591,8114
656,8110
1837,8110
249,8108
2604,8100
271,8095
2625,8093
1658,8083
652,8083
2728,8081
1061,8081
2183,8079
1227,8073
2450,8072
2642,8070
2330,8069
651,8069
104,8068
1456,8065
308,8063
1498,8062
1911,8062
2270,8061
1021,8060
2251,8059
94,8059
1116,8053
2258,8049
2550,8047
376,8047
1033,8045
977,8043
1754,8041
615,8040
1695,8039
138,8038
1191,8035
448,8033
1081,8032
2313,8031
1551,8031
2662,8031
649,8029
573,8028
1687,8027
481,8026
1262,8026
930,8025
713,8025
432,8024
1941,8022
1901,8022
679,8020
451,8016
2566,8016
701,8016
1299,8015
505,8014
2638,8014
437,8014
2684,8013
1643,8011
1295,8011
1876,8010
1112,8010
1680,8009
2433,8006
250,8005
339,8005
1088,8004
1470,8004
239,8003
2711,8002
1913,7996
1961,7996
2664,7996
2385,7995
914,7994
695,7991
1566,7989
632,7989
366,7988
716,7988
1206,7988
826,7987
2723,7986
2011,7984
1928,7983
2095,7981
2105,7980
1440,7979
2291,7977
1027,7976
2547,7976
2124,7975
1100,7975
2241,7975
851,7973
2737,7972
792,7972
1574,7972
1966,7969
1637,7969
2589,7966
2160,7963
721,7963
1375,7962
514,7962
1217,7961
405,7957
907,7957
1471,7955
1168,7954
1294,7954
1330,7954
1657,7953
1118,7953
633,7951
2254,7949
1485,7948
1231,7946
987,7946
2435,7945
2613,7945
892,7943
101,7938
1306,7937
397,7937
1744,7937
2252,7935
2219,7934
2320,7932
2557,7932
2546,7932
929,7931
1244,7931
433,7931
587,7931
970,7930
2240,7930
2599,7930
1558,7927
394,7927
2186,7927
1808,7927
2512,7926
1173,7926
1682,7925
2259,7924
1630,7923
1973,7922
1012,7922
2724,7920
1554,7920
2042,7919
2379,7919
157,7919
2353,7917
470,7913
309,7912
2387,7912
1864,7911
1272,7909
2718,7908
2581,7908
798,7908
898,7908
597,7907
1755,7907
2375,7906
1925,7905
992,7902
1222,7901
306,7901
1435,7901
1127,7900
961,7899
247,7899
731,7897
761,7896
1697,7896
2282,7895
336,7894
2397,7894
1246,7892
1880,7892
884,7892
453,7892
2310,7891
546,7890
373,7889
1102,7889
2209,7888
1879,7888
1221,7887
2715,7885
2232,7885
927,7884
1944,7883
1924,7883
272,7881
1862,7881
515,7879
1284,7879
121,7879
629,7878
406,7878
2175,7877
2725,7877
1602,7876
1341,7875
1300,7875
588,7875
1960,7875
2731,7874
402,7873
1264,7873
2026,7872
979,7872
289,7871
2198,7869
2021,7869
916,7868
2573,7867
2687,7867
1701,7867
2328,7867
952,7866
614,7866
773,7865
2139,7863
839,7862
1923,7861
1874,7861
983,7861
1732,7860
574,7860
2632,7858
2743,7858
2740,7857
1401,7857
2322,7857
1327,7856
1967,7856
1945,7856
1666,7856
2414,7855
1254,7855
1846,7855
2179,7854
2027,7854
630,7853
1224,7851
762,7851
2580,7850
10,7850
2357,7849
499,7849
436,7849
2138,7849
2089,7847
788,7847
2396,7847
1584,7846
1095,7846
1624,7846
2407,7846
342,7846
365,7846
1157,7846
968,7845
1549,7845
1092,7845
1735,7845
245,7845
1777,7845
1062,7844
2652,7844
2561,7844
320,7844
270,7843
1265,7843
1738,7843
1355,7842
1457,7841
1836,7840
2166,7840
119,7840
2230,7839
1089,7839
1977,7839
2060,7838
965,7837
2099,7837
2567,7837
2208,7837
842,7835
1103,7835
194,7834
291,7832
2596,7832
2630,7831
334,7831
717,7830
2474,7829
897,7829
2621,7829
1567,7828
1546,7828
1580,7828
364,7828
949,7827
135,7827
975,7827
1544,7826
1649,7826
2324,7825
859,7825
1769,7824
2444,7824
1686,7824
1929,7824
650,7824
1667,7824
338,7824
1640,7823
1202,7821
2588,7821
1958,7821
1223,7821
1853,7821
2577,7821
1216,7820
608,7819
2359,7818
1022,7818
2344,7818
1051,7818
429,7817
2695,7817
1275,7817
2038,7815
1236,7813
996,7813
2680,7812
1937,7811
1557,7811
2076,7809
242,7809
1659,7809
263,7808
2700,7807
2223,7807
2418,7807
2032,7807
1798,7806
805,7805
2071,7804
2315,7804
693,7803
1990,7802
1263,7801
2456,7801
810,7801
1190,7800
742,7799
1915,7799
1072,7799
623,7798
1573,7797
1058,7795
1395,7795
915,7794
1182,7794
2582,7793
1036,7793
660,7792
1417,7792
176,7791
2122,7791
659,7791
1004,7790
2085,7790
562,7790
2394,7789
