Stream index,stream_size
2640,14412
1311,14311
876,14175
86,13996
1743,8734
1364,8326
2278,8206
511,8039
31,8019
429,7917
2139,7908
2075,7845
2442,7810
1497,7754
2043,7739
467,7736
2281,7736
2705,7709
164,7709
1220,7707
2763,7706
777,7700
724,7698
2784,7692
870,7689
1302,7687
1112,7678
2040,7649
419,7644
2233,7643
1544,7641
2719,7625
1209,7625
2732,7618
76,7609
618,7605
497,7604
102,7602
1823,7590
1601,7589
1051,7589
690,7588
2636,7586
1412,7582
680,7578
2505,7576
1178,7573
2665,7564
1960,7559
2379,7549
1347,7548
2656,7545
2345,7545
1428,7537
2718,7532
1939,7531
2071,7530
1722,7528
2038,7524
1181,7520
1194,7518
2729,7516
509,7513
1207,7510
2804,7509
756,7508
2613,7507
2717,7504
992,7501
737,7500
436,7499
1788,7497
874,7496
55,7495
2517,7488
654,7486
626,7483
508,7483
1064,7480
2077,7478
43,7476
2287,7476
1643,7474
523,7474
2389,7468
20,7466
847,7465
1882,7465
1863,7464
1618,7464
741,7462
1916,7461
2319,7461
2679,7460
1111,7458
1447,7456
2811,7455
1106,7455
1229,7452
324,7450
1038,7448
1163,7448
1125,7446
553,7442
2156,7442
1609,7441
85,7440
940,7438
2383,7437
500,7437
2516,7436
470,7436
84,7431
1625,7431
2725,7430
401,7426
2333,7425
1304,7423
1296,7419
673,7418
130,7418
1236,7415
1299,7414
2691,7414
1074,7414
1751,7413
148,7412
971,7412
1431,7412
1859,7411
2346,7409
425,7409
2597,7409
29,7408
1157,7406
813,7406
404,7406
2387,7405
1035,7405
1107,7405
53,7403
2800,7402
1102,7400
1821,7400
1652,7398
156,7398
403,7398
1040,7397
1354,7397
2458,7395
1868,7394
74,7394
374,7393
1583,7391
1394,7389
2344,7389
2205,7388
1852,7387
1876,7387
2812,7386
423,7386
1278,7385
1286,7384
1901,7381
113,7380
2340,7380
2240,7379
1602,7377
2218,7377
1592,7376
1305,7376
729,7376
2659,7375
2323,7375
1604,7373
1152,7373
991,7373
2342,7373
2145,7372
747,7370
1742,7370
1712,7370
2781,7369
2697,7369
2337,7368
2608,7368
149,7367
1698,7367
1122,7366
446,7366
1983,7365
47,7365
251,7365
1985,7364
1310,7364
2489,7364
1716,7364
2382,7364
2414,7363
2088,7363
1389,7362
846,7361
2363,7360
443,7359
159,7358
2365,7357
2242,7355
1809,7354
493,7354
2372,7354
1088,7353
2581,7353
1284,7353
1047,7353
658,7351
1250,7351
2624,7350
1275,7348
843,7347
1441,7345
1513,7345
435,7345
2674,7344
2409,7343
46,7343
763,7342
1285,7341
2747,7337
2506,7336
814,7334
1076,7333
1115,7333
2662,7333
1906,7333
460,7332
2013,7330
818,7330
2638,7330
1297,7329
2270,7329
2743,7328
1875,7328
1827,7327
1253,7327
1346,7327
2099,7327
1422,7326
1120,7325
25,7324
1246,7323
1216,7323
946,7322
2810,7321
1411,7320
365,7320
40,7319
1644,7318
2236,7318
1097,7316
739,7316
1945,7315
1687,7314
2170,7314
1478,7314
2761,7312
2056,7312
1980,7312
764,7311
1894,7311
1391,7311
145,7310
103,7309
1280,7308
828,7308
79,7308
2714,7307
2558,7306
2805,7306
1947,7306
1856,7305
1733,7305
681,7304
2305,7304
2150,7304
2402,7304
1805,7302
1021,7302
512,7302
1242,7301
2417,7301
2072,7301
2737,7301
1031,7300
1525,7300
486,7300
2309,7300
2322,7299
825,7299
2185,7299
2514,7298
839,7298
2057,7297
2217,7295
2280,7295
487,7295
2381,7294
133,7294
2087,7293
1195,7292
396,7292
2063,7291
922,7291
2113,7291
1103,7290
1964,7290
1153,7290
2633,7289
108,7288
944,7288
1473,7288
2338,7287
1837,7287
2001,7287
1819,7286
727,7285
1750,7285
402,7285
1089,7285
2441,7284
2268,7284
961,7283
1715,7283
2202,7283
815,7282
33,7282
1850,7281
1128,7280
1224,7280
1276,7279
1434,7279
109,7279
2492,7279
2062,7279
1822,7278
1638,7278
2239,7278
2589,7278
987,7277
1221,7276
2619,7275
1899,7275
1546,7274
75,7273
119,7273
473,7273
39,7272
27,7272
463,7272
1971,7271
2740,7271
1124,7271
748,7270
81,7269
1498,7269
2497,7269
2661,7268
2306,7266
2479,7266
35,7266
1603,7266
1949,7265
1309,7265
982,7265
2009,7265
1520,7265
679,7264
1965,7262
2266,7262
1900,7262
474,7262
2667,7261
2155,7261
409,7260
2628,7260
2024,7259
2496,7259
1017,7259
2388,7259
1196,7259
615,7258
1129,7258
1717,7257
1249,7257
705,7257
503,7256
1781,7255
2080,7255
1450,7254
1345,7253
917,7253
924,7252
625,7252
629,7251
1247,7250
1574,7250
2078,7250
1843,7250
1077,7248
845,7248
1796,7246
2669,7246
2061,7245
132,7245
1233,7245
1619,7244
1969,7243
926,7242
83,7242
2461,7241
2378,7241
63,7241
1108,7240
2008,7240
433,7240
1729,7239
2118,7239
1,7239
959,7238
32,7238
2478,7238
2191,7237
953,7236
1016,7236
58,7236
1243,7235
655,7235
962,7235
2180,7234
1415,7234
1524,7234
1860,7233
57,7233
1773,7233
412,7232
2745,7231
1953,7231
1697,7230
1732,7230
2769,7229
2720,7228
2289,7227
2755,7227
1003,7226
1714,7226
2668,7226
2588,7225
2039,7225
2274,7225
2230,7225
951,7224
2068,7224
2385,7223
711,7223
2511,7223
2251,7222
1704,7222
2199,7221
14,7221
2031,7220
2481,7220
400,7219
464,7218
1241,7216
64,7216
2415,7216
1361,7215
2539,7215
2618,7212
2192,7212
2190,7212
630,7212
1085,7212
645,7210
651,7208
1776,7208
2203,7207
1522,7207
1720,7207
2105,7207
2055,7206
2460,7206
1542,7206
2123,7206
1849,7205
1002,7205
1055,7205
1948,7203
752,7203
1063,7202
1390,7202
2772,7202
1073,7202
1465,7201
2768,7201
2120,7201
1902,7200
80,7200
534,7199
2269,7199
1177,7198
1952,7198
1141,7197
2484,7197
2704,7196
1957,7196
1251,7196
2102,7195
2111,7195
2412,7194
101,7193
2580,7193
2813,7193
1263,7192
1539,7192
1797,7191
2181,7191
927,7190
2637,7189
1858,7189
495,7189
2540,7188
1521,7188
2279,7187
1903,7187
797,7187
1929,7186
1555,7186
2360,7185
2660,7184
1841,7184
2727,7183
2252,7183
2025,7183
2032,7182
1976,7182
2204,7182
819,7181
2037,7180
921,7180
2396,7180
1921,7180
2115,7179
62,7178
112,7178
298,7178
2585,7177
1034,7177
1984,7177
1943,7177
823,7177
1928,7176
2760,7175
2286,7175
2499,7175
1109,7174
2362,7173
822,7173
1516,7172
1149,7172
1806,7171
354,7171
2002,7171
2584,7170
2116,7170
590,7169
438,7168
833,7168
1950,7168
2432,7167
923,7166
1558,7166
788,7164
2678,7164
1851,7164
2502,7163
810,7163
974,7162
480,7162
415,7162
2330,7161
1994,7161
1946,7160
1392,7160
1944,7158
1795,7158
67,7157
2198,7157
980,7157
485,7156
1208,7156
792,7156
2271,7155
712,7155
1277,7155
742,7154
65,7154
61,7153
2594,7153
2371,7152
753,7152
2361,7152
1723,7151
2178,7151
2538,7151
1883,7151
2672,7150
1627,7149
1298,7147
2066,7147
499,7147
1062,7147
2746,7145
1807,7144
840,7144
476,7144
510,7144
1214,7144
60,7143
1600,7143
1156,7143
973,7143
41,7142
2136,7141
2339,7141
1030,7141
1767,7141
790,7141
1783,7140
2715,7139
1829,7138
2314,7136
824,7136
793,7135
1042,7135
2533,7135
1256,7134
71,7134
1730,7133
139,7133
1580,7133
2754,7131
1065,7131
2683,7131
1225,7131
484,7131
2293,7130
1968,7130
1130,7130
2241,7129
1963,7129
2542,7128
1996,7128
947,7128
2677,7128
1623,7128
1798,7127
1866,7126
70,7125
1770,7125
413,7125
391,7124
2707,7123
1356,7123
721,7121
2006,7120
504,7119
1508,7119
2491,7119
1223,7119
1189,7119
2422,7117
137,7117
1435,7117
656,7116
2748,7114
1410,7114
1222,7114
1474,7113
138,7113
1624,7111
646,7111
59,7111
131,7110
2620,7110
1414,7110
1815,7108
624,7108
2386,7107
1562,7107
1118,7107
2033,7106
1523,7104
755,7104
1941,7104
491,7103
2030,7103
1955,7103
2154,7102
2253,7101
2586,7101
392,7100
1350,7100
1061,7100
2733,7099
776,7098
1867,7097
938,7097
2317,7096
1630,7096
2436,7095
1820,7095
1631,7095
2058,7095
2806,7095
1526,7094
2165,7093
2034,7093
456,7092
1593,7092
2576,7092
1268,7089
398,7089
1568,7089
100,7088
1861,7088
2282,7087
1794,7086
2579,7085
1203,7084
1543,7084
2528,7082
1740,7082
2107,7081
2568,7081
728,7080
1879,7079
90,7077
2380,7076
107,7075
1547,7075
2209,7074
796,7074
2676,7074
1201,7072
2570,7071
1179,7071
2721,7071
2682,7070
2026,7069
2021,7069
1512,7069
95,7068
809,7066
995,7066
2331,7065
2104,7065
2294,7064
2137,7061
2273,7061
1632,7060
1842,7060
1087,7058
2059,7058
68,7058
1452,7058
1559,7058
2364,7057
2166,7056
2703,7056
2384,7055
1737,7055
2515,7053
1930,7053
2406,7051
375,7051
2541,7051
2466,7049
2504,7049
1904,7049
1150,7049
2421,7047
2318,7047
2307,7046
2428,7046
2126,7046
1920,7045
1966,7045
69,7043
2299,7043
716,7042
808,7041
838,7041
1056,7041
2404,7040
2612,7040
2583,7036
1622,7036
1642,7035
2780,7035
2261,7034
1736,7034
1219,7034
2138,7033
