Stream index,stream_size
2761,9066
1444,9034
5252,8991
819,8701
1960,8622
1231,8610
2429,8605
710,8595
1715,8584
1044,8563
1682,8554
1716,8551
581,8546
342,8544
172,8535
654,8525
127,8507
2557,8507
677,8504
1364,8500
1316,8484
2585,8477
1204,8473
703,8454
2712,8450
203,8435
525,8376
2704,8372
682,8339
1710,8338
2490,8294
729,8293
1125,8214
5939,8097
575,7953
526,7901
1719,7847
5719,7813
1254,7790
5008,7766
451,7744
579,7706
3584,7689
2366,7670
69,7656
2358,7654
225,7625
542,7613
61,7613
150,7599
1699,7597
2242,7586
327,7582
1236,7582
2491,7578
1634,7573
5019,7569
1351,7542
1071,7540
3873,7538
5548,7527
3946,7522
1073,7516
1818,7514
1289,7511
394,7510
559,7507
4150,7506
399,7505
1647,7499
1301,7489
405,7484
567,7484
3960,7484
666,7474
224,7473
431,7471
2643,7470
305,7467
1653,7464
5704,7463
555,7459
2422,7456
1596,7450
171,7449
1544,7447
1837,7446
1246,7445
5168,7439
1531,7439
2549,7435
829,7434
493,7432
3690,7430
156,7429
1473,7427
414,7425
1096,7424
5707,7423
828,7419
4591,7415
498,7414
1282,7412
2479,7411
2718,7409
515,7408
1708,7407
1221,7402
2487,7397
282,7393
3926,7391
580,7389
4142,7386
4408,7384
1558,7380
905,7378
3968,7375
1485,7375
194,7373
1275,7372
1281,7369
54,7363
994,7362
2482,7362
2150,7360
292,7359
1253,7354
1626,7349
380,7345
2115,7343
1227,7341
2302,7340
494,7340
512,7340
474,7340
1325,7336
259,7331
1257,7331
2464,7331
1540,7327
2570,7327
2469,7327
186,7326
425,7325
594,7324
2604,7321
1349,7318
1223,7314
1219,7313
427,7311
984,7310
398,7310
240,7309
4937,7309
4799,7307
1091,7306
1370,7306
5722,7306
835,7304
1460,7303
537,7302
182,7302
1665,7301
1297,7300
1535,7299
708,7298
1431,7298
1150,7296
1673,7293
6000,7293
1042,7293
2642,7292
90,7288
2436,7288
336,7288
691,7288
202,7285
356,7283
83,7283
5514,7283
5205,7283
1701,7283
2451,7282
1733,7278
2477,7278
2742,7278
1765,7278
2423,7277
1784,7277
1255,7277
2500,7275
2079,7272
226,7271
1578,7271
617,7270
557,7269
725,7268
2355,7267
2281,7266
463,7266
1309,7263
344,7261
1775,7260
2520,7259
1501,7255
2517,7253
826,7253
2474,7251
1505,7250
2311,7249
673,7249
1066,7247
2784,7245
4326,7244
551,7243
596,7243
245,7243
332,7243
1633,7242
238,7242
1539,7241
2352,7241
1229,7239
1618,7239
2485,7238
464,7236
969,7234
296,7234
1333,7233
149,7233
902,7232
1585,7232
1367,7232
1385,7231
695,7229
5718,7229
1554,7228
967,7228
3965,7226
1248,7226
4769,7225
1584,7224
2526,7224
797,7222
1664,7222
244,7222
3775,7220
2489,7220
1123,7219
1265,7219
1252,7219
786,7218
676,7217
2644,7217
1499,7217
4515,7216
2473,7215
1503,7214
774,7214
1560,7212
1222,7211
1440,7211
1303,7210
627,7210
383,7209
5648,7209
897,7209
60,7208
706,7208
85,7206
584,7206
536,7205
663,7205
516,7204
170,7203
428,7203
204,7202
1526,7202
1127,7201
2419,7201
1462,7200
229,7200
257,7200
261,7199
1683,7199
1562,7198
258,7198
1052,7197
1226,7197
2732,7197
1804,7196
1176,7196
895,7196
1516,7196
1210,7196
1401,7196
1898,7194
1310,7193
2710,7192
3938,7192
190,7191
241,7191
1666,7191
462,7190
2300,7190
1801,7189
2415,7188
798,7188
326,7188
4230,7186
560,7186
2550,7185
1058,7184
971,7184
262,7183
1599,7182
570,7181
547,7181
1785,7181
1262,7180
2214,7180
997,7180
1661,7179
2481,7178
1214,7177
2377,7177
1201,7177
1441,7177
2650,7176
1731,7176
2775,7176
1559,7175
2553,7175
303,7175
3131,7175
2125,7175
2771,7174
2714,7173
5345,7172
1564,7172
1509,7172
1789,7170
2333,7170
1129,7169
1250,7168
864,7168
1763,7168
497,7166
724,7166
1083,7166
3656,7165
1674,7164
5030,7164
6009,7162
1794,7161
2690,7161
343,7161
595,7160
1063,7160
1436,7160
4056,7159
2052,7158
2103,7158
1602,7158
743,7158
1198,7158
5480,7157
135,7157
2708,7157
1101,7156
1126,7155
2353,7154
1541,7153
694,7153
2671,7153
1714,7152
1677,7152
2468,7151
1604,7151
426,7150
3985,7150
1064,7150
1577,7149
770,7148
233,7148
545,7148
662,7147
248,7146
2229,7145
2128,7145
1256,7144
2778,7144
1435,7144
1538,7143
1050,7141
665,7139
2740,7137
496,7137
1216,7137
1433,7136
5567,7135
185,7135
148,7134
1656,7134
1827,7133
4721,7133
2719,7132
260,7132
1667,7132
1415,7131
1339,7131
113,7130
1880,7130
159,7130
400,7130
1698,7130
2241,7129
147,7129
2571,7129
70,7129
1199,7128
299,7127
1684,7127
764,7127
489,7126
657,7125
2309,7124
661,7123
485,7123
1768,7122
1772,7121
920,7121
168,7121
1537,7121
1547,7120
1287,7120
684,7117
2697,7117
572,7115
1015,7115
1999,7114
1696,7112
1326,7112
1484,7112
4116,7112
1331,7111
2439,7110
1259,7110
890,7110
4353,7110
1615,7110
91,7110
1041,7109
1625,7109
1273,7109
1614,7108
5535,7108
2752,7107
2475,7107
707,7107
1790,7107
1528,7106
2602,7106
1717,7106
475,7106
5114,7105
3777,7105
1039,7104
295,7104
1744,7104
5413,7104
5684,7104
1278,7104
2664,7104
753,7103
1730,7102
720,7102
1802,7101
490,7101
2524,7101
669,7100
2277,7100
1376,7100
1648,7100
2313,7099
157,7099
1345,7099
2560,7099
2381,7098
820,7098
631,7098
1299,7098
1320,7096
1610,7096
1676,7096
3955,7095
1321,7094
1085,7094
2555,7093
980,7093
2212,7091
1177,7091
2190,7088
86,7088
1232,7087
1668,7087
754,7085
2749,7085
129,7085
1786,7084
195,7084
3810,7084
680,7083
4289,7083
1451,7081
1631,7080
598,7080
1557,7080
2339,7080
2142,7080
209,7080
574,7079
2493,7079
1628,7078
2112,7078
1368,7078
1502,7077
992,7077
1580,7077
1690,7077
1655,7076
1712,7076
1587,7076
792,7076
1612,7076
1486,7075
404,7075
593,7075
1315,7075
5385,7074
2201,7074
397,7074
2582,7074
1504,7073
717,7073
1131,7072
1233,7071
1624,7071
1100,7071
65,7071
250,7071
491,7071
1414,7070
4341,7070
2773,7070
1476,7069
588,7069
315,7068
1660,7068
834,7067
2412,7067
3774,7066
6032,7066
1817,7066
441,7064
1579,7064
2633,7064
991,7063
133,7062
334,7062
1332,7062
2129,7061
1200,7061
1811,7061
2528,7061
201,7061
2829,7061
3381,7060
675,7060
1461,7060
1574,7059
330,7059
1553,7059
535,7059
1263,7057
1035,7057
1001,7057
1425,7055
2669,7055
2677,7055
1211,7055
1725,7055
56,7054
1378,7054
66,7054
300,7054
2908,7052
319,7052
1492,7052
1242,7052
5117,7051
1511,7050
1445,7050
1068,7050
5530,7049
1276,7049
592,7049
1291,7048
223,7047
1808,7047
2126,7047
884,7047
1657,7046
1283,7045
1312,7045
5884,7044
2114,7044
670,7044
832,7043
921,7043
212,7043
263,7043
1728,7043
2296,7043
1675,7042
1600,7042
726,7042
2442,7042
1410,7041
681,7039
1439,7038
122,7038
4340,7037
384,7037
2100,7037
1713,7037
1678,7037
62,7035
893,7035
1420,7035
564,7034
1693,7034
1089,7033
2672,7033
1573,7032
698,7032
1338,7031
616,7031
1591,7031
1288,7031
2437,7031
10,7030
1413,7030
808,7030
4929,7029
2438,7029
2694,7029
587,7028
1679,7027
755,7027
723,7026
1417,7026
4736,7026
744,7025
4189,7024
252,7024
1095,7024
1334,7024
1630,7023
504,7023
1793,7023
823,7023
613,7022
377,7022
4183,7022
2518,7022
134,7022
1662,7021
1375,7019
1494,7019
1423,7019
93,7018
1419,7018
2362,7018
247,7017
1285,7017
1266,7017
347,7016
333,7016
1620,7016
208,7016
556,7015
2462,7014
2306,7014
2657,7014
1617,7013
1520,7012
1188,7012
944,7011
807,7011
1298,7011
3037,7011
2734,7010
2472,7010
1650,7010
630,7008
822,7008
540,7008
1608,7008
1220,7007
2556,7007
1424,7007
2365,7006
546,7006
1685,7006
1293,7005
2065,7005
440,7005
452,7005
1267,7005
2425,7005
1112,7005
1343,7004
1607,7004
2598,7003
2614,7002
1308,7002
1816,7002
123,7001
1463,7001
5685,7001
256,6999
2770,6999
1346,6999
2599,6998
558,6998
198,6998
2658,6997
2295,6997
2692,6996
1622,6996
1202,6996
2640,6996
539,6996
3798,6996
970,6995
888,6995
5498,6995
973,6995
1324,6994
1697,6994
4588,6994
1551,6993
3000,6992
176,6992
2494,6991
385,6991
697,6991
1611,6990
1550,6990
2293,6990
1418,6989
329,6989
1848,6989
2724,6988
1807,6988
2307,6987
1270,6987
206,6986
1087,6985
180,6985
1294,6984
1496,6984
1523,6984
2265,6980
1774,6980
1149,6980
1659,6980
92,6980
2492,6979
1597,6979
1336,6978
236,6978
565,6978
1534,6977
1478,6977
173,6977
590,6977
1718,6977
2768,6976
2702,6975
1803,6975
582,6975
693,6972
488,6972
1207,6971
4728,6971
193,6970
742,6970
4790,6970
687,6970
1507,6969
1575,6969
197,6968
552,6968
1421,6968
1422,6968
1286,6967
132,6967
2639,6967
382,6965
1213,6964
615,6964
1788,6964
1514,6962
1527,6962
1490,6962
2739,6961
1792,6961
1601,6961
1695,6961
1595,6960
1124,6960
1513,6960
5059,6959
1167,6959
199,6958
810,6958
2623,6958
1687,6958
2689,6957
2670,6957
5441,6955
246,6955
2707,6955
1209,6955
1787,6955
563,6954
1583,6953
990,6953
5225,6953
2461,6952
278,6952
1652,6952
503,6952
96,6951
1268,6950
2336,6948
538,6947
591,6946
961,6945
1329,6944
501,6943
671,6943
1319,6943
5534,6943
1489,6942
668,6941
1548,6939
416,6938
1347,6938
2736,6937
1247,6937
1479,6936
1307,6936
338,6934
1764,6934
514,6933
732,6932
5543,6931
301,6931
1525,6931
1809,6931
207,6930
2772,6930
2077,6929
367,6927
1672,6927
227,6927
2101,6926
36,6925
1474,6925
2019,6924
1140,6923
1344,6922
629,6922
3961,6922
2705,6922
242,6922
664,6921
1508,6921
2621,6920
366,6919
1234,6919
5337,6918
1658,6917
626,6916
112,6915
1269,6915
543,6915
192,6915
1300,6915
2338,6914
137,6913
3639,6913
1038,6913
2298,6912
2716,6911
3023,6910
4687,6909
3764,6907
1016,6906
381,6906
230,6905
3025,6905
887,6905
28,6903
196,6903
1546,6902
1366,6902
1341,6900
1212,6899
231,6899
2636,6897
1348,6897
346,6897
1017,6896
357,6896
2303,6893
2308,6893
153,6891
1836,6890
2512,6889
599,6888
5556,6887
234,6887
1521,6887
2656,6887
1130,6885
1654,6885
620,6883
1340,6883
2781,6883
1616,6883
1586,6881
689,6880
1088,6880
600,6880
255,6879
2722,6878
2239,6877
589,6876
58,6873
42,6871
1249,6868
2455,6867
1510,6866
1284,6865
1342,6865
718,6864
1426,6862
696,6860
5344,6857
2558,6857
1711,6855
1305,6854
2341,6851
136,6849
1669,6848
79,6842
2581,6842
1261,6841
210,6841
2284,6841
1178,6840
4930,6836
833,6836
1619,6835
5407,6834
5509,6834
821,6832
87,6831
1644,6830
544,6821
1491,6817
235,6806
891,6800
276,6798
1306,6797
2713,6795
1649,6781
1296,6781
486,6778
2587,6770
3111,6762
1475,6744
339,6735
1379,6724
1072,6683
719,6668
