Stream index,stream_size
4462,8500
2225,8479
1532,8431
4987,8416
3463,8394
677,8383
2458,8372
688,8371
767,8364
3016,8361
3170,8356
3123,8345
127,8328
1379,8326
3700,8325
5660,8320
4256,8307
1465,8300
4052,8299
4180,8290
5620,8284
3692,8282
5898,8282
2558,8281
1947,8278
2675,8278
117,8273
3475,8268
4166,8267
1275,8264
5193,8263
5562,8256
1337,8249
3230,8249
1520,8247
2528,8246
1509,8245
7,8241
3273,8238
3292,8238
2953,8237
3213,8235
704,8234
2435,8230
2245,8229
2386,8228
840,8223
5529,8223
2527,8223
5951,8221
2449,8221
2031,8220
6007,8214
5321,8212
2995,8211
1406,8209
2029,8203
379,8203
707,8201
2185,8200
2873,8198
149,8198
753,8198
3255,8194
977,8190
2962,8190
2309,8186
2812,8186
4513,8186
2566,8184
3072,8183
2471,8179
2131,8179
2825,8178
2215,8176
1471,8176
5198,8174
1399,8173
3258,8172
1184,8172
2323,8171
2152,8168
3792,8167
2114,8164
1214,8163
3263,8161
3172,8158
3234,8157
5308,8157
3058,8155
2252,8153
4436,8153
3078,8153
2335,8152
4731,8152
2482,8151
750,8150
3291,8147
3774,8147
5703,8147
4138,8144
1107,8143
4239,8141
3238,8140
5399,8139
4329,8136
4376,8134
4245,8133
2028,8131
4670,8131
4179,8124
1929,8123
3290,8121
4449,8121
1469,8119
2257,8119
1566,8117
4024,8116
2501,8115
2036,8114
1124,8113
3820,8110
2986,8109
3568,8108
618,8108
2094,8107
4033,8102
3012,8102
5194,8102
3062,8100
2854,8100
666,8099
2145,8099
2550,8098
3548,8098
3677,8097
1276,8095
2316,8091
2798,8091
1077,8089
2754,8089
2997,8089
1177,8088
2198,8088
3890,8088
818,8088
2801,8087
2536,8085
4232,8085
2254,8083
3788,8083
4234,8083
2317,8083
699,8083
4980,8083
4034,8081
5186,8081
695,8080
2141,8080
2054,8079
4019,8078
2080,8077
2792,8077
4358,8076
5543,8075
2832,8075
1999,8075
5570,8074
2120,8073
2023,8072
3094,8071
3173,8070
2786,8069
2451,8069
5202,8069
2432,8069
3136,8068
2461,8068
2327,8067
3153,8067
2333,8066
2074,8066
1194,8065
6008,8064
2879,8063
1262,8062
4380,8062
2522,8061
1434,8060
1926,8060
5819,8059
4082,8059
4645,8058
2878,8056
1195,8055
2643,8053
2291,8049
4411,8048
2290,8045
2569,8043
3997,8043
2178,8043
2480,8042
5642,8042
5999,8041
2469,8041
3769,8041
640,8040
116,8040
1553,8038
2097,8035
3232,8034
2044,8034
1053,8034
4054,8033
595,8032
3310,8032
3088,8029
2431,8029
3818,8027
1153,8027
5988,8026
3152,8026
132,8025
1930,8025
2210,8024
3092,8024
4385,8024
909,8023
1398,8023
4044,8022
5483,8022
1151,8021
2360,8020
1176,8018
3191,8018
2539,8018
2207,8017
893,8017
3922,8016
6006,8015
4020,8015
2137,8014
67,8014
3533,8013
2128,8012
4178,8011
1474,8010
3307,8010
3484,8008
2520,8008
2249,8008
2593,8008
3185,8007
915,8006
3187,8006
1973,8005
3196,8004
4452,8003
2158,8003
2286,8002
5498,8002
3660,8000
3496,7999
1256,7997
2318,7996
2749,7996
2056,7996
759,7995
4236,7994
1421,7993
2306,7990
4966,7989
2184,7989
2784,7988
2613,7988
3073,7987
649,7986
4153,7986
2081,7985
2608,7984
3241,7984
1443,7983
4363,7982
2448,7982
2113,7982
3251,7982
1996,7981
3033,7980
2156,7980
4537,7979
2464,7979
3817,7977
3198,7977
2981,7977
5920,7976
2734,7972
2874,7972
3748,7970
1489,7970
1552,7969
2058,7968
143,7968
1974,7967
3676,7967
2329,7967
2994,7966
2456,7965
3156,7965
2977,7965
4406,7965
3712,7963
3212,7962
1948,7962
2454,7962
2436,7961
2504,7961
2738,7960
5690,7960
2508,7960
2836,7960
360,7959
3641,7958
2472,7958
1950,7958
691,7957
2642,7957
324,7956
1196,7956
1980,7956
3189,7955
2073,7953
1543,7952
1508,7951
4453,7951
1512,7950
2129,7950
3018,7950
1899,7949
2338,7948
2373,7947
5164,7947
2923,7947
1563,7946
1909,7942
932,7941
1411,7941
2950,7940
3267,7940
2544,7940
1525,7940
2969,7939
3825,7939
2404,7939
2523,7938
3090,7938
2000,7938
3883,7937
2745,7937
2496,7936
3497,7934
1146,7933
4035,7933
1492,7932
1020,7932
2459,7931
2398,7931
3223,7930
3464,7930
2462,7929
2216,7929
3556,7928
2045,7927
1965,7927
4429,7927
2576,7927
4295,7926
1043,7926
1917,7924
3891,7920
3011,7920
3413,7920
2446,7919
2835,7919
5057,7918
3279,7918
3989,7918
2328,7916
4639,7916
2285,7916
3305,7915
2214,7914
2400,7914
2308,7914
5142,7913
2199,7913
2490,7913
3014,7911
3013,7911
3065,7911
3050,7910
3054,7909
3555,7909
901,7909
1389,7908
620,7908
3195,7908
5287,7907
3052,7907
3117,7906
2053,7906
2410,7906
3528,7906
1995,7905
3553,7904
2154,7904
4527,7903
2032,7902
2150,7902
4043,7902
2467,7902
2358,7902
2292,7901
2392,7900
2260,7900
2525,7899
1251,7899
2725,7898
2827,7897
3085,7897
3004,7895
727,7895
4331,7895
4373,7894
2517,7893
3488,7893
4647,7893
3916,7891
2559,7891
2507,7890
1092,7890
2600,7890
2219,7889
2303,7888
4377,7888
4532,7888
2940,7888
3385,7887
2998,7887
3228,7887
1087,7886
2951,7886
1426,7886
2397,7886
785,7885
2968,7885
4145,7885
4036,7885
2957,7884
740,7882
3089,7882
3435,7881
2090,7881
3257,7881
3227,7880
601,7880
3222,7879
1461,7879
5777,7878
2560,7878
4309,7877
2067,7877
3007,7874
1780,7874
5168,7874
2543,7873
1203,7872
2816,7872
1046,7872
5254,7872
3055,7872
3572,7871
2870,7870
2830,7870
1991,7870
5042,7870
3097,7869
3038,7867
2050,7867
2481,7867
3155,7867
2340,7865
3252,7864
3254,7864
4157,7864
4018,7863
3421,7863
5343,7863
3009,7860
1518,7860
1901,7860
975,7856
4635,7855
1310,7854
368,7854
2948,7854
682,7853
4242,7852
1439,7852
3063,7851
2213,7851
5119,7851
3122,7850
3157,7849
2112,7848
895,7848
2554,7847
764,7846
3095,7846
527,7846
2541,7845
2542,7845
2567,7845
3929,7842
4357,7841
2149,7841
2250,7841
1396,7841
4507,7840
1185,7840
3060,7840
5967,7839
2629,7839
2089,7839
794,7838
3056,7838
118,7837
5391,7837
1258,7836
3897,7836
1096,7836
4922,7836
3717,7834
3066,7833
3127,7833
3575,7832
3159,7830
4260,7830
2570,7830
2098,7830
2401,7830
3511,7830
5489,7829
2132,7828
4308,7827
2419,7827
4465,7827
2976,7827
57,7827
5550,7827
898,7826
2052,7826
2038,7826
3077,7825
2614,7825
1071,7825
659,7825
1149,7824
4383,7823
3424,7823
979,7823
3113,7821
2452,7821
3242,7820
2869,7820
2439,7820
2619,7820
1480,7819
3019,7819
2294,7819
2540,7819
2005,7818
3186,7818
2535,7818
3578,7817
2321,7817
121,7817
2352,7816
3722,7815
4503,7815
99,7815
5480,7815
5160,7815
4479,7812
3174,7812
2580,7812
3773,7812
3299,7810
1158,7810
2006,7809
3082,7807
4231,7807
1055,7807
2852,7807
2310,7806
2385,7806
1918,7806
2407,7806
2605,7805
4531,7805
4528,7805
3715,7804
2003,7804
1935,7803
1186,7802
2060,7801
2103,7801
3647,7801
5656,7801
3908,7800
5290,7800
4388,7800
3178,7799
5797,7799
4300,7799
4255,7799
4268,7798
2568,7798
1494,7797
1291,7796
1460,7796
2422,7796
4299,7795
2860,7795
2332,7793
1370,7791
3550,7791
39,7791
1178,7791
4761,7791
3941,7789
123,7789
5099,7788
2733,7788
3461,7788
4378,7787
2638,7786
2606,7785
1953,7785
2871,7784
1523,7784
2086,7784
4302,7784
2804,7783
3332,7782
3245,7782
2503,7782
4613,7782
3126,7782
3109,7782
3696,7781
5682,7781
4542,7781
3023,7781
2393,7781
5798,7781
1989,7781
2246,7780
2085,7780
3237,7780
4147,7780
154,7779
1125,7777
3466,7777
766,7776
5666,7775
1896,7775
2258,7775
2319,7775
2607,7774
1951,7774
2551,7773
3022,7772
3001,7772
1982,7771
2001,7771
5320,7770
5706,7770
3280,7770
5927,7769
1247,7769
3706,7767
2226,7766
3698,7766
2057,7765
2753,7765
2004,7765
4328,7765
3983,7764
5208,7764
3714,7764
2851,7764
1263,7764
1364,7763
4170,7762
899,7762
2322,7762
3723,7760
3293,7760
1400,7759
1169,7759
3044,7758
4418,7757
1936,7756
2421,7756
2188,7755
814,7755
598,7754
2867,7754
2612,7754
3002,7753
2024,7752
2929,7752
4509,7752
3218,7752
2634,7752
3900,7751
4651,7751
3184,7750
3070,7749
2574,7749
3924,7749
6001,7748
3690,7748
2380,7748
2008,7747
4387,7747
2547,7747
2002,7747
1145,7746
2341,7745
2564,7745
2603,7744
4515,7744
5940,7743
2337,7743
4286,7742
2330,7742
2180,7741
2859,7740
2396,7740
2761,7739
3545,7739
5314,7739
1282,7739
2417,7739
113,7738
2466,7738
1522,7737
2861,7736
2631,7736
4165,7736
2758,7735
1459,7735
5553,7735
1977,7735
4544,7734
3069,7733
2182,7733
2748,7733
616,7733
730,7732
2609,7732
2369,7730
5957,7730
2639,7728
3248,7728
1962,7728
1102,7728
2750,7727
547,7726
2048,7726
1541,7726
4543,7726
3551,7725
3051,7725
2759,7725
1267,7724
1283,7724
4315,7724
4729,7724
4504,7724
4533,7723
1908,7723
2982,7723
2636,7723
3061,7722
2842,7722
5672,7720
3946,7719
3456,7719
3064,7719
3057,7718
1468,7718
2026,7718
1910,7717
2148,7717
1458,7716
3031,7715
2366,7715
4303,7715
2979,7714
4502,7714
4450,7714
5342,7713
3462,7713
2259,7713
1175,7713
2769,7713
1171,7712
1521,7712
1052,7711
1111,7711
3994,7711
2807,7710
1170,7709
2157,7709
3236,7708
1542,7708
711,7708
4144,7708
3734,7708
4517,7707
5936,7706
4382,7706
5494,7705
4541,7705
3215,7705
1293,7705
2022,7705
2298,7703
1054,7702
3008,7702
1301,7701
4322,7701
583,7700
4488,7700
4494,7700
3247,7700
2304,7699
1972,7699
1993,7699
2735,7697
1113,7697
3216,7697
4718,7697
1343,7696
4798,7695
3571,7695
641,7694
1297,7693
4026,7693
2255,7693
3659,7692
3778,7691
1891,7688
2339,7688
2414,7687
5692,7687
2927,7686
4516,7685
3684,7684
5670,7684
664,7684
4461,7683
2824,7682
4468,7682
2183,7682
2065,7682
4292,7682
644,7680
3709,7680
2088,7680
1544,7679
2314,7678
2144,7678
2403,7678
2326,7678
1420,7676
2127,7676
2072,7676
2509,7676
2420,7676
2538,7676
5826,7675
4015,7675
5685,7674
1347,7674
1556,7673
4185,7672
3519,7672
4364,7672
2864,7671
4361,7670
2556,7670
4265,7670
3075,7669
2102,7668
4471,7668
594,7668
2949,7667
2604,7667
4413,7667
3000,7666
2632,7666
3569,7666
2283,7666
3822,7665
3786,7665
4290,7665
1132,7664
3098,7664
2848,7662
5283,7662
5901,7661
2563,7661
1144,7659
4626,7659
2534,7658
4766,7658
791,7656
643,7656
3099,7656
2125,7654
2510,7654
2047,7654
1188,7654
2863,7653
2755,7652
3040,7652
2082,7652
4009,7651
2331,7649
3284,7648
5725,7648
2853,7647
4622,7647
2066,7644
3272,7644
2334,7644
2834,7642
4141,7642
3790,7642
2641,7641
2616,7640
1257,7640
1198,7639
2966,7638
20,7638
3313,7637
2943,7636
1485,7635
3041,7634
3746,7634
3080,7633
966,7633
2394,7633
2042,7633
2302,7628
1531,7626
1363,7626
3235,7626
3297,7624
1060,7624
2389,7622
2194,7621
3229,7619
2126,7619
1627,7618
2584,7617
2787,7616
1555,7615
713,7613
2783,7613
2251,7611
3181,7609
2627,7609
3116,7607
5331,7606
1481,7604
2111,7598
3298,7595
3306,7590
2561,7582
2179,7581
1294,7573
1981,7570
2218,7569
3702,7557
6010,7547
