Stream index,Source Port,stream_size
2,3836,1616
2,59969,877
3,3836,1153
3,59977,630
4,3836,1698
4,59985,746
6,3836,1059
6,59988,654
7,3836,1787
7,59998,1142
8,3836,1549
8,60003,770
9,3836,1297
9,60007,734
11,3836,2005
11,60010,876
12,3836,2529
12,60017,1057
13,3836,1556
13,60032,798
14,3836,1790
14,60035,853
16,3836,1342
16,60039,818
17,3836,1667
17,60043,849
18,3836,2038
18,60045,814
20,3836,1964
20,60054,782
21,3836,1734
21,60061,1030
22,3836,1277
22,60067,785
23,3836,1665
23,60069,760
24,3836,1407
24,60072,629
26,3836,2034
26,60082,844
27,3836,1633
27,60089,821
28,3836,1528
28,60094,728
29,3836,1470
29,60097,777
31,3836,1363
31,60100,679
32,3836,1240
32,60104,684
33,3836,1887
33,60120,817
34,3836,1538
34,60125,809
36,3836,1493
36,60128,776
37,3836,1241
37,60130,762
38,3836,1260
38,60142,916
39,3836,1217
39,60145,655
41,3836,1230
41,60148,816
42,3836,1198
42,60151,706
43,3836,1355
43,60153,630
44,3836,1169
44,60155,693
46,3836,1438
46,60159,730
47,3836,1433
47,60165,664
48,3836,1644
48,60167,805
49,3836,1332
49,60169,699
50,3836,2291
50,60171,914
52,3836,1118
52,60175,734
53,3836,1552
53,60177,1238
54,3836,1238
54,60184,963
55,3836,1859
55,60189,783
57,3836,1807
57,60196,850
58,3836,2055
58,60201,1084
59,3836,1461
59,60206,1006
60,3836,1742
60,60208,730
62,3836,1164
62,60211,695
63,3836,1390
63,60213,726
64,3836,1461
64,60215,678
65,3836,1338
65,60219,715
67,3836,1537
67,60222,797
68,3836,1518
68,60224,1094
69,3836,1273
69,60229,971
70,3836,1273
70,60231,696
72,3836,1123
72,60234,727
73,3836,1562
73,60238,942
74,3836,1332
74,60240,922
75,3836,1337
75,60242,664
76,3836,1317
76,60244,664
78,3836,1419
78,60253,788
79,3836,1459
79,60255,828
80,3836,1955
80,60259,918
81,3836,1244
81,60262,1016
