Stream index,Source Port,stream_size
3,3836,1540
3,56015,877
7,3836,1448
7,56031,630
10,3836,2260
10,56034,746
21,3836,1818
21,56053,654
23,3836,14862
23,56061,1142
33,3836,2232
33,56092,770
34,3836,1787
34,56094,734
36,3836,2447
36,56096,876
37,3836,10458
37,56099,1057
40,3836,2217
40,56112,798
43,3836,1985
43,56116,853
44,3836,2135
44,56117,818
45,3836,36911
45,56118,849
53,3836,4390
53,56136,814
63,3836,2154
63,56150,782
64,3836,2604
64,56151,1030
68,3836,2088
68,56156,785
71,3836,2154
71,56159,760
72,3836,3945
72,56160,629
74,3836,3149
74,56165,844
78,3836,4535
78,56169,821
80,3836,2294
80,56171,728
83,3836,1523
83,56174,777
84,3836,8244
84,56176,679
88,3836,1619
88,56181,684
91,3836,2247
91,56184,817
93,3836,1717
93,56186,809
94,3836,2251
94,56187,776
98,3836,2083
98,56193,762
99,3836,1978
99,56194,916
102,3836,1610
102,56197,655
103,3836,6511
103,56198,816
106,3836,1504
106,56212,706
107,3836,4930
107,56227,630
111,3836,1537
111,56232,693
113,3836,1351
113,56234,730
115,3836,1921
115,56236,664
116,3836,2515
116,56237,805
120,3836,6583
120,56241,699
123,3836,4524
123,56244,914
127,3836,1418
127,56248,734
128,3836,21463
128,56249,1238
135,3836,3475
135,56272,963
137,3836,2345
137,56276,783
138,3836,2194
138,56278,850
139,3836,2246
139,56282,1084
142,3836,1866
142,56284,1006
145,3836,5433
145,56287,730
149,3836,10112
149,56292,695
155,3836,8918
155,56308,726
161,3836,2151
161,56320,678
162,3836,2097
162,56321,715
165,3836,1930
165,56324,797
166,3836,2510
166,56325,1094
169,3836,1917
169,56328,971
173,3836,1473
173,56333,696
174,3836,3895
174,56334,727
177,3836,2475
177,56337,942
178,3836,1626
178,56346,922
180,3836,1716
180,56348,664
181,3836,1967
181,56349,664
182,3836,1525
182,56352,788
183,3836,2748
183,56361,828
185,3836,2505
185,56363,918
186,3836,1894
186,56364,1016
188,3836,2011
188,56366,739
189,3836,2450
189,56367,870
190,3836,1962
190,56368,784
193,3836,4888
193,56371,683
195,3836,5110
195,56378,761
196,3836,2407
196,56381,751
198,3836,1512
198,56383,771
199,3836,1754
199,56385,747
200,3836,2148
200,56386,711
202,3836,13892
202,56388,1066
206,3836,5887
206,56399,888
208,3836,2360
208,56413,954
211,3836,2234
211,56416,760
214,3836,8490
214,56419,693
220,3836,1603
220,56425,724
223,3836,1602
223,56428,650
224,3836,1992
224,56430,813
226,3836,1618
226,56432,648
227,3836,1399
227,56433,634
228,3836,1816
228,56434,602
231,3836,3509
231,56437,966
233,3836,18227
233,56441,1013
242,3836,2923
242,56456,963
245,3836,1750
245,56461,667
246,3836,1723
246,56463,748
248,3836,2501
248,56466,988
249,3836,1577
249,56468,690
250,3836,1601
250,56475,752
252,3836,91047
252,56477,956
287,3836,2132
287,56545,795
289,3836,1382
289,56546,670
290,3836,1691
290,56547,661
294,3836,1918
294,56551,806
295,3836,2649
295,56552,1025
297,3836,2223
297,56555,965
302,3836,2309
302,56561,1025
303,3836,2445
303,56562,923
306,3836,2116
306,56565,882
307,3836,4402
307,56568,848
309,3836,1879
309,56577,745
310,3836,1741
310,56590,654
312,3836,6349
312,56601,688
315,3836,3035
315,56606,1138
316,3836,4730
316,56607,953
319,3836,2290
319,56614,810
322,3836,6394
322,56617,972
324,3836,13467
324,56619,903
327,3836,1895
327,56626,861
329,3836,1635
329,56629,633
330,3836,10626
330,56631,963
333,3836,2691
333,56647,964
334,3836,30079
334,56649,762
356,3836,1531
356,56684,624
357,3836,2088
357,56685,957
