Stream index,Source Port,stream_size
1,3836,1364
1,64666,877
4,3836,796
4,64671,630
12,3836,1323
12,64688,746
21,3836,1142
21,64704,654
22,3836,1550
22,64706,1142
23,3836,1405
23,64710,770
24,3836,1073
24,64712,734
26,3836,1650
26,64716,876
27,3836,1774
27,64720,1057
28,3836,1322
28,64722,798
29,3836,1008
29,64726,853
31,3836,1193
31,64729,818
38,3836,1290
38,64745,849
39,3836,1661
39,64748,814
46,3836,1849
46,64768,782
48,3836,1751
48,64772,1030
49,3836,1238
49,64776,785
56,3836,1297
56,64793,760
57,3836,1106
57,64796,629
59,3836,1964
59,64799,844
60,3836,2226
60,64801,821
61,3836,1095
61,64804,728
68,3836,1222
68,64822,777
69,3836,1001
69,64825,679
71,3836,1183
71,64830,684
72,3836,1260
72,64832,817
73,3836,981
73,64834,809
74,3836,1465
74,64837,776
76,3836,1060
76,64841,762
77,3836,1065
77,64845,916
78,3836,1198
78,64847,655
85,3836,1488
85,64863,816
87,3836,967
87,64866,706
88,3836,1281
88,64870,630
89,3836,1128
89,64881,693
90,3836,1399
90,64884,730
91,3836,1053
91,64886,664
93,3836,1190
93,64890,805
94,3836,1497
94,64894,699
95,3836,2291
95,64896,914
102,3836,1175
102,64916,734
104,3836,1209
104,64922,1238
105,3836,1089
105,64924,963
106,3836,1585
106,64930,783
107,3836,1574
107,64933,850
109,3836,1726
109,64937,1084
110,3836,1558
110,64939,1006
111,3836,1668
111,64942,730
112,3836,1054
112,64944,695
113,3836,1375
113,64946,726
121,3836,1425
121,64963,678
122,3836,1478
122,64969,715
123,3836,1580
123,64972,797
124,3836,1831
124,64974,1094
126,3836,1166
126,64977,971
127,3836,740
127,64981,696
128,3836,993
128,64985,727
135,3836,1271
135,65003,942
137,3836,1029
137,65007,922
138,3836,1018
138,65009,664
139,3836,1058
139,65013,664
146,3836,1244
146,65029,788
148,3836,1736
148,65032,828
149,3836,1839
149,65036,918
150,3836,1223
150,65038,1016
151,3836,1109
151,65048,739
152,3836,1406
