Stream index,Source Port,stream_size
1,3836,851
1,55847,877
3,3836,834
3,55854,630
11,3836,1239
11,55859,746
13,3836,935
13,55863,654
15,3836,1323
15,55867,1142
17,3836,994
17,55872,770
19,3836,542
19,55876,734
23,3836,1266
23,55892,876
25,3836,542
25,55896,1057
40,3836,542
40,55914,798
44,3836,1459
44,55930,853
46,3836,1146
46,55935,818
48,3836,1357
48,55947,849
50,3836,1959
50,55951,814
53,3836,1738
53,55956,782
55,3836,1062
55,55960,1030
57,3836,542
57,55967,785
62,3836,890
62,55987,760
64,3836,927
64,55993,629
66,3836,1271
66,55997,844
68,3836,1207
68,56003,821
71,3836,919
71,56008,728
73,3836,542
73,56012,777
76,3836,859
76,56025,679
79,3836,542
79,56031,684
82,3836,1034
82,56069,817
85,3836,816
85,56074,809
87,3836,970
87,56078,776
89,3836,1153
89,56086,762
91,3836,829
91,56090,916
93,3836,1066
93,56095,655
96,3836,1010
96,56100,816
98,3836,542
98,56104,706
101,3836,1239
101,56119,630
104,3836,542
104,56155,693
107,3836,1096
107,56164,730
110,3836,542
110,56176,664
113,3836,1902
113,56189,805
115,3836,1224
115,56196,699
118,3836,1977
118,56201,914
120,3836,687
120,56205,734
122,3836,1214
122,56209,1238
124,3836,849
124,56213,963
127,3836,1346
127,56218,783
129,3836,1040
129,56222,850
131,3836,1136
131,56226,1084
133,3836,1493
133,56232,1006
135,3836,1460
135,56237,730
138,3836,1088
138,56242,695
140,3836,1102
140,56246,726
142,3836,997
142,56251,678
148,3836,813
148,56257,715
150,3836,985
150,56261,797
153,3836,1341
153,56267,1094
155,3836,840
155,56271,971
157,3836,542
157,56276,696
161,3836,919
161,56290,727
163,3836,1158
163,56294,942
165,3836,975
165,56299,922
167,3836,804
167,56303,664
169,3836,846
169,56309,664
172,3836,542
172,56315,788
175,3836,1007
175,56335,828
178,3836,1027
178,56345,918
180,3836,1191
180,56349,1016
182,3836,990
182,56356,739
184,3836,692
184,56362,870
186,3836,1028
186,56367,784
189,3836,1109
189,56374,683
191,3836,1049
191,56378,761
193,3836,1133
193,56382,751
195,3836,915
195,56386,771
197,3836,542
197,56391,747
201,3836,907
201,56409,711
203,3836,1336
203,56414,1066
206,3836,1081
206,56419,888
208,3836,1105
208,56423,954
210,3836,1074
210,56428,760
212,3836,2057
212,56432,693
214,3836,741
214,56436,724
217,3836,1014
217,56442,650
219,3836,881
219,56447,813
221,3836,542
221,56451,648
225,3836,625
225,56480,634
227,3836,542
227,56485,602
231,3836,1323
231,56498,966
233,3836,1049
233,56502,1013
235,3836,1759
235,56515,963
237,3836,1231
237,56519,667
239,3836,851
239,56523,748
242,3836,1458
242,56533,988
244,3836,974
244,56538,690
246,3836,840
246,56542,752
248,3836,1045
248,56547,912
250,3836,542
250,56551,795
254,3836,1428
254,56561,670
256,3836,823
256,56565,661
259,3836,1159
259,56574,806
261,3836,542
261,56578,1025
264,3836,1241
264,56589,965
267,3836,1317
267,56599,1025
269,3836,1221
269,56604,923
271,3836,542
271,56608,882
275,3836,1018
275,56616,848
277,3836,1089
277,56622,745
279,3836,542
279,56626,654
283,3836,1113
283,56655,688
285,3836,1950
285,56659,1138
287,3836,1228
287,56663,953
290,3836,542
290,56668,810
293,3836,898
293,56676,972
295,3836,1056
295,56680,903
298,3836,730
298,56688,861
300,3836,866
300,56692,633
302,3836,1104
302,56696,963
304,3836,1205
304,56700,964
307,3836,1112
307,56705,762
309,3836,542
309,56709,624
312,3836,1285
312,56730,957
315,3836,1603
315,56743,944
