Stream index,Source Port,stream_size
1,3836,903
1,55483,877
3,3836,627
3,55498,630
4,3836,841
4,55501,746
5,3836,872
5,55504,654
13,3836,889
13,55520,1142
14,3836,1192
14,55522,770
16,3836,701
16,55526,734
17,3836,1234
17,55529,876
18,3836,1339
18,55531,1057
19,3836,1151
19,55533,798
21,3836,1200
21,55536,853
22,3836,1029
22,55538,818
23,3836,1556
23,55541,849
25,3836,1205
25,55543,814
33,3836,545
33,55560,782
34,3836,1248
34,55564,1030
35,3836,1393
35,55567,785
36,3836,1317
36,55569,760
37,3836,730
37,55571,629
39,3836,1363
39,55576,844
40,3836,1253
40,55578,821
41,3836,889
41,55580,728
42,3836,883
42,55582,777
44,3836,1007
44,55587,679
51,3836,958
51,55610,684
52,3836,1120
52,55612,817
59,3836,1008
59,55628,809
60,3836,980
60,55630,776
62,3836,1066
62,55636,762
63,3836,861
63,55639,916
64,3836,989
64,55642,655
65,3836,1126
65,55644,816
67,3836,1054
67,55647,706
68,3836,1147
68,55649,630
69,3836,713
69,55651,693
70,3836,834
70,55653,730
77,3836,1059
77,55670,664
79,3836,1102
79,55673,805
80,3836,1626
80,55675,699
81,3836,1814
81,55677,914
82,3836,801
82,55681,734
84,3836,1176
84,55686,1238
85,3836,792
85,55688,963
86,3836,1256
86,55691,783
93,3836,1150
93,55707,850
95,3836,886
95,55711,1084
96,3836,1346
96,55713,1006
97,3836,1062
97,55715,730
98,3836,962
98,55717,695
100,3836,1068
100,55722,726
101,3836,1027
101,55728,678
102,3836,1564
102,55731,715
103,3836,1153
103,55735,797
105,3836,1345
105,55738,1094
106,3836,1085
106,55743,971
107,3836,852
107,55746,696
108,3836,923
108,55748,727
109,3836,1343
109,55750,942
111,3836,956
111,55753,922
112,3836,1113
112,55755,664
113,3836,970
113,55757,664
114,3836,928
114,55759,788
115,3836,692
115,55761,828
117,3836,932
117,55765,918
118,3836,1255
118,55767,1016
119,3836,993
119,55769,739
120,3836,1553
120,55771,870
122,3836,895
122,55775,784
123,3836,1000
123,55777,683
124,3836,906
124,55779,761
125,3836,1492
125,55781,751
126,3836,548
126,55783,771
128,3836,1312
128,55787,747
129,3836,1123
129,55796,711
130,3836,1813
130,55798,1066
131,3836,1850
131,55800,888
133,3836,1249
133,55803,954
134,3836,804
134,55805,760
135,3836,1870
135,55808,693
136,3836,835
136,55810,724
137,3836,929
137,55812,650
139,3836,928
139,55816,813
140,3836,906
140,55818,648
141,3836,884
141,55820,634
142,3836,1181
142,55822,602
144,3836,1155
144,55826,966
145,3836,1351
145,55829,1013
146,3836,1038
146,55831,963
147,3836,868
147,55833,667
148,3836,1237
148,55836,748
150,3836,1351
150,55839,988
151,3836,888
151,55841,690
152,3836,1005
152,55843,752
153,3836,1051
153,55845,912
155,3836,1034
155,55849,795
156,3836,1487
156,55852,670
157,3836,853
157,55856,661
158,3836,822
158,55858,806
160,3836,1020
160,55861,1025
161,3836,1013
161,55863,965
162,3836,998
162,55865,1025
163,3836,972
163,55867,923
164,3836,1261
164,55869,882
166,3836,866
166,55872,848
167,3836,1034
167,55874,745
168,3836,652
168,55887,654
169,3836,1057
169,55890,688
170,3836,1242
170,55895,1138
183,3836,1397
183,55910,953
184,3836,1290
184,55914,810
185,3836,1296
185,55916,972
186,3836,1170
186,55920,903
188,3836,915
188,55923,861
189,3836,954
189,55925,633
190,3836,1049
190,55928,963
191,3836,1976
191,55931,964
193,3836,1239
193,55944,762
194,3836,904
194,55949,624
195,3836,1207
195,55956,957
196,3836,1587
196,55958,944
198,3836,1126
198,55962,699
199,3836,1347
199,55964,779
200,3836,1038
200,55967,842
201,3836,1114
201,55969,657
203,3836,1118
203,55972,889
204,3836,956
204,55975,1146
205,3836,830
205,55978,747
207,3836,626
207,55981,681
208,3836,905
208,55985,942
209,3836,1348
209,55987,824
210,3836,1366
210,55989,799
211,3836,805
211,55992,673
213,3836,994
213,55995,799
220,3836,1609
220,56011,749
221,3836,992
221,56013,615
228,3836,760
228,56029,741
230,3836,778
230,56032,734
237,3836,941
237,56049,818
238,3836,1580
238,56053,910
239,3836,907
239,56055,716
241,3836,1164
241,56058,696
242,3836,1260
242,56060,705
243,3836,1115
243,56062,756
244,3836,1041
244,56064,770
251,3836,1107
251,56080,1336
253,3836,1206
253,56085,721
254,3836,1081
254,56087,915
255,3836,1420
255,56089,1176
257,3836,1035
257,56092,855
258,3836,924
258,56097,754
259,3836,1553
259,56099,1033
266,3836,1287
266,56115,1030
267,3836,897
267,56118,706
275,3836,1087
275,56135,1118
276,3836,1391
276,56137,862
277,3836,1883
277,56139,833
278,3836,1215
278,56141,866
280,3836,1524
280,56146,1050
281,3836,1059
281,56156,757
282,3836,1007
282,56158,778
283,3836,3356
283,56169,797
285,3836,945
285,56172,834
292,3836,1825
292,56189,701
293,3836,1432
293,56191,781
294,3836,1321
294,56193,886
302,3836,1076
302,56211,1151
303,3836,1190
303,56213,827
310,3836,1187
310,56230,619
311,3836,646
311,56232,623
313,3836,1356
313,56236,635
314,3836,1103
314,56238,829
315,3836,1231
315,56240,760
316,3836,981
316,56242,843
318,3836,2112
318,56246,906
319,3836,1276
319,56248,1093
320,3836,1161
320,56251,824
321,3836,1408
321,56253,713
323,3836,1380
323,56256,976
324,3836,995
324,56261,686
325,3836,1102
325,56264,708
326,3836,1140
326,56266,773
334,3836,1241
334,56282,1060
335,3836,993
335,56285,663
336,3836,1095
336,56287,1260
337,3836,1396
337,56289,723
345,3836,866
345,56306,716
346,3836,2664
346,56308,1166
353,3836,1220
353,56324,694
354,3836,1221
354,56326,866
356,3836,1284
356,56329,839
357,3836,1057
357,56331,626
358,3836,1169
358,56333,685
359,3836,1013
359,56335,734
360,3836,1292
360,56338,1224
362,3836,814
362,56341,699
363,3836,720
363,56343,662
364,3836,1062
364,56345,721
365,3836,1179
365,56347,728
367,3836,1026
367,56350,972
368,3836,1405
368,56355,959
369,3836,1068
369,56357,755
370,3836,1784
370,56361,834
372,3836,1172
372,56364,751
373,3836,1064
373,56366,1051
374,3836,960
374,56368,780
375,3836,2009
375,56370,906
376,3836,1332
376,56372,899
378,3836,846
378,56377,787
379,3836,859
379,56379,871
380,3836,972
380,56381,676
381,3836,1755
381,56384,1051
383,3836,1222
383,56389,812
384,3836,928
384,56392,730
385,3836,1129
385,56395,824
386,3836,3336
386,56397,841
388,3836,1128
388,56403,757
389,3836,1346
389,56405,750
390,3836,1265
390,56407,661
391,3836,1011
391,56409,719
393,3836,1308
393,56413,787
394,3836,1050
394,56417,778
395,3836,1136
395,56419,824
396,3836,875
396,56421,613
397,3836,941
397,56423,759
399,3836,683
399,56426,839
400,3836,878
400,56428,842
401,3836,874
401,56430,850
402,3836,924
402,56432,990
404,3836,1629
404,56435,797
405,3836,1114
405,56437,958
406,3836,1350
406,56440,769
407,3836,592
407,56442,830
408,3836,730
408,56444,716
410,3836,910
410,56459,755
411,3836,998
411,56462,794
412,3836,1021
412,56464,793
413,3836,1447
413,56466,827
415,3836,706
415,56471,723
416,3836,833
416,56478,691
417,3836,1389
417,56480,971
418,3836,938
418,56483,691
419,3836,1089
419,56485,709
421,3836,1138
421,56488,824
422,3836,1204
422,56511,805
423,3836,987
423,56515,903
424,3836,1070
424,56520,864
425,3836,912
425,56522,971
427,3836,1082
427,56525,935
428,3836,953
428,56527,646
429,3836,1169
429,56529,843
430,3836,2142
430,56531,777
432,3836,981
432,56535,669
433,3836,1193
433,56537,749
434,3836,993
434,56539,686
435,3836,771
435,56541,822
437,3836,1147
437,56545,745
438,3836,1145
438,56548,727
439,3836,1528
439,56550,706
440,3836,860
440,56552,775
441,3836,1228
441,56556,700
443,3836,1647
443,56559,741
444,3836,876
444,56561,661
445,3836,1491
445,56564,656
446,3836,1009
446,56568,796
448,3836,610
448,56572,669
449,3836,1274
449,56575,991
450,3836,672
450,56578,901
451,3836,1179
451,56580,926
453,3836,1602
453,56583,767
454,3836,783
454,56585,680
455,3836,849
455,56587,841
456,3836,1240
456,56589,760
457,3836,1049
457,56595,705
459,3836,1204
459,56600,930
460,3836,983
460,56602,924
461,3836,1296
461,56604,1026
462,3836,1293
462,56607,811
464,3836,1491
464,56616,735
465,3836,749
465,56618,685
466,3836,466
466,56620,628
467,3836,1268
467,56622,669
469,3836,1509
469,56627,734
470,3836,1024
470,56629,780
471,3836,1165
471,56631,1022
472,3836,592
472,56633,1109
474,3836,804
474,56638,620
475,3836,989
475,56642,636
482,3836,1033
482,56659,695
483,3836,1076
483,56661,805
484,3836,992
484,56663,834
492,3836,988
492,56680,865
494,3836,1418
494,56683,795
495,3836,974
495,56685,751
502,3836,922
502,56701,953
508,3836,1274
508,56713,789
512,3836,818
512,56721,938
521,3836,1392
521,56742,739
526,3836,875
526,56753,895
528,3836,1182
528,56760,929
529,3836,1270
529,56762,936
538,3836,871
538,56780,827
540,3836,681
540,56783,974
541,3836,954
541,56786,686
549,3836,1290
549,56803,939
550,3836,1267
550,56805,813
551,3836,814
551,56807,591
552,3836,1187
552,56809,781
554,3836,951
554,56812,818
555,3836,1788
555,56817,743
556,3836,2140
556,56820,873
557,3836,1473
557,56822,1002
559,3836,1048
559,56827,724
560,3836,751
560,56829,636
561,3836,1110
561,56831,824
562,3836,1444
562,56833,804
564,3836,1334
564,56864,802
565,3836,907
565,56885,841
566,3836,926
566,56889,667
567,3836,1111
567,56891,739
568,3836,839
568,56894,949
570,3836,554
570,56897,727
571,3836,1185
571,56900,652
572,3836,1381
572,56903,749
573,3836,1172
573,56906,934
575,3836,1416
575,56913,829
576,3836,1847
576,56917,956
577,3836,1061
577,56933,861
578,3836,943
578,56935,849
586,3836,1013
586,56966,713
593,3836,946
593,56990,681
594,3836,1175
594,56997,971
595,3836,1145
595,57000,1010
596,3836,1056
596,57002,710
598,3836,1215
598,57005,917
599,3836,997
599,57008,777
600,3836,1442
600,57016,744
601,3836,1437
601,57021,753
603,3836,1159
603,57029,693
604,3836,1023
604,57031,792
605,3836,1177
605,57033,700
606,3836,996
606,57036,1227
607,3836,1226
607,57040,887
609,3836,1136
609,57046,838
610,3836,1029
610,57061,830
611,3836,874
611,57063,750
612,3836,942
612,57065,657
620,3836,950
620,57091,825
621,3836,943
621,57095,676
622,3836,1125
622,57097,820
623,3836,1237
623,57100,828
625,3836,993
625,57103,993
626,3836,681
626,57106,885
627,3836,1173
627,57113,726
628,3836,1372
628,57116,891
634,3836,1259
634,57128,926
637,3836,1166
637,57136,850
638,3836,1095
638,57138,838
639,3836,1468
639,57141,914
641,3836,1033
641,57145,791
642,3836,2017
642,57149,828
643,3836,460
643,57151,660
644,3836,1518
644,57153,999
651,3836,1243
651,57170,917
653,3836,1106
653,57174,847
654,3836,993
654,57177,763
655,3836,852
655,57179,643
656,3836,859
656,57181,854
658,3836,1099
658,57185,959
659,3836,1127
659,57190,653
660,3836,1553
660,57192,1001
661,3836,1050
