Stream index,Source Port,stream_size
1,3836,515
1,58779,877
2,3836,543
2,58784,630
3,3836,779
3,58789,746
4,3836,630
4,58798,654
6,3836,545
6,58810,1142
7,3836,790
7,58842,770
8,3836,572
8,58857,734
9,3836,787
9,58861,876
10,3836,991
10,58863,1057
12,3836,683
12,58866,798
13,3836,698
13,58870,853
14,3836,492
14,58873,818
15,3836,1424
15,58878,849
16,3836,1004
16,58883,814
18,3836,1013
18,58892,782
19,3836,1318
19,58899,1030
20,3836,569
20,58905,785
21,3836,1127
21,59076,760
22,3836,797
22,59116,629
24,3836,703
24,59126,844
25,3836,1494
25,59138,821
26,3836,501
26,59287,728
27,3836,495
27,59308,777
28,3836,508
28,59345,679
29,3836,508
29,59357,684
31,3836,699
31,59360,817
32,3836,513
32,59364,809
33,3836,515
33,59368,776
34,3836,522
34,59384,762
35,3836,706
35,59387,916
37,3836,762
37,59391,655
38,3836,695
38,59411,816
39,3836,560
39,59413,706
40,3836,683
40,59416,630
41,3836,504
41,59418,693
42,3836,815
42,59424,730
44,3836,877
44,59436,664
45,3836,498
45,59442,805
46,3836,1272
46,59445,699
47,3836,1343
47,59457,914
48,3836,692
48,59463,734
50,3836,764
50,59471,1238
51,3836,507
51,59475,963
52,3836,1156
52,59480,783
53,3836,1040
53,59485,850
54,3836,1014
54,59491,1084
56,3836,1082
56,59496,1006
57,3836,546
57,59501,730
58,3836,496
58,59504,695
59,3836,730
59,59519,726
60,3836,556
60,59523,678
62,3836,792
62,59535,715
63,3836,1093
63,59546,797
64,3836,1074
64,59550,1094
65,3836,527
65,59557,971
66,3836,537
66,59563,696
67,3836,501
67,59566,727
69,3836,1069
69,59569,942
70,3836,589
70,59588,922
71,3836,513
71,59595,664
72,3836,592
72,59599,664
73,3836,553
73,59620,788
75,3836,826
75,59625,828
76,3836,1009
76,59648,918
77,3836,569
77,59702,1016
78,3836,638
78,59705,739
79,3836,557
79,59709,870
81,3836,543
81,59712,784
82,3836,889
82,59715,683
83,3836,1000
83,59724,761
84,3836,824
84,59731,751
85,3836,634
85,59749,771
86,3836,470
86,59784,747
88,3836,830
88,59795,711
89,3836,692
89,59798,1066
90,3836,515
90,59802,888
91,3836,696
91,59843,954
92,3836,767
92,59868,760
94,3836,934
94,59873,693
95,3836,534
95,59880,724
96,3836,501
96,59882,650
97,3836,495
97,59884,813
98,3836,818
98,59886,648
107,3836,496
107,59893,634
108,3836,823
108,59905,602
109,3836,800
109,59912,966
110,3836,499
110,59923,1013
111,3836,538
111,59929,963
112,3836,844
112,59934,667
114,3836,629
114,59942,748
115,3836,888
115,59948,988
116,3836,572
116,59953,690
117,3836,490
117,59956,752
118,3836,935
118,59968,912
120,3836,590
120,59971,795
121,3836,678
121,59979,670
122,3836,512
122,59992,661
123,3836,488
123,59994,806
124,3836,545
124,59996,1025
125,3836,505
125,60000,965
127,3836,709
127,60004,1025
128,3836,773
128,60007,923
129,3836,521
129,60013,882
130,3836,477
130,60025,848
131,3836,505
131,60027,745
133,3836,519
133,60030,654
134,3836,604
134,60035,688
135,3836,538
135,60037,1138
136,3836,962
136,60039,953
137,3836,575
137,60041,810
138,3836,873
138,60048,972
140,3836,534
140,60051,903
141,3836,510
141,60053,861
142,3836,542
142,60056,633
143,3836,883
143,60063,963
144,3836,870
144,60065,964
146,3836,812
146,60068,762
147,3836,535
147,60071,624
148,3836,511
148,60077,957
149,3836,1125
149,60089,944
150,3836,744
150,60123,699
152,3836,816
152,60129,779
153,3836,845
153,60135,842
154,3836,656
154,60137,657
155,3836,547
155,60139,889
156,3836,634
156,60144,1146
157,3836,634
157,60146,747
159,3836,621
159,60152,681
160,3836,1259
160,60161,942
161,3836,1047
161,60163,824
162,3836,490
162,60170,799
163,3836,519
163,60172,673
165,3836,646
165,60182,799
166,3836,584
166,60185,749
167,3836,536
167,60187,615
168,3836,491
168,60191,741
169,3836,504
169,60196,734
170,3836,723
170,60206,818
172,3836,1498
172,60233,910
