Stream index,Source Port,stream_size
57,443,5706
57,59976,2253
59,443,5495
59,59978,2073
68,443,5611
68,59986,2149
71,443,5447
71,59989,2089
80,443,5599
80,59999,2439
85,443,5684
85,60004,2171
88,443,5559
88,60008,2209
89,443,5777
89,60011,2309
95,443,5801
95,60018,2374
110,443,5615
110,60033,2193
112,443,5581
112,60036,2236
114,443,5683
114,60040,2219
117,443,5704
117,60044,2224
118,443,5695
118,60046,2205
125,443,5641
125,60055,2187
132,443,5712
132,60062,2365
137,443,5512
137,60068,2190
140,443,5657
140,60070,2157
142,443,5582
142,60073,2074
150,443,5712
150,60083,2223
156,443,5624
156,60090,2210
160,443,5525
160,60095,2145
162,443,5572
162,60098,2178
163,443,5599
163,60101,2164
166,443,5575
166,60105,2115
182,443,5744
182,60121,2198
186,443,5608
186,60126,2198
187,443,5621
187,60129,2229
188,443,5550
188,60131,2173
199,443,5538
199,60143,2279
201,443,5577
201,60146,2090
202,443,5563
202,60149,2205
204,443,5552
204,60152,2125
205,443,5774
205,60154,2133
206,443,5498
206,60156,2122
208,443,5484
208,60160,2141
213,443,5606
213,60166,2095
214,443,5671
214,60168,2244
215,443,5580
215,60170,2170
216,443,5750
216,60172,2269
218,443,5517
218,60176,2199
219,443,5621
219,60178,2513
225,443,5490
225,60185,2310
229,443,5706
229,60190,2186
234,443,5649
234,60197,2227
239,443,5677
239,60202,2411
243,443,5618
243,60207,2341
244,443,5683
244,60209,2137
245,443,5653
245,60212,2134
246,443,5511
246,60214,2149
247,443,5607
247,60216,2107
250,443,5609
250,60220,2124
251,443,5639
251,60223,2192
252,443,5649
252,60225,2405
256,443,5708
256,60230,2895
257,443,5540
257,60232,2125
258,443,5535
258,60235,2136
261,443,5627
261,60239,2305
262,443,5622
262,60241,2279
263,443,5545
263,60243,2105
264,443,5576
264,60245,2095
276,443,5580
276,60254,2179
277,443,5601
277,60256,2213
280,443,5676
280,60260,2285
282,443,5581
282,60263,2341
285,443,5616
285,60268,2146
294,443,5641
294,60278,2251
296,443,5438
296,60281,2187
297,443,5549
297,60283,2112
298,443,5624
298,60286,2216
306,443,5682
306,60295,2158
309,443,5507
309,60299,2184
313,443,5599
313,60304,2214
316,443,5649
316,60309,2134
317,443,5624
317,60311,2383
320,443,5604
320,60315,2265
322,443,5646
322,60318,2299
324,443,5564
324,60322,2171
329,443,5675
329,60328,2116
331,443,5495
331,60331,2137
332,443,5570
332,60333,2087
333,443,5696
333,60335,2222
334,443,5542
334,60338,2147
336,443,5515
336,60341,2133
339,443,5608
339,60345,2055
341,443,5522
341,60348,2315
343,443,5571
343,60352,2338
346,443,5784
346,60356,2314
347,443,5584
347,60358,2102
350,443,5574
350,60362,2161
353,443,5634
353,60367,2325
355,443,5512
355,60370,2117
363,443,5615
363,60379,2169
364,443,5595
364,60381,2277
365,443,5635
365,60384,2190
369,443,5487
369,60389,2099
370,443,5507
370,60391,2100
372,443,5652
372,60394,2208
374,443,5615
374,60397,2356
378,443,5614
378,60403,2378
379,443,5622
379,60405,2366
381,443,5606
381,60408,2280
382,443,5641
382,60410,2249
384,443,5534
384,60414,2227
385,443,5607
385,60416,2160
389,443,5483
389,60421,2095
391,443,5627
391,60424,2109
394,443,7124
394,60429,2455
399,443,5613
399,60435,2304
402,443,5590
402,60439,2253
403,443,5601
403,60441,2321
404,443,5655
404,60444,2271
407,443,5550
407,60448,2246
417,443,5534
417,60464,2128
422,443,5562
422,60470,2312
424,443,5705
424,60473,2303
429,443,5500
429,60479,2171
430,443,5535
430,60481,2065
433,443,5600
433,60485,2376
435,443,5774
435,60489,2303
