Stream index,Source Port,stream_size
10,443,5689
10,64668,2161
38,443,5468
38,64672,1981
73,443,5649
73,64689,2057
91,443,5664
91,64705,1943
94,443,5712
94,64707,2347
97,443,5697
97,64711,2079
99,443,5584
99,64713,2063
101,443,5775
101,64717,2163
104,443,5786
104,64721,2282
105,443,5602
105,64723,2101
108,443,5587
108,64727,2144
109,443,5578
109,64730,2115
119,443,5708
119,64746,2132
121,443,5766
121,64749,2113
135,443,5732
135,64769,2095
138,443,5765
138,64773,2273
142,443,6993
142,64778,2110
152,443,5639
152,64794,2065
155,443,5586
155,64797,1982
156,443,7220
156,64800,2143
157,443,5801
157,64802,2118
159,443,5557
159,64805,2053
171,443,5550
171,64824,2086
172,443,5576
172,64826,2018
175,443,5631
175,64831,2023
176,443,5685
176,64833,2106
178,443,5592
178,64836,2052
179,443,5705
179,64838,2083
181,443,5571
181,64842,2081
184,443,5587
184,64846,2187
185,443,5660
185,64848,1998
194,443,5721
194,64864,2113
197,443,5559
197,64869,2033
209,443,5616
209,64878,1987
214,443,5555
214,64883,2030
215,443,5620
215,64885,2049
217,443,5551
217,64888,2003
220,443,5666
220,64893,2098
221,443,5718
221,64895,2024
225,443,6411
225,64902,2189
235,443,5602
235,64917,2053
239,443,5582
239,64923,2421
242,443,5591
242,64927,2218
245,443,5751
245,64931,2094
247,443,5764
247,64934,2135
249,443,5789
249,64938,2319
250,443,5756
250,64940,2249
252,443,5739
252,64943,2045
253,443,5591
253,64945,2030
254,443,5687
254,64948,2003
263,443,5781
263,64964,2027
268,443,5695
268,64970,2032
270,443,5743
270,64973,2100
271,443,5782
271,64975,2313
272,443,5649
272,64978,2232
276,443,5481
276,64983,2033
278,443,5598
278,64986,2044
289,443,5658
289,65004,2213
291,443,5645
291,65008,2187
292,443,5543
292,65010,2013
295,443,5591
295,65014,2003
304,443,5639
304,65030,2087
306,443,5780
306,65034,2121
308,443,5858
308,65037,2205
309,443,5663
309,65039,2249
318,443,5632
318,65049,2054
320,443,5685
320,65052,2159
321,443,5601
321,65055,2095
322,443,5697
322,65057,2020
324,443,5594
324,65060,2070
328,443,7075
328,65064,2078
329,443,5482
329,65067,2092
332,443,5661
332,65071,2068
334,443,5843
334,65074,1988
336,443,5603
336,65077,2291
338,443,5651
338,65081,2173
339,443,5798
339,65083,2207
342,443,5767
342,65087,2079
344,443,5733
344,65090,2024
347,443,5590
347,65095,2045
351,443,5627
351,65100,1995
355,443,5612
355,65105,2118
356,443,5485
356,65107,2001
358,443,5505
358,65110,1987
359,443,5605
359,65113,1963
364,443,5605
364,65119,2223
365,443,5600
365,65121,2246
366,443,5766
366,65123,2222
367,443,5623
367,65126,2010
368,443,5637
368,65128,2069
373,443,5656
373,65134,2233
374,443,5519
374,65136,2025
376,443,5970
376,65139,2077
379,443,6801
379,65143,2197
383,443,5649
383,65148,2098
389,443,5697
389,65155,2007
391,443,5518
391,65158,2008
394,443,5865
394,65163,2062
397,443,5673
397,65167,2264
402,443,5641
402,65173,2232
405,443,5683
405,65177,2274
406,443,5690
406,65180,2188
408,443,5612
408,65183,2157
411,443,5609
411,65187,2135
416,443,5696
416,65193,2068
427,443,6882
427,65212,2015
429,443,5800
429,65215,2017
432,443,5673
432,65219,2351
433,443,5719
433,65221,2212
434,443,5542
434,65223,2107
436,443,5620
436,65227,2229
437,443,5835
437,65229,2179
438,443,5598
438,65231,2154
439,443,5510
439,65233,1982
448,443,5813
448,65250,2220
451,443,5805
451,65254,2211
453,443,5801
453,65257,2091
454,443,5450
454,65259,1973
470,443,5683
470,65283,2230
481,443,5815
481,65295,2211
488,443,6983
488,65303,2040
496,443,5679
496,65310,2042
499,443,5718
499,65314,2131
501,443,5716
501,65318,1998
504,443,7080
504,65322,2184
505,443,5673
505,65324,2341
509,443,5547
509,65329,2074
511,443,5418
511,65332,2020
514,443,5755
514,65336,2207
515,443,5758
515,65338,2121
517,443,5489
517,65341,2108
520,443,5545
520,65346,2014
524,443,5624
524,65351,2100
525,443,5715
525,65353,2070
537,443,5567
537,65366,1966
538,443,5592
538,65368,2060
540,443,5559
540,65372,2061
543,443,5643
543,65376,2106
546,443,5705
546,65380,2185
552,443,5626
552,65387,2045
553,443,5689
553,65390,2033
554,443,5655
554,65392,2034
556,443,6903
556,65395,2139
557,443,5705
557,65397,2077
558,443,5819
558,65400,2496
562,443,5788
562,65405,2002
563,443,5571
563,65407,2178
564,443,5920
564,65409,2373
569,443,5622
569,65416,2138
570,443,5566
570,65418,2079
573,443,5758
573,65422,2270
574,443,5585
574,65424,2275
585,443,5557
585,65442,2037
586,443,5834
586,65445,2337
587,443,5782
587,65447,2149
588,443,5751
588,65449,2124
596,443,5536
596,65457,2151
597,443,5630
597,65460,2277
602,443,5585
602,65466,2070
603,443,5608
603,65468,2083
604,443,5549
604,65470,2097
605,443,5606
605,65473,2131
608,443,5789
608,65477,2030
611,443,5704
611,65481,2078
614,443,5699
614,65485,2167
615,443,5689
615,65487,2351
616,443,5623
616,65490,2126
617,443,5633
617,65492,1970
619,443,5367
619,65495,1974
620,443,5651
620,65497,1932
623,443,5674
623,65502,2124
627,443,5564
627,65507,2077
629,443,5746
629,65510,2132
630,443,5678
630,65512,2175
632,443,5677
632,65516,2312
633,443,5834
633,65518,2117
637,443,5522
637,65523,2038
638,443,5895
638,65525,2231
639,443,5656
639,65528,2023
640,443,5603
640,65530,2035
643,443,5543
643,65534,2090
649,443,5730
649,49159,2299
650,443,5824
650,49161,2000
651,443,5632
651,49164,2437
652,443,6035
652,49166,2048
655,443,5459
655,49170,2045
656,443,5741
656,49172,2369
658,443,5735
658,49176,2027
659,443,5654
659,49178,2137
660,443,5664
660,49180,2128
661,443,5569
661,49182,1981
662,443,5595
662,49185,2020
663,443,5716
663,49187,2049
664,443,5885
664,49189,2359
665,443,5596
665,49191,2034
667,443,5535
667,49195,2003
677,443,5566
677,49206,2052
678,443,5521
678,49208,2055
679,443,5783
679,49210,2237
686,443,5884
686,49218,2234
690,443,5538
690,49224,2072
693,443,5688
693,49228,2115
694,443,5656
694,49230,2068
695,443,5708
695,49232,2283
696,443,5591
696,49235,2083
701,443,5841
701,49241,2175
704,443,7076
704,49245,2180
707,443,5687
707,49249,2096
708,443,5610
708,49252,2158
710,443,5660
710,49255,2017
713,443,5747
713,49259,2278
716,443,5875
716,49263,2113
717,443,5777
717,49265,2053
720,443,5642
720,49270,2123
721,443,5831
721,49272,2132
723,443,5651
723,49275,2068
724,443,5675
724,49277,2065
725,443,5634
725,49280,1950
726,443,5632
726,49282,2046
731,443,5799
731,49288,2098
739,443,5646
739,49297,2093
742,443,5678
742,49302,2121
747,443,5516
747,49308,1976
753,443,5541
753,49315,2080
754,443,5576
754,49317,2126
758,443,5606
758,49322,2133
761,443,5761
761,49327,2135
762,443,5626
762,49329,2225
768,443,5680
768,49336,2106
773,443,5644
773,49342,2221
778,443,5576
778,49349,2074
779,443,5531
779,49351,2131
781,443,5568
781,49354,2045
785,443,5539
785,49359,2076
788,443,5748
788,49364,2099
791,443,5631
791,49368,2098
792,443,5856
792,49370,2116
795,443,6927
795,49374,2054
796,443,5514
796,49376,2022
798,443,5688
798,49380,2220
800,443,5664
800,49383,2028
801,443,5589
801,49385,1986
805,443,5692
805,49390,2113
810,443,5695
810,49397,2106
826,443,5815
826,49687,2172
833,443,5530
833,49706,2155
839,443,5644
839,49719,2218
842,443,5634
842,49726,2201
849,443,5538
849,49735,1993
851,443,5775
851,49738,2198
859,443,5741
859,49751,2084
860,443,5511
860,49753,2010
861,443,5644
861,49756,2076
864,443,5547
864,49760,2021
867,443,5518
867,49764,2115
879,443,5710
879,49777,2064
880,443,5695
880,49780,2050
881,443,5683
881,49782,2037
882,443,5568
882,49784,2082
884,443,5857
884,49787,2035
887,443,5658
887,49792,2066
888,443,5491
888,49794,2004
889,443,5547
889,49796,2003
890,443,5679
890,49798,2099
891,443,5517
891,49800,2008
892,443,5769
892,49803,2174
897,443,5661
897,49809,2168
898,443,5719
898,49811,2189
899,443,5604
899,49813,2080
900,443,5421
900,49816,2015
901,443,5582
901,49818,2116
905,443,5695
905,49823,2079
906,443,5586
906,49825,2032
907,443,5754
907,49828,2203
910,443,5589
910,49832,2189
914,443,5729
914,49837,2265
915,443,5694
915,49839,2100
916,443,5802
916,49841,2066
918,443,5677
918,49845,2020
923,443,5637
923,49851,1975
924,443,5587
924,49853,2010
925,443,5648
925,49855,2051
927,443,5781
927,49859,2103
929,443,5658
929,49862,2273
930,443,5691
930,49864,2334
