Stream index,Source Port,stream_size
1,443,5373
1,60093,1866
9,443,5222
9,60098,1686
14,443,5459
14,60102,1762
16,443,5179
16,60106,1702
20,443,5360
20,60111,2106
25,443,5540
25,60119,1784
27,443,5504
27,60123,1768
29,443,5540
29,60128,1868
31,443,6032
31,60132,1987
32,443,5432
32,60136,1806
33,443,5433
33,60140,1849
35,443,5446
35,60145,1820
39,443,5435
39,60149,1837
40,443,5501
40,60153,1818
41,443,5342
41,60157,1800
43,443,5498
43,60161,1978
46,443,5540
46,60166,1803
47,443,5529
47,60170,1836
52,443,5327
52,60174,1687
53,443,5567
53,60179,1836
55,443,5672
55,60184,1823
57,443,5475
57,60189,1758
58,443,5445
58,60193,1791
59,443,5388
59,60197,1723
60,443,5415
60,60201,1728
61,443,5342
61,60205,1811
62,443,5367
62,60209,1811
63,443,5453
63,60213,1788
64,443,5430
64,60217,1786
65,443,5262
65,60221,1892
67,443,5454
67,60226,1703
68,443,5240
68,60230,1818
69,443,5305
69,60234,1738
70,443,5433
70,60238,1692
71,443,5399
71,60242,1735
72,443,5213
72,60247,1754
73,443,5297
73,60251,1708
74,443,5591
74,60255,1803
75,443,5544
75,60259,1729
76,443,5727
76,60263,1882
78,443,5182
78,60268,1758
79,443,5182
79,60272,2126
80,443,5277
80,60276,1923
81,443,5470
81,60280,1799
83,443,5402
83,60285,1840
84,443,5407
84,60289,2024
85,443,5486
85,60293,1954
86,443,12246
86,60297,1750
90,443,5342
90,60309,1735
93,443,5234
93,60315,1762
95,443,5348
95,60320,1720
100,443,5351
100,60328,1737
101,443,5388
101,60332,1805
102,443,5584
102,60336,2018
103,443,5372
103,60340,1937
105,443,5276
105,60345,1738
107,443,5326
107,60351,1749
108,443,5370
108,60355,1918
109,443,5387
109,60359,1892
110,443,5131
110,60363,1718
111,443,5200
111,60367,1708
112,443,5386
112,60371,1792
113,443,5554
113,60375,1826
119,443,5375
119,60385,1898
130,443,5464
130,60399,1954
131,443,5351
131,60403,1759
132,443,5381
132,60407,1864
133,443,5494
133,60411,1800
134,443,5225
134,60415,1725
135,443,5244
135,60419,1775
137,443,5346
137,60424,1771
138,443,5316
138,60429,1797
139,443,5360
139,60433,1773
145,443,5497
145,60442,1813
148,443,5416
148,60448,1996
149,443,5489
149,60452,1878
156,443,5486
156,60463,1912
158,443,5211
158,60468,1784
159,443,5629
159,60472,1729
160,443,5178
160,60476,1750
163,443,5327
163,60482,1700
164,443,5820
164,60487,1889
169,443,5239
169,60495,1706
187,443,5121
187,60516,1692
224,443,5222
224,60556,1668
251,443,5437
251,60586,1928
298,443,5227
298,60636,1951
324,443,5523
324,60665,1927
354,443,5456
354,60698,1715
365,443,5546
365,60712,1774
374,443,5455
374,60724,1938
375,443,5321
375,60728,1730
391,443,5354
391,60747,1770
392,443,5210
392,60751,1890
396,443,5489
396,60758,1803
398,443,5377
398,60763,1712
399,443,5211
399,60767,1713
400,443,5398
400,60771,1821
401,443,5457
