Stream index,Source Port,stream_size
10,443,5124
10,55484,1906
28,443,5111
28,55499,1792
36,443,5123
36,55502,1802
42,443,5129
42,55505,1742
54,443,5205
54,55521,2158
56,443,5230
56,55523,1824
58,443,5065
58,55527,1808
60,443,5300
60,55530,1908
61,443,5520
61,55532,2093
62,443,5189
62,55534,1846
65,443,5182
65,55537,1889
66,443,5194
66,55539,1860
69,443,5713
69,55542,1943
70,443,5271
70,55544,1858
79,443,5002
79,55561,1840
83,443,5265
83,55565,2018
85,443,5363
85,55568,1843
86,443,5278
86,55570,1810
87,443,5104
87,55572,1727
90,443,5412
90,55577,1876
91,443,5247
91,55579,1863
92,443,5182
92,55581,1798
93,443,5187
93,55583,1831
96,443,5188
96,55588,1763
112,443,5147
112,55611,1768
113,443,5279
113,55613,1851
122,443,5187
122,55629,1851
123,443,5173
123,55631,1828
127,443,6615
127,55637,1892
129,443,5153
129,55640,1932
132,443,5224
132,55643,1743
133,443,5204
133,55645,1858
134,443,5232
134,55648,1790
135,443,5359
135,55650,1798
136,443,5074
136,55652,1775
137,443,5119
137,55654,1794
147,443,5315
147,55671,1814
148,443,5291
148,55674,1843
149,443,5464
149,55676,1769
150,443,5665
150,55678,1934
153,443,5093
153,55682,1798
156,443,5263
156,55687,2166
157,443,5136
157,55689,1963
159,443,5291
159,55692,1839
168,443,5241
168,55708,1880
170,443,5139
170,55712,2064
171,443,5455
171,55714,1994
172,443,6679
172,55716,1856
173,443,5202
173,55718,1775
176,443,5190
176,55723,1802
180,443,5225
180,55729,1760
182,443,5525
182,55732,1777
185,443,5290
185,55736,1845
186,443,5268
186,55739,2058
190,443,5214
190,55744,1977
192,443,5137
192,55747,1778
193,443,5181
193,55749,1789
194,443,5415
194,55751,1958
195,443,5152
195,55754,1932
196,443,5145
196,55756,1758
197,443,5220
197,55758,1748
198,443,5166
198,55760,1832
199,443,5092
199,55762,1866
201,443,5123
201,55766,1938
202,443,5291
202,55768,1994
203,443,6624
203,55770,1811
204,443,5298
204,55772,1904
206,443,5146
206,55776,1840
207,443,5165
207,55778,1765
208,443,5201
208,55780,1815
209,443,5269
209,55782,1811
210,443,5004
210,55784,1837
212,443,5230
212,55788,1813
223,443,5260
223,55797,1787
224,443,5437
224,55799,2036
225,443,5695
225,55801,1930
226,443,5319
226,55804,1952
227,443,5103
227,55806,1824
229,443,5431
229,55809,1769
230,443,5115
230,55811,1790
231,443,5159
231,55813,1740
233,443,5273
233,55817,1875
234,443,5141
234,55819,1746
235,443,5074
235,55821,1732
236,443,5270
236,55823,1708
238,443,5274
238,55827,1968
240,443,5318
240,55830,1991
241,443,5224
241,55832,1967
242,443,5167
242,55834,1755
244,443,5342
244,55837,1880
245,443,5265
245,55840,1978
246,443,5185
246,55842,1770
