Stream index,Source Port,stream_size
7,443,5892
7,58782,2349
20,443,5229
20,58785,2409
39,443,5306
39,58790,2485
57,443,5336
57,58799,2491
67,443,5239
67,58811,2775
99,443,5308
99,58843,2507
113,443,5247
113,58858,2491
116,443,5437
116,58862,2603
117,443,5551
117,58864,2722
118,443,5308
118,58867,2529
121,443,5245
121,58871,2572
123,443,5234
123,58874,2555
127,443,5702
127,58879,2626
132,443,5484
132,58884,2541
143,443,5445
143,58893,2523
149,443,5497
149,58900,2701
154,443,5253
154,58906,2526
324,443,5463
324,59077,2493
360,443,5483
360,59117,2476
368,443,5295
368,59127,2559
379,443,5645
379,59139,2558
527,443,5299
527,59288,2547
547,443,5212
547,59309,2514
583,443,5242
583,59346,2458
594,443,5217
594,59358,2451
595,443,5486
595,59361,2546
598,443,5220
598,59365,2534
601,443,5303
601,59369,2577
616,443,5224
616,59385,2509
618,443,5481
618,59388,2627
620,443,5482
620,59392,2426
640,443,5487
640,59412,2553
641,443,5233
641,59414,2461
643,443,5241
643,59417,2415
644,443,5222
644,59419,2458
649,443,5497
649,59425,2489
659,443,5394
659,59437,2431
664,443,5158
664,59443,2526
666,443,5635
666,59446,2464
677,443,5712
677,59458,2671
682,443,5360
682,59464,2493
688,443,5510
688,59472,2861
691,443,5299
691,59476,2658
695,443,5558
695,59481,2522
699,443,5520
699,59486,2563
704,443,5487
704,59492,2747
707,443,5524
707,59497,2677
711,443,5235
711,59502,2473
713,443,5155
713,59505,2458
727,443,5398
727,59520,2497
730,443,5277
730,59524,2455
740,443,5422
740,59536,2460
750,443,5610
750,59547,2540
753,443,5457
753,59551,2741
759,443,5323
759,59558,2672
764,443,5331
764,59564,2515
766,443,5292
766,59567,2484
767,443,5711
767,59570,2653
785,443,5270
785,59589,2615
791,443,5215
791,59596,2441
794,443,5341
794,59600,2497
814,443,5240
814,59621,2515
818,443,5527
818,59626,2561
840,443,5590
840,59649,2633
893,443,5328
893,59703,2689
895,443,5354
895,59706,2494
898,443,5239
898,59710,2587
899,443,5239
899,59713,2523
901,443,5407
901,59716,2502
909,443,5525
909,59725,2498
915,443,5500
915,59732,2506
932,443,5355
932,59750,2586
966,443,5137
966,59785,2496
975,443,5386
975,59796,2470
977,443,5459
977,59799,2731
979,443,5222
979,59803,2601
1020,443,5297
1020,59845,2635
1043,443,5419
1043,59869,2507
1046,443,5420
1046,59874,2452
1052,443,5238
1052,59881,2473
1053,443,5611
1053,59883,2423
1054,443,5156
1054,59885,2546
1055,443,5324
1055,59887,2483
1060,443,5209
1060,59894,2415
1071,443,5434
1071,59906,2391
1077,443,5438
1077,59913,2651
1087,443,5212
1087,59924,2674
1092,443,5240
1092,59930,2650
1096,443,5398
1096,59935,2438
1102,443,5231
1102,59943,2497
1107,443,5482
1107,59949,2661
1111,443,5258
1111,59954,2453
1113,443,5204
1113,59957,2493
1124,443,5500
1124,59969,2613
1125,443,5251
1125,59972,2526
1132,443,5229
1132,59980,2435
